dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
staggered,D_contamination,2,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,2.430731003486813,0.2001445334188638,2.03448967912348,2.094183932322277,2.754205043601326,2.8047999613614283,0.0,,,,,,,,,2.726893830123671
staggered,D_contamination,2,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,5.038245845224107,0.21461363225370686,4.618273999864367,4.681392137944819,5.3905842875257415,5.461976639496811,0.0,,,,,,,,,4.9084088942226085
staggered,D_contamination,2,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,7.944580967975775,0.20299405122806055,7.56034206037227,7.6102869481886275,8.273768597707347,8.335199266453062,0.0,,,,,,,,,7.089923958321546
staggered,D_contamination,2,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,8.773666824302746,0.257233248280735,8.280490852687292,8.375655443305064,9.201017069524209,9.274708825618731,0.0,,,,,,,,,9.271439022420484
staggered,D_contamination,2,200,0,structured,GATT,g=5_t=5,5.0,5.0,0.0,plain,5.3380902088326785,0.21107489947867103,4.936617661663629,5.00778477424061,5.676582930432988,5.746608570094508,0.0,,,,,,,,,5.497187989889877
staggered,D_contamination,2,200,0,structured,GATT,g=5_t=6,5.0,6.0,1.0,plain,10.814181231204461,0.19247116274029002,10.448542522043757,10.49572691271407,11.132626638009022,11.192885714102983,0.0,,,,,,,,,9.89493838180178
staggered,D_contamination,2,200,0,structured,GATT,g=5_t=7,5.0,7.0,2.0,plain,13.770811850273772,0.24216282863994512,13.323804113674292,13.386509807615052,14.156485600034673,14.24104823697211,0.0,,,,,,,,,14.292688773713682
staggered,D_contamination,2,200,0,structured,GATT,g=6_t=6,6.0,6.0,0.0,plain,8.901560080006666,0.2116330434413061,8.466004399656104,8.534116711872661,9.238254517601797,9.294540940190895,0.0,,,,,,,,,8.226369723104812
staggered,D_contamination,2,200,0,structured,GATT,g=6_t=7,6.0,7.0,1.0,plain,14.61690278867489,0.26634618558753187,14.110486621072392,14.212960658914842,15.061394688088422,15.157409289798311,0.0,,,,,,,,,14.807465501588661
staggered,D_contamination,2,200,0,structured,ES,k=0,,,0.0,plain,5.506026335565767,0.1275250875567667,5.263795028752669,5.300251634748617,5.718312411406042,5.7605780994652065,0.0,,,,,,,,,5.4470344840681175
staggered,D_contamination,2,200,0,structured,ES,k=1,,,1.0,plain,10.11422874320495,0.15061373219982965,9.83544402024863,9.882596639259955,10.358422299952107,10.402578248290393,0.0,,,,,,,,,9.804662071322612
staggered,D_contamination,2,200,0,structured,ES,k=2,,,2.0,plain,10.971936230346301,0.18932657848919832,10.619108747650708,10.675566024396193,11.269529725518215,11.333130519184104,0.0,,,,,,,,,10.832537048672362
staggered,D_contamination,2,200,0,structured,ES,k=3,,,3.0,plain,8.773666824302746,0.257233248280735,8.280490852687292,8.375655443305064,9.201017069524209,9.274708825618731,0.0,,,,,,,,,9.271439022420484
staggered,D_contamination,2,200,0,structured,ATT,ATT,,,,plain,8.633552731899764,0.1287707969384733,8.39070678890732,8.431480984141144,8.842934145308949,8.883196262393266,0.0,,,,,,,,,8.53390217776482
staggered,D_contamination,2,200,0,structured,CATT,surface,,,,plain,,,,,,,,1.0202615767338559,0.7590329003795467,449.0,0.13638057765356382,0.6993318485523385,1.9112484543046182,0.5857461024498887,1.6100999796630513,
staggered,D_contamination,2,200,0,structured,GATT,g=5_t=5,5.0,5.0,0.0,corrected,5.656205719648844,0.5005897116432813,4.734073118315486,4.862731524985995,6.513252982977319,6.72591179238468,0.0,,,,,,,,,5.497187989889877
staggered,D_contamination,2,200,0,structured,GATT,g=5_t=6,5.0,6.0,1.0,corrected,10.642986604483777,0.6942180778085325,9.299769559875411,9.539560272591768,11.812533406055138,12.040532946530197,0.0,,,,,,,,,9.89493838180178
staggered,D_contamination,2,200,0,structured,GATT,g=5_t=7,5.0,7.0,2.0,corrected,14.688426709739455,0.7471506017328089,13.311739481622372,13.500372043600388,15.946686024542982,16.26468851790142,0.0,,,,,,,,,14.292688773713682
staggered,D_contamination,2,200,0,structured,GATT,g=6_t=6,6.0,6.0,0.0,corrected,8.82605525007734,0.7944194923124306,7.36450034305122,7.602023354080213,10.191807537645046,10.482557569757384,0.0,,,,,,,,,8.226369723104812
staggered,D_contamination,2,200,0,structured,GATT,g=6_t=7,6.0,7.0,1.0,corrected,15.812492344905666,0.978717488717507,13.870657164091098,14.27306213005267,17.545854626885845,17.800914508960005,0.0,,,,,,,,,14.807465501588661
staggered,D_contamination,2,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,corrected,1.6649809847739743,0.8754342368592145,-0.40107755118543614,0.08035713593424264,2.7095913255343755,2.8240158568251834,0.042,,,,,,,,,2.726893830123671
staggered,D_contamination,2,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,corrected,4.444126720779254,0.5579003860839978,3.2943162953199927,3.4977451766189076,5.283128708668647,5.406374853724048,0.0,,,,,,,,,4.9084088942226085
staggered,D_contamination,2,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,corrected,7.459355477165433,0.629117056755626,6.227154998420887,6.391272765416972,8.444651191906525,8.690844933576617,0.0,,,,,,,,,7.089923958321546
staggered,D_contamination,2,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,corrected,8.88112068319624,0.6279066200459282,7.680317564258627,7.860823390706429,9.888891389964128,10.150233161931336,0.0,,,,,,,,,9.271439022420484
staggered,D_contamination,2,200,0,structured,ES,k=0,,,0.0,corrected,5.34354072583187,0.2694743433800135,4.818602947584739,4.899330338347708,5.773490642000257,5.860813502179775,0.0,,,,,,,,,5.4470344840681175
staggered,D_contamination,2,200,0,structured,ES,k=1,,,1.0,corrected,10.23508482930463,0.4027130739757135,9.461751639710503,9.587179721402075,10.935636991048007,11.11324727049807,0.0,,,,,,,,,9.804662071322612
staggered,D_contamination,2,200,0,structured,ES,k=2,,,2.0,corrected,11.215637588208798,0.4944140993758344,10.290131998944599,10.409716745352526,12.059479007234176,12.230837221145684,0.0,,,,,,,,,10.832537048672362
staggered,D_contamination,2,200,0,structured,ES,k=3,,,3.0,corrected,8.88112068319624,0.6279066200459282,7.680317564258627,7.860823390706429,9.888891389964128,10.150233161931336,0.0,,,,,,,,,9.271439022420484
staggered,D_contamination,2,200,0,structured,ATT,ATT,,,,corrected,8.686826626256686,0.3363388991191959,8.070141852247234,8.154512324701736,9.267762150729766,9.391866624616597,0.0,,,,,,,,,8.53390217776482
staggered,D_contamination,2,200,0,structured,CATT,surface,,,,corrected,,,,,,,,3.516272773470337,2.59133545491442,449.0,0.4566008815872532,0.3674832962138085,2.7658621613988896,0.3207126948775056,2.292757464450382,
staggered,D_contamination,2,200,1,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,2.2836911519032927,0.20079155228065912,1.8793782093757552,1.957722885983022,2.594878133526184,2.6604010533800664,0.0,,,,,,,,,2.6990432383743252
staggered,D_contamination,2,200,1,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,4.827657982080486,0.2152963715262869,4.426922881436148,4.500321453392886,5.179769457988115,5.248751266832571,0.0,,,,,,,,,4.858277829073784
staggered,D_contamination,2,200,1,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,7.535341662260233,0.20439159018415176,7.152769081777204,7.20695339561361,7.86766992416212,7.936142419832298,0.0,,,,,,,,,7.017512419773244
staggered,D_contamination,2,200,1,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,7.958160104264938,0.2575301558843696,7.428626638686459,7.509908874239511,8.378208202311667,8.42929495686414,0.0,,,,,,,,,9.176747010472706
staggered,D_contamination,2,200,1,structured,GATT,g=5_t=5,5.0,5.0,0.0,plain,4.948192827681217,0.20774053251593547,4.565102445356026,4.6110186326893805,5.287157924183892,5.344623308002494,0.0,,,,,,,,,5.147622427766739
staggered,D_contamination,2,200,1,structured,GATT,g=5_t=6,5.0,6.0,1.0,plain,9.755779322613046,0.192285743927792,9.36381095145128,9.445310751351657,10.075437154251434,10.118584340900508,0.0,,,,,,,,,9.26572036998013
staggered,D_contamination,2,200,1,structured,GATT,g=5_t=7,5.0,7.0,2.0,plain,12.435029508671423,0.2294772804181985,11.981908419726018,12.063122455550255,12.801084839163563,12.878446334117186,0.0,,,,,,,,,13.383818312193528
staggered,D_contamination,2,200,1,structured,GATT,g=6_t=6,6.0,6.0,0.0,plain,9.060185705437714,0.2114205508309454,8.616996380016582,8.715985752222773,9.395480373248505,9.473070266595208,0.0,,,,,,,,,8.70151983849065
staggered,D_contamination,2,200,1,structured,GATT,g=6_t=7,6.0,7.0,1.0,plain,14.215218356160582,0.25276350930405783,13.719505015542346,13.799048351946936,14.61040523144772,14.704933345174625,0.0,,,,,,,,,15.66273570928317
staggered,D_contamination,2,200,1,structured,ES,k=0,,,0.0,plain,5.1598578736654375,0.12671199643431816,4.90839125767816,4.950138786436245,5.374310917101721,5.407596202613605,0.0,,,,,,,,,5.274515667239085
staggered,D_contamination,2,200,1,structured,ES,k=1,,,1.0,plain,9.20129823669174,0.15077489151035117,8.909478581143023,8.954332370941195,9.449506897086692,9.49676671314538,0.0,,,,,,,,,9.494128201030351
staggered,D_contamination,2,200,1,structured,ES,k=2,,,2.0,plain,9.74020119314527,0.18007783831534005,9.395329369436757,9.443570793076944,10.036277802385346,10.088364290639797,0.0,,,,,,,,,9.882350071362373
staggered,D_contamination,2,200,1,structured,ES,k=3,,,3.0,plain,7.958160104264938,0.2575301558843696,7.428626638686459,7.509908874239511,8.378208202311667,8.42929495686414,0.0,,,,,,,,,9.176747010472706
staggered,D_contamination,2,200,1,structured,ATT,ATT,,,,plain,7.857968818209013,0.12456617096106741,7.614093320340425,7.650765990721459,8.066463019456368,8.100941287748109,0.0,,,,,,,,,8.174313301303322
staggered,D_contamination,2,200,1,structured,CATT,surface,,,,plain,,,,,,,,1.156524667232807,0.8341127647816476,441.0,0.14406574156195917,0.691609977324263,1.8764839331209062,0.5827664399092971,1.5831857502951643,
staggered,D_contamination,2,200,1,structured,GATT,g=5_t=5,5.0,5.0,0.0,corrected,4.832658322620245,0.38544534025078253,4.083781653440816,4.182664041921454,5.43584298821497,5.59115208930888,0.0,,,,,,,,,5.147622427766739
staggered,D_contamination,2,200,1,structured,GATT,g=5_t=6,5.0,6.0,1.0,corrected,9.173780698164656,0.6421065831190155,7.915955425350447,8.135662861718378,10.237135529917971,10.463915126465604,0.0,,,,,,,,,9.26572036998013
staggered,D_contamination,2,200,1,structured,GATT,g=5_t=7,5.0,7.0,2.0,corrected,12.790114691053523,0.6394856700369264,11.550710316908367,11.77006400321046,13.836337791394858,14.026481404460618,0.0,,,,,,,,,13.383818312193528
staggered,D_contamination,2,200,1,structured,GATT,g=4_t=4,4.0,4.0,0.0,corrected,2.8739448038942292,0.3560866453539466,2.229018279648763,2.3149284707567035,3.483923959206307,3.592685679429064,0.0,,,,,,,,,2.6990432383743252
staggered,D_contamination,2,200,1,structured,GATT,g=4_t=5,4.0,5.0,1.0,corrected,5.484921064865078,0.4067143352583334,4.7051062349820905,4.864725660864658,6.161501916911769,6.300823654645963,0.0,,,,,,,,,4.858277829073784
staggered,D_contamination,2,200,1,structured,GATT,g=4_t=6,4.0,6.0,2.0,corrected,7.563989927029915,0.43722963332077486,6.687923305138772,6.832255470936776,8.291279157495945,8.45359691324648,0.0,,,,,,,,,7.017512419773244
staggered,D_contamination,2,200,1,structured,GATT,g=4_t=7,4.0,7.0,3.0,corrected,9.045574733428372,0.5127110380146988,8.072204978048317,8.22680439386299,9.907040324096652,10.075134569968927,0.0,,,,,,,,,9.176747010472706
staggered,D_contamination,2,200,1,structured,GATT,g=6_t=6,6.0,6.0,0.0,corrected,8.251459834763043,0.5722892512079147,7.086215712902218,7.306376007923581,9.214919371799109,9.395058915444114,0.0,,,,,,,,,8.70151983849065
staggered,D_contamination,2,200,1,structured,GATT,g=6_t=7,6.0,7.0,1.0,corrected,14.788939619869135,0.7773548823473383,13.303639732372101,13.54778211578184,16.098447533087644,16.41387280824451,0.0,,,,,,,,,15.66273570928317
