dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,2.637166192872628,0.1564945566349858,2.325427078680354,2.3784893045652775,2.89187362095366,2.9440307140433974,0.0,,,,,,,,,2.7588635471796774
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,4.2759630035012774,0.17323353161431643,3.9539491673636733,4.0034776260748535,4.571780883813011,4.637066653135919,0.0,,,,,,,,,3.862408966051548
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,4.929473587710895,0.26496527579501367,4.4207138549795495,4.49353783205853,5.38442505853865,5.49198491453973,0.0,,,,,,,,,4.965954384923421
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,5.022328816446642,0.3464673667771755,4.4226421345015305,4.501734842756114,5.650432091015707,5.804556875505975,0.0,,,,,,,,,6.069499803795289
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=5_t=5,5.0,5.0,0.0,plain,4.325113828492167,0.15702095378857786,4.013356184209218,4.060131744219,4.59366004492327,4.642451332354848,0.0,,,,,,,,,4.237213257308821
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=5_t=6,5.0,6.0,1.0,plain,5.970380983159383,0.24124704444798692,5.540118110063892,5.610884869268652,6.420323315669712,6.512720792415561,0.0,,,,,,,,,5.9320985602323475
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=5_t=7,5.0,7.0,2.0,plain,6.621237486483686,0.3570559208462261,5.9649429564727106,6.055057277453768,7.257544020070981,7.392105919172983,0.0,,,,,,,,,7.6269838631558775
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=6_t=6,6.0,6.0,0.0,plain,5.058296020980518,0.23569654031562948,4.615446650185808,4.684227695802326,5.440301500220959,5.544582951915363,0.0,,,,,,,,,5.474616727173357
staggered,D_ramp_nt05,1,200,0,structured,GATT,g=6_t=7,6.0,7.0,1.0,plain,6.704766357577549,0.34304137281143104,6.096563777698729,6.180868976452599,7.311480120544191,7.448051205450451,0.0,,,,,,,,,7.6644634180427005
staggered,D_ramp_nt05,1,200,0,structured,ES,k=0,,,0.0,plain,4.004194102959659,0.13195845520778662,3.7499807959290576,3.793942735359626,4.223371838770266,4.2662672420337024,0.0,,,,,,,,,4.145263152744241
