"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B1_serial_corr",1,200,0,"GATT","g=4_t=4",4,4,0,"wang",3.69704287436419,0.0923605744066234,3.51601947350789,3.54512321410916,3.84896253461922,3.87806627522049,0,,,,,,,,,3.84856251356771
"canonical","B1_serial_corr",1,200,0,"GATT","g=4_t=5",4,5,1,"wang",3.34692004688546,0.108617606648643,3.13403344808796,3.16825994211901,3.5255801516519,3.55980664568296,8.56365663153443e-209,,,,,,,,,3.84856251356771
"canonical","B1_serial_corr",1,200,0,"GATT","g=4_t=6",4,6,2,"wang",3.42223973902887,0.132041546143321,3.16344306208362,3.20505067368884,3.6394288043689,3.68103641597412,2.09266519134655e-148,,,,,,,,,3.84856251356771
"canonical","B1_serial_corr",1,200,0,"GATT","g=4_t=7",4,7,3,"wang",3.47240363211078,0.164049675298318,3.15087217431439,3.20256586749764,3.74224139672392,3.79393508990718,9.66584500452639e-100,,,,,,,,,3.84856251356771
"canonical","B1_serial_corr",1,200,0,"CATT","surface",,,,"wang",,,,,,,,0.790684479307737,0.664939156358084,432,0.171439429799191,0.407407407407407,0.985348124697599,0.331018518518519,0.826930394793651,
"canonical","B1_serial_corr",1,200,1,"GATT","g=4_t=4",4,4,0,"wang",3.70261169719928,0.117597981472348,3.47212388704081,3.50918018698256,3.896043207416,3.93309950735775,6.8961439714597e-218,,,,,,,,,3.67731508707969
"canonical","B1_serial_corr",1,200,1,"GATT","g=4_t=5",4,5,1,"wang",3.70890637177283,0.132930198555912,3.44836796809039,3.49025560295735,3.92755714058832,3.96944477545527,1.2915926765015e-171,,,,,,,,,3.67731508707969
"canonical","B1_serial_corr",1,200,1,"GATT","g=4_t=6",4,6,2,"wang",3.64152307088265,0.152163782838148,3.34328753441607,3.39123586402619,3.89181027773911,3.93975860734924,7.18248742319116e-127,,,,,,,,,3.67731508707969
"canonical","B1_serial_corr",1,200,1,"GATT","g=4_t=7",4,7,3,"wang",3.76312461852815,0.173925041521794,3.42223779844693,3.47704331828086,4.04920591877544,4.10401143860938,4.07513858265651e-104,,,,,,,,,3.67731508707969
"canonical","B1_serial_corr",1,200,1,"CATT","surface",,,,"wang",,,,,,,,0.575233156730017,0.47754499716886,416,0.141591429873353,0.644230769230769,1.18507558389824,0.545673076923077,0.994546999065977,
"canonical","B1_serial_corr",1,200,2,"GATT","g=4_t=4",4,4,0,"wang",3.85603887014976,0.116688964912074,3.62733269972483,3.66410255945827,4.04797518084124,4.08474504057469,9.04254782355257e-240,,,,,,,,,3.70203253220689
"canonical","B1_serial_corr",1,200,2,"GATT","g=4_t=5",4,5,1,"wang",3.81859503883291,0.132322022064224,3.55924863917982,3.60094463155248,4.03624544611333,4.07794143848599,1.99051880563195e-183,,,,,,,,,3.70203253220689
"canonical","B1_serial_corr",1,200,2,"GATT","g=4_t=6",4,6,2,"wang",3.80253221419531,0.149468828347283,3.50957869151246,3.55667781401297,4.04838661437765,4.09548573687817,4.51930929757522e-143,,,,,,,,,3.70203253220689
"canonical","B1_serial_corr",1,200,2,"GATT","g=4_t=7",4,7,3,"wang",3.61179356978011,0.160922163772657,3.2963919219836,3.34710010501,3.87648703455022,3.92719521757662,7.26541731216438e-112,,,,,,,,,3.70203253220689
"canonical","B1_serial_corr",1,200,2,"CATT","surface",,,,"wang",,,,,,,,0.65542244479279,0.562331038706662,416,0.17041617186951,0.526442307692308,1.1665185803417,0.46875,0.978973467343977,
"canonical","B1_serial_corr",1,200,3,"GATT","g=4_t=4",4,4,0,"wang",3.74202341970288,0.120686153227043,3.5054829040794,3.54351231782277,3.940534521583,3.97856393532637,2.22095351318227e-211,,,,,,,,,3.71837665318432
"canonical","B1_serial_corr",1,200,3,"GATT","g=4_t=5",4,5,1,"wang",3.81678156044256,0.141539183845708,3.53936985551559,3.58397026773721,4.0495928531479,4.09419326536953,1.83913701999079e-160,,,,,,,,,3.71837665318432
"canonical","B1_serial_corr",1,200,3,"GATT","g=4_t=6",4,6,2,"wang",3.68145052461327,0.168882477281783,3.35044694891016,3.40366350632642,3.95923754290012,4.01245410031638,1.18856152080442e-105,,,,,,,,,3.71837665318432
"canonical","B1_serial_corr",1,200,3,"GATT","g=4_t=7",4,7,3,"wang",3.91667793814624,0.179061299249022,3.56572423782493,3.62214824383129,4.21120763246119,4.26763163846755,2.32820765916192e-106,,,,,,,,,3.71837665318432
"canonical","B1_serial_corr",1,200,3,"CATT","surface",,,,"wang",,,,,,,,0.617747242790676,0.550986257014222,396,0.162484821268952,0.580808080808081,1.26800621407164,0.462121212121212,1.06414459308466,
"canonical","B1_serial_corr",1,200,4,"GATT","g=4_t=4",4,4,0,"wang",4.03483517212664,0.132892201935729,3.77437124045188,3.81624690220385,4.25342344204943,4.2952991038014,8.79954132001283e-203,,,,,,,,,3.94647990899825
"canonical","B1_serial_corr",1,200,4,"GATT","g=4_t=5",4,5,1,"wang",4.02843488950167,0.159794944582383,3.7152425507382,3.76559553572556,4.29127424327778,4.34162722826513,1.55493104259497e-140,,,,,,,,,3.94647990899825
"canonical","B1_serial_corr",1,200,4,"GATT","g=4_t=6",4,6,2,"wang",4.03549324313077,0.168734173715033,3.70478033707956,3.7579501625589,4.31303632370264,4.36620614918198,1.03699767942047e-126,,,,,,,,,3.94647990899825
"canonical","B1_serial_corr",1,200,4,"GATT","g=4_t=7",4,7,3,"wang",3.90504870944378,0.172697589951254,3.56656765025256,3.6209863878221,4.18911103106546,4.243529768635,1.64882078530185e-113,,,,,,,,,3.94647990899825
"canonical","B1_serial_corr",1,200,4,"CATT","surface",,,,"wang",,,,,,,,0.532143330034038,0.441030999571672,392,0.1301073864462,0.727040816326531,1.28367314983944,0.642857142857143,1.07729270293026,
"canonical","B1_serial_corr",1,200,5,"GATT","g=4_t=4",4,4,0,"wang",3.87689087940092,0.121194658245512,3.63935371224741,3.67754336100716,4.07623839779468,4.11442804655443,7.76489068662827e-225,,,,,,,,,3.69681432775552
"canonical","B1_serial_corr",1,200,5,"GATT","g=4_t=5",4,5,1,"wang",3.9716051932094,0.141201197973276,3.6948559284249,3.73934983791826,4.20386054850053,4.24835445799389,2.27280571248995e-174,,,,,,,,,3.69681432775552
"canonical","B1_serial_corr",1,200,5,"GATT","g=4_t=6",4,6,2,"wang",3.80997719561213,0.151462818476941,3.5131155240588,3.56084297278906,4.0591114184352,4.10683886716547,6.30268363478072e-140,,,,,,,,,3.69681432775552
"canonical","B1_serial_corr",1,200,5,"GATT","g=4_t=7",4,7,3,"wang",3.89274796534988,0.151395285356593,3.59601865628123,3.64372482464995,4.14177110604981,4.18947727441853,4.23861128236969e-146,,,,,,,,,3.69681432775552
"canonical","B1_serial_corr",1,200,5,"CATT","surface",,,,"wang",,,,,,,,0.764657218430051,0.696363854283753,400,0.21153836280915,0.355,1.09014465833989,0.2775,0.914878437486093,
"canonical","B1_serial_corr",1,200,6,"GATT","g=4_t=4",4,4,0,"wang",3.79581410073239,0.126122723379551,3.54861810332651,3.58836063469064,4.00326756677414,4.04301009813827,2.71695771319236e-199,,,,,,,,,3.74261969422952
"canonical","B1_serial_corr",1,200,6,"GATT","g=4_t=5",4,5,1,"wang",3.72645503012294,0.139734104884609,3.45258121497688,3.49661282876707,3.95629723147881,4.000328845269,5.50683242649574e-157,,,,,,,,,3.74261969422952
"canonical","B1_serial_corr",1,200,6,"GATT","g=4_t=6",4,6,2,"wang",3.68033303710666,0.147138360381667,3.39194714773956,3.43831191647943,3.92235415773388,3.96871892647375,2.22183521857607e-138,,,,,,,,,3.74261969422952
"canonical","B1_serial_corr",1,200,6,"GATT","g=4_t=7",4,7,3,"wang",3.81172080943301,0.160101958570886,3.49792673430458,3.54837646246985,4.07506515639616,4.12551488456143,1.37712057100866e-125,,,,,,,,,3.74261969422952
"canonical","B1_serial_corr",1,200,6,"CATT","surface",,,,"wang",,,,,,,,0.720555507035871,0.66203822337773,364,0.195231515524973,0.373626373626374,1.13375243266978,0.277472527472527,0.951475243364989,
"canonical","B1_serial_corr",1,200,7,"GATT","g=4_t=4",4,4,0,"wang",3.68263287415891,0.110798287485232,3.46547221942621,3.50038586779568,3.86487988052214,3.89979352889162,1.5588324720246e-242,,,,,,,,,3.79316388625667
