"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep",1,800,0,"GATT","g=4_t=4",4,4,0,"wang",3.87343202407869,0.0760478207686348,3.72438103309371,3.74834446189612,3.99851958626126,4.02248301506367,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep",1,800,0,"GATT","g=4_t=5",4,5,1,"wang",3.72781114847745,0.0736848526469559,3.58339148994411,3.6066103238617,3.84901197309321,3.87223080701079,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep",1,800,0,"GATT","g=4_t=6",4,6,2,"wang",3.75363067872203,0.0787651889892922,3.59925374384982,3.62407344255224,3.88318791489182,3.90800761359424,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep",1,800,0,"GATT","g=4_t=7",4,7,3,"wang",3.89984661973431,0.0775099462617478,3.74792991541935,3.77235407458589,4.02733916488273,4.05176332404927,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep",1,800,0,"CATT","surface",,,,"wang",,,,,,,,0.281545754289704,0.221525713062169,1768,0.0659394975109863,0.943438914027149,1.13161881468387,0.892533936651584,0.949684654314072,
"canonical","B2_sweep",1,800,1,"GATT","g=4_t=4",4,4,0,"wang",3.76962353179088,0.0903345248985616,3.5925711150326,3.62103642717338,3.91821063640838,3.94667594854917,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep",1,800,1,"GATT","g=4_t=5",4,5,1,"wang",3.72708611298782,0.0885163541562066,3.5535972454304,3.58148963378857,3.87268259218707,3.90057498054523,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep",1,800,1,"GATT","g=4_t=6",4,6,2,"wang",3.90554837663054,0.0802727349500473,3.7482167059469,3.77351144745701,4.03758530580406,4.06288004731417,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep",1,800,1,"GATT","g=4_t=7",4,7,3,"wang",3.70045395110525,0.0857322458316299,3.53242183563611,3.55943692362011,3.84147097859039,3.8684860665744,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep",1,800,1,"CATT","surface",,,,"wang",,,,,,,,0.34351033823552,0.280891278083743,1504,0.0864260204570277,0.86436170212766,1.0739384970817,0.790558510638298,0.901277795244621,
