"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep_serial",3,200,0,"GATT","g=4_t=4",4,4,0,"wang",3.69749999718045,0.0924341230834031,3.51633244356541,3.54545936009022,3.84954063427068,3.87866755079549,0,,,,,,,,,3.84856251356771
"canonical","B2_sweep_serial",3,200,0,"GATT","g=4_t=5",4,5,1,"wang",3.34428911984472,0.108681765206431,3.13127677258366,3.16552348361786,3.52305475607158,3.55730146710578,3.16407920621108e-208,,,,,,,,,3.84856251356771
"canonical","B2_sweep_serial",3,200,0,"GATT","g=4_t=6",4,6,2,"wang",3.42620759956947,0.131984830779266,3.16752208269602,3.20911182272287,3.64330337641607,3.68489311644293,7.17618546586951e-149,,,,,,,,,3.84856251356771
"canonical","B2_sweep_serial",3,200,0,"GATT","g=4_t=7",4,7,3,"wang",3.47359005615902,0.164142134246617,3.15187738215249,3.20360021007494,3.74357990224311,3.79530273016556,1.06779912356476e-99,,,,,,,,,3.84856251356771
"canonical","B2_sweep_serial",3,200,0,"CATT","surface",,,,"wang",,,,,,,,0.789729114505991,0.664338073718621,432,0.171284308589142,0.402777777777778,0.983721455104437,0.328703703703704,0.825565250338452,
"canonical","B2_sweep_serial",3,200,1,"GATT","g=4_t=4",4,4,0,"wang",3.7055459508482,0.117397123600482,3.4754518148877,3.51244482250545,3.89864707919094,3.93564008680869,5.72534138606613e-219,,,,,,,,,3.67731508707969
"canonical","B2_sweep_serial",3,200,1,"GATT","g=4_t=5",4,5,1,"wang",3.70934251016392,0.132871173227067,3.4489197940011,3.49078882939668,3.92789619093115,3.96976522632673,8.33424771808054e-172,,,,,,,,,3.67731508707969
"canonical","B2_sweep_serial",3,200,1,"GATT","g=4_t=6",4,6,2,"wang",3.63846200887625,0.152236632978943,3.34008368875631,3.3880549741743,3.8888690435782,3.93684032899619,1.52980833860963e-126,,,,,,,,,3.67731508707969
"canonical","B2_sweep_serial",3,200,1,"GATT","g=4_t=7",4,7,3,"wang",3.76263243994712,0.174014097036783,3.42157107426251,3.47640465637978,4.04886022351446,4.10369380563172,5.50812179258938e-104,,,,,,,,,3.67731508707969
"canonical","B2_sweep_serial",3,200,1,"CATT","surface",,,,"wang",,,,,,,,0.575544137482575,0.478040425518927,416,0.141675942673857,0.646634615384615,1.19446057148434,0.550480769230769,1.00242313065357,
"canonical","B2_sweep_serial",3,200,2,"GATT","g=4_t=4",4,4,0,"wang",3.85812813272346,0.116447343163403,3.62989553222754,3.66658925453176,4.04966701091515,4.08636073321937,5.15228817861459e-241,,,,,,,,,3.70203253220689
"canonical","B2_sweep_serial",3,200,2,"GATT","g=4_t=5",4,5,1,"wang",3.82621159550556,0.132236818488093,3.56703219179436,3.60870133566815,4.04372185534297,4.08539099921676,2.19607413459745e-184,,,,,,,,,3.70203253220689
"canonical","B2_sweep_serial",3,200,2,"GATT","g=4_t=6",4,6,2,"wang",3.80381220234893,0.149619729254421,3.51056291932052,3.55770959220588,4.04991481249198,4.09706148537734,6.98659991758397e-143,,,,,,,,,3.70203253220689
"canonical","B2_sweep_serial",3,200,2,"GATT","g=4_t=7",4,7,3,"wang",3.60808520825795,0.160798080855416,3.29292675851225,3.3435958417706,3.87257457474531,3.92324365800366,8.26684824062059e-112,,,,,,,,,3.70203253220689
"canonical","B2_sweep_serial",3,200,2,"CATT","surface",,,,"wang",,,,,,,,0.656316580196417,0.562579570691198,416,0.170549552666791,0.528846153846154,1.17601742558942,0.471153846153846,0.986945151314238,
"canonical","B2_sweep_serial",3,200,3,"GATT","g=4_t=4",4,4,0,"wang",3.73798522954766,0.121106815662715,3.5006202306941,3.53878219937758,3.93718825971774,3.97535022840122,1.75172812608838e-209,,,,,,,,,3.71837665318432
"canonical","B2_sweep_serial",3,200,3,"GATT","g=4_t=5",4,5,1,"wang",3.8155389479945,0.141648166996884,3.53791364001462,3.582548393917,4.04852950207199,4.09316425597438,4.07961157949932e-160,,,,,,,,,3.71837665318432
"canonical","B2_sweep_serial",3,200,3,"GATT","g=4_t=6",4,6,2,"wang",3.68282001866239,0.169185763803951,3.35122201229414,3.40453413832641,3.96110589899837,4.01441802503064,2.33746391231962e-105,,,,,,,,,3.71837665318432
"canonical","B2_sweep_serial",3,200,3,"GATT","g=4_t=7",4,7,3,"wang",3.91623570594014,0.179018488863644,3.565365912433,3.62177642845882,4.21069498342146,4.26710549944728,2.1915044813887e-106,,,,,,,,,3.71837665318432
"canonical","B2_sweep_serial",3,200,3,"CATT","surface",,,,"wang",,,,,,,,0.617334498390199,0.550750862576402,396,0.162444889412337,0.570707070707071,1.26935499416262,0.462121212121212,1.06527652526698,
"canonical","B2_sweep_serial",3,200,4,"GATT","g=4_t=4",4,4,0,"wang",4.03612371894337,0.132326525281687,3.77676849314617,3.81846590452768,4.25378153335905,4.29547894474056,1.25435170857978e-204,,,,,,,,,3.94647990899825
"canonical","B2_sweep_serial",3,200,4,"GATT","g=4_t=5",4,5,1,"wang",4.03067279009302,0.159582116469877,3.71789758676825,3.76818350748907,4.29316207269696,4.34344799341778,4.66396147058563e-141,,,,,,,,,3.94647990899825
"canonical","B2_sweep_serial",3,200,4,"GATT","g=4_t=6",4,6,2,"wang",4.03391600352669,0.1689776760679,3.70272584162994,3.7559723971357,4.31185960991767,4.36510616542343,2.95851019142878e-126,,,,,,,,,3.94647990899825
"canonical","B2_sweep_serial",3,200,4,"GATT","g=4_t=7",4,7,3,"wang",3.90803773616116,0.173334140073642,3.56830906164587,3.62292838252447,4.19314708979785,4.24776641067646,7.30515777056425e-113,,,,,,,,,3.94647990899825
"canonical","B2_sweep_serial",3,200,4,"CATT","surface",,,,"wang",,,,,,,,0.530927929037829,0.440433275099082,392,0.129897746878239,0.729591836734694,1.29316843300918,0.642857142857143,1.08526139750979,
"canonical","B2_sweep_serial",3,200,5,"GATT","g=4_t=4",4,4,0,"wang",3.87477155685323,0.12091877596629,3.63777510903524,3.67587782452998,4.07366528917649,4.11176800467123,1.31300079958932e-225,,,,,,,,,3.69681432775552
"canonical","B2_sweep_serial",3,200,5,"GATT","g=4_t=5",4,5,1,"wang",3.97088140378457,0.141570861993736,3.69340761082788,3.73801800515073,4.20374480241841,4.24835519674126,2.07039301405285e-173,,,,,,,,,3.69681432775552
"canonical","B2_sweep_serial",3,200,5,"GATT","g=4_t=6",4,6,2,"wang",3.80559852002395,0.151581056365425,3.50850510646575,3.55626981313706,4.05492722691085,4.10269193358216,2.13685392087769e-139,,,,,,,,,3.69681432775552
"canonical","B2_sweep_serial",3,200,5,"GATT","g=4_t=7",4,7,3,"wang",3.89294316825339,0.15113749648071,3.59671911610107,3.64434405261711,4.14154228388968,4.18916722040571,1.32391595663162e-146,,,,,,,,,3.69681432775552
"canonical","B2_sweep_serial",3,200,5,"CATT","surface",,,,"wang",,,,,,,,0.7642086546595,0.696267024581559,400,0.211429860126748,0.365,1.10714030008409,0.28,0.929141632782292,
"canonical","B2_sweep_serial",3,200,6,"GATT","g=4_t=4",4,4,0,"wang",3.79482105827513,0.126104560058324,3.54766066032498,3.58739746824496,4.0022446483053,4.04198145622528,3.02273160664867e-199,,,,,,,,,3.74261969422952
"canonical","B2_sweep_serial",3,200,6,"GATT","g=4_t=5",4,5,1,"wang",3.72443828096523,0.139884960128879,3.4502687949712,3.49434794475741,3.95452861717306,3.99860776695927,1.74287329502754e-156,,,,,,,,,3.74261969422952
"canonical","B2_sweep_serial",3,200,6,"GATT","g=4_t=6",4,6,2,"wang",3.67808721925465,0.147006510185097,3.38995975152623,3.43628297295065,3.91989146555865,3.96621468698307,1.85708517567303e-138,,,,,,,,,3.74261969422952
"canonical","B2_sweep_serial",3,200,6,"GATT","g=4_t=7",4,7,3,"wang",3.81520349184822,0.160081343986074,3.5014498205639,3.55189305286735,4.07851393082909,4.12895716313254,7.61620746960943e-126,,,,,,,,,3.74261969422952
"canonical","B2_sweep_serial",3,200,6,"CATT","surface",,,,"wang",,,,,,,,0.721103800681155,0.662174463664071,364,0.195229275548688,0.376373626373626,1.13269442156423,0.277472527472527,0.950587332261002,
"canonical","B2_sweep_serial",3,200,7,"GATT","g=4_t=4",4,4,0,"wang",3.6819165751434,0.110636463668809,3.46507308926523,3.49993574533191,3.8638974049549,3.89876006102157,3.83332288695385e-243,,,,,,,,,3.79316388625667
"canonical","B2_sweep_serial",3,200,7,"GATT","g=4_t=5",4,5,1,"wang",3.66312777409458,0.128912743790225,3.41046343712451,3.45108513182025,3.8751704163689,3.91579211106464,6.49490772648597e-178,,,,,,,,,3.79316388625667
"canonical","B2_sweep_serial",3,200,7,"GATT","g=4_t=6",4,6,2,"wang",3.63416734016155,0.15442787979348,3.33149425517,3.38015602437173,3.88817865595138,3.9368404251531,9.34959121673333e-123,,,,,,,,,3.79316388625667
"canonical","B2_sweep_serial",3,200,7,"GATT","g=4_t=7",4,7,3,"wang",3.84261996649702,0.162333266028637,3.52445260907847,3.57560544453675,4.10963448845729,4.16078732391557,3.57225023345921e-124,,,,,,,,,3.79316388625667
"canonical","B2_sweep_serial",3,200,7,"CATT","surface",,,,"wang",,,,,,,,0.652254769266491,0.540535678009516,444,0.150876061977865,0.529279279279279,1.1118081969572,0.443693693693694,0.933059056185645,
"canonical","B2_sweep_serial",3,200,8,"GATT","g=4_t=4",4,4,0,"wang",3.55070276433042,0.124769313144847,3.3061594022618,3.34547546052687,3.75593006813398,3.79524612639905,1.93215284468966e-178,,,,,,,,,3.70406290643759
"canonical","B2_sweep_serial",3,200,8,"GATT","g=4_t=5",4,5,1,"wang",3.51289913782063,0.137136344374643,3.24411683975472,3.28732987323062,3.73846840241064,3.78168143588653,5.04660850133312e-145,,,,,,,,,3.70406290643759
"canonical","B2_sweep_serial",3,200,8,"GATT","g=4_t=6",4,6,2,"wang",3.52610807930244,0.162937126315574,3.20675717746046,3.25810029533376,3.79411586327112,3.84545898114442,3.70119793467438e-104,,,,,,,,,3.70406290643759
"canonical","B2_sweep_serial",3,200,8,"GATT","g=4_t=7",4,7,3,"wang",3.45758275605787,0.162279805134489,3.13952018006726,3.19065616946319,3.72450934265256,3.77564533204848,4.96136446763933e-101,,,,,,,,,3.70406290643759
"canonical","B2_sweep_serial",3,200,8,"CATT","surface",,,,"wang",,,,,,,,0.687888343074292,0.551384910212865,396,0.153318249225488,0.537878787878788,1.16615846271557,0.474747474747475,0.978671247039001,
"canonical","B2_sweep_serial",3,200,9,"GATT","g=4_t=4",4,4,0,"wang",4.01922469568478,0.116741245811329,3.79041605657942,3.82720239054703,4.21124700082252,4.24803333479013,4.72577905849886e-260,,,,,,,,,3.9577084286395
"canonical","B2_sweep_serial",3,200,9,"GATT","g=4_t=5",4,5,1,"wang",3.7885782142301,0.141165167096333,3.5118995686673,3.55638212447103,4.02077430398917,4.06525685979289,5.83663436528811e-159,,,,,,,,,3.9577084286395
"canonical","B2_sweep_serial",3,200,9,"GATT","g=4_t=6",4,6,2,"wang",3.80567184275312,0.147265866928618,3.51703604514424,3.56344099247211,4.04790269303412,4.094307640362,1.48928445679e-147,,,,,,,,,3.9577084286395
"canonical","B2_sweep_serial",3,200,9,"GATT","g=4_t=7",4,7,3,"wang",3.76415318283056,0.155043267845777,3.46027395941048,3.50912964354136,4.01917672211976,4.06803240625064,1.67067108466982e-130,,,,,,,,,3.9577084286395
"canonical","B2_sweep_serial",3,200,9,"CATT","surface",,,,"wang",,,,,,,,0.73111640966931,0.651634522892774,416,0.175095247755026,0.384615384615385,1.05159504728641,0.314903846153846,0.882526576972459,
"canonical","B2_sweep_serial",3,200,10,"GATT","g=4_t=4",4,4,0,"wang",3.62666708928213,0.103834190682886,3.42315581357454,3.45587500540062,3.79745917316364,3.83017836498972,1.42276368339419e-267,,,,,,,,,3.68285610385533
"canonical","B2_sweep_serial",3,200,10,"GATT","g=4_t=5",4,5,1,"wang",3.79200682176298,0.132812100563307,3.53169988589452,3.57355030690302,4.01046333662294,4.05231375763144,1.33913077632891e-179,,,,,,,,,3.68285610385533
"canonical","B2_sweep_serial",3,200,10,"GATT","g=4_t=6",4,6,2,"wang",3.69998654103114,0.144823074537791,3.41613852856776,3.46177372758536,3.93819935447692,3.98383455349453,2.8657741642724e-144,,,,,,,,,3.68285610385533
"canonical","B2_sweep_serial",3,200,10,"GATT","g=4_t=7",4,7,3,"wang",3.57481028347958,0.160098960900049,3.26102208367807,3.31147086724729,3.83814969971187,3.88859848328108,9.71345824743829e-111,,,,,,,,,3.68285610385533
"canonical","B2_sweep_serial",3,200,10,"CATT","surface",,,,"wang",,,,,,,,0.518070178977248,0.439888854930737,404,0.125282721183684,0.690594059405941,1.15643989357092,0.579207920792079,0.970515164921243,
