"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep_serial",3,50,0,"GATT","g=4_t=4",4,4,0,"wang",3.89288183404609,0.332072407887653,3.24203186919297,3.34667120564245,4.43909246244972,4.5437317988992,4.85896457412257e-32,,,,,,,,,3.85157982722385
"canonical","B2_sweep_serial",3,50,0,"GATT","g=4_t=5",4,5,1,"wang",3.80356651271415,0.35535538598749,3.10708274897257,3.21905878465108,4.38807424077722,4.50005027645573,4.89725249926178e-27,,,,,,,,,3.85157982722385
"canonical","B2_sweep_serial",3,50,0,"GATT","g=4_t=6",4,6,2,"wang",3.76250948232276,0.346620226003533,3.08314631768398,3.19236981709995,4.33264914754558,4.44187264696155,9.45617394667777e-28,,,,,,,,,3.85157982722385
"canonical","B2_sweep_serial",3,50,0,"GATT","g=4_t=7",4,7,3,"wang",4.21037409925841,0.410297665381275,3.40620544582706,3.53549434316536,4.88525385535146,5.01454275268975,5.23924171922507e-25,,,,,,,,,3.85157982722385
"canonical","B2_sweep_serial",3,50,0,"CATT","surface",,,,"wang",,,,,,,,1.18888640221222,0.966429004456888,96,0.281250527272247,0.447916666666667,1.77946237278108,0.40625,1.49337222608091,
"canonical","B2_sweep_serial",3,50,1,"GATT","g=4_t=4",4,4,0,"wang",3.43657578183738,0.318779714413646,2.81177901765635,2.91222969346523,3.96092187020952,4.06137254601841,2.129931387471e-27,,,,,,,,,3.57360902390541
"canonical","B2_sweep_serial",3,50,1,"GATT","g=4_t=5",4,5,1,"wang",3.29083223324444,0.333789648497741,2.63661653861622,2.74179699475434,3.83986747173455,3.94504792787267,3.13351294720178e-23,,,,,,,,,3.57360902390541
"canonical","B2_sweep_serial",3,50,1,"GATT","g=4_t=6",4,6,2,"wang",3.16795324319214,0.258480474421953,2.66134081862219,2.74279060091729,3.59311588546698,3.67456566776208,7.79448353085403e-35,,,,,,,,,3.57360902390541
"canonical","B2_sweep_serial",3,50,1,"GATT","g=4_t=7",4,7,3,"wang",3.5154812447705,0.286231561659336,2.95447768825442,3.0446721156489,3.98629037389211,4.07648480128658,5.66189809316818e-35,,,,,,,,,3.57360902390541
"canonical","B2_sweep_serial",3,50,1,"CATT","surface",,,,"wang",,,,,,,,0.971938827342254,0.915420462318648,96,0.264558701629057,0.395833333333333,1.50140963781017,0.166666666666667,1.26002296388638,
