"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"staggered","D_ramp_nt10",2,200,0,"GATT","g=4_t=4",4,4,0,"wang",2.57958881506626,0.237826666201364,2.11345711107157,2.18839867185828,2.97077895827424,3.04572051906095,1.0359536323761e-27,,,,,,,,,2.71816764480561
"staggered","D_ramp_nt10",2,200,0,"GATT","g=4_t=5",4,5,1,"wang",3.7687925847126,0.29513791905948,3.1903328883211,3.28333379799594,4.25425137142926,4.34725228110409,1.21201552433552e-37,,,,,,,,,3.80543470272785
"staggered","D_ramp_nt10",2,200,0,"GATT","g=4_t=6",4,6,2,"wang",4.83930354660968,0.346932068296794,4.15932918230242,4.26865094634342,5.40995614687593,5.51927791091694,1.59858446055028e-44,,,,,,,,,4.89270176065009
"staggered","D_ramp_nt10",2,200,0,"GATT","g=4_t=7",4,7,3,"wang",5.83222887142889,0.338215128457039,5.16933939539772,5.27591436452582,6.38854337833196,6.49511834746006,6.19214102841907e-67,,,,,,,,,5.97996881857234
"staggered","D_ramp_nt10",2,200,0,"GATT","g=5_t=5",5,5,0,"wang",4.16994945355,0.250178939662376,3.67960773825357,3.75844162393058,4.58145728316941,4.66029116884642,1.1223008553647e-62,,,,,,,,,4.25196583601617
"staggered","D_ramp_nt10",2,200,0,"GATT","g=5_t=6",5,6,1,"wang",6.03772890399191,0.282544210670392,5.48395242266953,5.57298492889387,6.50247287908995,6.5915053853143,1.29407724497427e-101,,,,,,,,,5.95275217042264
"staggered","D_ramp_nt10",2,200,0,"GATT","g=5_t=7",5,7,2,"wang",7.72655660095402,0.296061127554894,7.14628744914702,7.23957927105084,8.2135339308572,8.30682575276102,1.92865922976917e-150,,,,,,,,,7.65353850482911
"staggered","D_ramp_nt10",2,200,0,"GATT","g=6_t=6",6,6,0,"wang",5.11342079251567,0.32167383856683,4.48295164918288,4.58431429245367,5.64252729257768,5.74388993584847,3.36147801533031e-57,,,,,,,,,5.49712617454967
"staggered","D_ramp_nt10",2,200,0,"GATT","g=6_t=7",6,7,1,"wang",7.99548553289026,0.39936506233236,7.21274438786108,7.33858831265263,8.65238275312789,8.77822667791944,1.82544524118509e-89,,,,,,,,,7.69597664436954
"staggered","D_ramp_nt10",2,200,0,"CATT","surface",,,,"wang",,,,,,,,2.16025276782577,1.64156673859699,535,0.445079831536721,0.370093457943925,1.80084662549154,0.319626168224299,1.51131846060757,
