"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B1_strong_confounder",1,200,0,"GATT","g=4_t=4",4,4,0,"doubleml",3.8748170901771,0.265986557901568,3.35349301220612,3.43730803646648,4.31232614388773,4.39614116814809,2.25349075521557e-48,,,,,,,,,3.85434204342959
"canonical","B1_strong_confounder",1,200,0,"GATT","g=4_t=5",4,5,1,"doubleml",3.4544633673627,0.240020944813243,2.98403095628276,3.05966395620286,3.84926277852255,3.92489577844265,2.89026793172402e-47,,,,,,,,,3.85434204342959
"canonical","B1_strong_confounder",1,200,0,"GATT","g=4_t=6",4,6,2,"doubleml",4.05579226988003,0.312193984929313,3.44390329840204,3.54227874499311,4.56930579476695,4.66768124135803,6.85779106898385e-39,,,,,,,,,3.85434204342959
"canonical","B1_strong_confounder",1,200,0,"GATT","g=4_t=7",4,7,3,"doubleml",4.02367159710254,0.35339023727498,3.33103945409212,3.44239625175984,4.60494694244524,4.71630374011296,2.45744914389278e-30,,,,,,,,,3.85434204342959
"canonical","B1_strong_confounder",1,200,0,"CATT","surface",,,,"doubleml",,,,,,,,0.847126944732476,0.701790117419992,408,0.201363317330004,0.45343137254902,1.14813880176967,0.379901960784314,0.963548667550044,
"canonical","B1_strong_confounder",1,200,1,"GATT","g=4_t=4",4,4,0,"doubleml",3.65583371000552,0.251865323359423,3.16218674337269,3.24155202541648,4.07011539459456,4.14948067663835,4.86547770158544e-48,,,,,,,,,3.66688864183852
"canonical","B1_strong_confounder",1,200,1,"GATT","g=4_t=5",4,5,1,"doubleml",3.91836383578159,0.251724831843772,3.42499222746174,3.50431323922403,4.33241443233915,4.41173544410144,6.1901009221491e-55,,,,,,,,,3.66688864183852
"canonical","B1_strong_confounder",1,200,1,"GATT","g=4_t=6",4,6,2,"doubleml",3.45678241750201,0.380187146761722,2.71162929658632,2.8314300684024,4.08213476660162,4.2019355384177,4.84748519311911e-20,,,,,,,,,3.66688864183852
"canonical","B1_strong_confounder",1,200,1,"GATT","g=4_t=7",4,7,3,"doubleml",3.68837557985864,0.268237698563103,3.1626393472321,3.24716372842632,4.12958743129095,4.21411181248517,2.53244522248882e-43,,,,,,,,,3.66688864183852
"canonical","B1_strong_confounder",1,200,1,"CATT","surface",,,,"doubleml",,,,,,,,0.869586462769843,0.741780791816828,420,0.218971923415357,0.4,1.12895396424745,0.335714285714286,0.947448240839259,
"canonical","B1_strong_confounder",1,200,2,"GATT","g=4_t=4",4,4,0,"doubleml",3.67546560566294,0.271168871988203,3.14398437864545,3.22943240189765,4.12149880942822,4.20694683268042,3.74333880901711e-42,,,,,,,,,3.73882575605939
"canonical","B1_strong_confounder",1,200,2,"GATT","g=4_t=5",4,5,1,"doubleml",3.39627063240349,0.262745218476686,2.88129946301705,2.96409310881124,3.82844815599574,3.91124180178993,1.60341304483171e-38,,,,,,,,,3.73882575605939
"canonical","B1_strong_confounder",1,200,2,"GATT","g=4_t=6",4,6,2,"doubleml",3.82165822779796,0.245404027142337,3.34067516914395,3.41800443213678,4.22531202345914,4.30264128645196,5.56027403390686e-55,,,,,,,,,3.73882575605939
"canonical","B1_strong_confounder",1,200,2,"GATT","g=4_t=7",4,7,3,"doubleml",3.10023322354006,0.299659695397767,2.51291100830947,2.60733677492626,3.59312967215386,3.68755543877065,2.18518279026243e-25,,,,,,,,,3.73882575605939
"canonical","B1_strong_confounder",1,200,2,"CATT","surface",,,,"doubleml",,,,,,,,0.943785818790502,0.785016473705296,412,0.217383946804309,0.383495145631068,1.05737883514426,0.317961165048544,0.887380485816258,
