"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep",2,200,0,"GATT","g=4_t=4",4,4,0,"doubleml",4.08676686931327,0.297955166061011,3.50278547021966,3.59667412259715,4.57685961602938,4.67074826840687,4.06918862479309e-43,,,,,,,,,3.84830691385353
"canonical","B2_sweep",2,200,0,"GATT","g=4_t=5",4,5,1,"doubleml",3.40866844642617,0.262347311830963,2.89447715974071,2.97714542117177,3.84019147168058,3.92285973311163,6.70674342585134e-39,,,,,,,,,3.84830691385353
"canonical","B2_sweep",2,200,0,"GATT","g=4_t=6",4,6,2,"doubleml",3.66753470557952,0.354445774641013,2.97283374733102,3.08452315537815,4.25054625578089,4.36223566382802,2.15366935030282e-25,,,,,,,,,3.84830691385353
"canonical","B2_sweep",2,200,0,"GATT","g=4_t=7",4,7,3,"doubleml",3.65737552460414,0.380801164739703,2.91101895055625,3.03101320557738,4.2837378436309,4.40373209865203,3.82927767151165e-22,,,,,,,,,3.84830691385353
"canonical","B2_sweep",2,200,0,"CATT","surface",,,,"doubleml",,,,,,,,1.02120452876207,0.803925143039704,432,0.251913836463465,0.486111111111111,1.26961510903772,0.405092592592593,1.06549482059933,
"canonical","B2_sweep",2,200,1,"GATT","g=4_t=4",4,4,0,"doubleml",3.57195758286546,0.24005145133249,3.10146538010603,3.17710799293541,3.96680717279552,4.0424497856249,2.22360662435748e-50,,,,,,,,,3.67730416263006
"canonical","B2_sweep",2,200,1,"GATT","g=4_t=5",4,5,1,"doubleml",4.04092395980693,0.315097373174564,3.42334445189022,3.52263478515126,4.55921313446261,4.65850346772364,5.98812936307768e-38,,,,,,,,,3.67730416263006
"canonical","B2_sweep",2,200,1,"GATT","g=4_t=6",4,6,2,"doubleml",3.63486938627935,0.314879120611721,3.01771764552872,3.11693920522468,4.15279956733402,4.25202112702998,3.97177357974659e-31,,,,,,,,,3.67730416263006
"canonical","B2_sweep",2,200,1,"GATT","g=4_t=7",4,7,3,"doubleml",3.73133708741656,0.391287135907094,2.96442838737555,3.08772687677123,4.37494729806189,4.49824578745757,7.41819750131435e-22,,,,,,,,,3.67730416263006
"canonical","B2_sweep",2,200,1,"CATT","surface",,,,"doubleml",,,,,,,,1.01369078163987,0.842227075381006,416,0.260718863756515,0.387019230769231,1.23606607573389,0.331730769230769,1.03733957814286,
"canonical","B2_sweep",2,200,2,"GATT","g=4_t=4",4,4,0,"doubleml",3.82620208729938,0.28122267609686,3.27501576616588,3.36363184363076,4.28877233096801,4.37738840843289,1.85466361193242e-42,,,,,,,,,3.67195896283254
"canonical","B2_sweep",2,200,2,"GATT","g=4_t=5",4,5,1,"doubleml",3.6386632752979,0.321803733223897,3.00793954311346,3.10934311748964,4.16798343310616,4.26938700748235,6.05198015934009e-30,,,,,,,,,3.67195896283254
"canonical","B2_sweep",2,200,2,"GATT","g=4_t=6",4,6,2,"doubleml",3.67755027455123,0.274692793335655,3.13916228855391,3.22572073466191,4.12937981444056,4.21593826054856,3.55986148521933e-41,,,,,,,,,3.67195896283254
"canonical","B2_sweep",2,200,2,"GATT","g=4_t=7",4,7,3,"doubleml",3.49417800942471,0.34112283260281,2.82558953794517,2.93308075372664,4.05527526512277,4.16276648090424,6.35049714140856e-25,,,,,,,,,3.67195896283254
"canonical","B2_sweep",2,200,2,"CATT","surface",,,,"doubleml",,,,,,,,1.03698362907675,0.859259723086854,416,0.26985774931794,0.403846153846154,1.1944432553974,0.331730769230769,1.00240859853214,
"canonical","B2_sweep",2,200,3,"GATT","g=4_t=4",4,4,0,"doubleml",3.60484204221191,0.299134156436935,3.01854986442515,3.11281002845999,4.09687405596383,4.19113421999867,9.58975868066814e-34,,,,,,,,,3.73131746748892
"canonical","B2_sweep",2,200,3,"GATT","g=4_t=5",4,5,1,"doubleml",3.5423855555118,0.319147797197084,2.91686736232622,3.01743402470099,4.06733708632261,4.16790374869739,6.30636800460335e-29,,,,,,,,,3.73131746748892
"canonical","B2_sweep",2,200,3,"GATT","g=4_t=6",4,6,2,"doubleml",4.04296230209412,0.333326261975599,3.38965482836737,3.4946892667785,4.59123533740973,4.69626977582086,3.70094513983949e-34,,,,,,,,,3.73131746748892
"canonical","B2_sweep",2,200,3,"GATT","g=4_t=7",4,7,3,"doubleml",3.98494598338184,0.300765706775874,3.39545602566657,3.49023030752872,4.47966165923496,4.57443594109711,2.27605686959902e-40,,,,,,,,,3.73131746748892
"canonical","B2_sweep",2,200,3,"CATT","surface",,,,"doubleml",,,,,,,,1.08853698407128,0.92960286613216,396,0.289194634762957,0.348484848484849,1.22730390120718,0.272727272727273,1.02998612786573,
"canonical","B2_sweep",2,200,4,"GATT","g=4_t=4",4,4,0,"doubleml",4.3156328601393,0.330743491047019,3.66738752445282,3.77160810591665,4.85965761436196,4.96387819582578,3.25002012552433e-39,,,,,,,,,3.99915843378171
"canonical","B2_sweep",2,200,4,"GATT","g=4_t=5",4,5,1,"doubleml",4.10447581527532,0.323038185497127,3.47133260107563,3.57312516370763,4.63582646684301,4.73761902947501,2.74338102460601e-37,,,,,,,,,3.99915843378171
"canonical","B2_sweep",2,200,4,"GATT","g=4_t=6",4,6,2,"doubleml",4.25638848253576,0.321661263064314,3.62594398673518,3.72730266733937,4.78547429773215,4.88683297833635,2.84734983805423e-40,,,,,,,,,3.99915843378171
"canonical","B2_sweep",2,200,4,"GATT","g=4_t=7",4,7,3,"doubleml",3.89337762747247,0.283353996872865,3.33801399434554,3.42730167230015,4.35945358264479,4.4487412605994,2.91046437943452e-43,,,,,,,,,3.99915843378171
"canonical","B2_sweep",2,200,4,"CATT","surface",,,,"doubleml",,,,,,,,1.20099339912796,1.01009467542204,392,0.306876864647883,0.331632653061224,1.23359833940684,0.278061224489796,1.03526858807953,
"canonical","B2_sweep",2,200,5,"GATT","g=4_t=4",4,4,0,"doubleml",3.93361521162691,0.249219256626555,3.4451544405321,3.52368592048769,4.34354450276612,4.42207598272172,2.01262581931256e-56,,,,,,,,,3.71859532082961
"canonical","B2_sweep",2,200,5,"GATT","g=4_t=5",4,5,1,"doubleml",4.01854326551949,0.270301663428341,3.48876173605983,3.57393649322273,4.46315003781625,4.54832479497916,2.70363524572183e-50,,,,,,,,,3.71859532082961
"canonical","B2_sweep",2,200,5,"GATT","g=4_t=6",4,6,2,"doubleml",3.66406347505154,0.279535194786845,3.11618455653634,3.20426889176562,4.12385805833746,4.21194239356675,1.48741918412874e-39,,,,,,,,,3.71859532082961
"canonical","B2_sweep",2,200,5,"GATT","g=4_t=7",4,7,3,"doubleml",3.89902233834714,0.252005065490527,3.40510148216807,3.48451079835479,4.3135338783395,4.39294319452622,2.68075922294828e-54,,,,,,,,,3.71859532082961
"canonical","B2_sweep",2,200,5,"CATT","surface",,,,"doubleml",,,,,,,,1.01166941232855,0.854138796283722,400,0.282381925958722,0.305,1.03002103762438,0.2525,0.864421093357126,
"canonical","B2_sweep",2,200,6,"GATT","g=4_t=4",4,4,0,"doubleml",3.8278969129509,0.29149703066236,3.25657322674578,3.34842685607779,4.30736696982401,4.39922059915602,1.08145379183695e-39,,,,,,,,,3.72604763102472
"canonical","B2_sweep",2,200,6,"GATT","g=4_t=5",4,5,1,"doubleml",3.74402352302826,0.260588430554485,3.23327958032497,3.31539360067699,4.17265344537952,4.25476746573155,4.13385615566087e-47,,,,,,,,,3.72604763102472
