"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep_serial",2,50,0,"GATT","g=4_t=4",4,4,0,"doubleml",3.87780912268614,0.487732700336377,2.92187058840405,3.07556003960705,4.68005820576523,4.83374765696823,9.27414234701698e-16,,,,,,,,,3.80829772263097
"canonical","B2_sweep_serial",2,50,0,"GATT","g=4_t=5",4,5,1,"doubleml",3.47877140929517,0.875658776971494,1.76251173014701,2.0384405673585,4.91910225123184,5.19503108844332,3.55241430494146e-05,,,,,,,,,3.80829772263097
"canonical","B2_sweep_serial",2,50,0,"GATT","g=4_t=6",4,6,2,"doubleml",3.94411975128298,0.529562278073402,2.90619675050112,3.07306711994483,4.81517238262112,4.98204275206483,4.7423674655018e-14,,,,,,,,,3.80829772263097
"canonical","B2_sweep_serial",2,50,0,"GATT","g=4_t=7",4,7,3,"doubleml",4.20420916688786,0.571977860799818,3.08315315092321,3.26338909463984,5.14502923913589,5.32526518285252,9.88808582766513e-14,,,,,,,,,3.80829772263097
"canonical","B2_sweep_serial",2,50,0,"CATT","surface",,,,"doubleml",,,,,,,,1.18967678498911,0.999526621605203,96,0.304230656190419,0.614583333333333,2.41558861508838,0.479166666666667,2.02722631430097,
"canonical","B2_sweep_serial",2,50,1,"GATT","g=4_t=4",4,4,0,"doubleml",4.34555376898655,0.668213703002854,3.03587896679426,3.24643978674749,5.44466775122561,5.65522857117884,3.93042375749326e-11,,,,,,,,,3.76315838207853
"canonical","B2_sweep_serial",2,50,1,"GATT","g=4_t=5",4,5,1,"doubleml",4.40543074953234,1.04400772172111,2.35921319923694,2.68819047242848,6.1226710266362,6.45164829982774,1.22297513554466e-05,,,,,,,,,3.76315838207853
"canonical","B2_sweep_serial",2,50,1,"GATT","g=4_t=6",4,6,2,"doubleml",3.23212004002497,0.402163515401931,2.44389402772374,2.57061977306204,3.8936203069879,4.0203460523262,4.60959982168252e-16,,,,,,,,,3.76315838207853
"canonical","B2_sweep_serial",2,50,1,"GATT","g=4_t=7",4,7,3,"doubleml",4.02747458561652,0.461847044360357,3.12227100516381,3.26780362731221,4.78714554392083,4.93267816606922,1.3865377016263e-18,,,,,,,,,3.76315838207853
"canonical","B2_sweep_serial",2,50,1,"CATT","surface",,,,"doubleml",,,,,,,,0.983650600655906,0.809076082566945,96,0.248894640768348,0.78125,2.52466097262081,0.677083333333333,2.11876274230508,
"canonical","B2_sweep_serial",2,50,2,"GATT","g=4_t=4",4,4,0,"doubleml",3.79237144526973,0.548344227455458,2.71763649984922,2.89042524936271,4.69431764117675,4.86710639069024,2.32219161865602e-12,,,,,,,,,3.44671154219296
