"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"staggered","D_ramp_nt40",2,200,0,"GATT","g=4_t=4",4,4,0,"doubleml",2.39900520656524,0.403728650265978,1.60771158627533,1.73493052126065,3.06307989186984,3.19029882685515,1.40677282282783e-09,,,,,,,,,2.7074471423312
"staggered","D_ramp_nt40",2,200,0,"GATT","g=4_t=5",4,5,1,"doubleml",3.49171508939989,0.542915865678088,2.427619537642,2.59869775607582,4.38473242272395,4.55581064115777,6.32123855878184e-11,,,,,,,,,3.79042599926368
"staggered","D_ramp_nt40",2,200,0,"GATT","g=4_t=6",4,6,2,"doubleml",5.02070005879461,0.49345808971454,4.05353996744534,4.20903354609529,5.83236657149393,5.98786015014388,1.28831311242321e-24,,,,,,,,,4.87340485619616
"staggered","D_ramp_nt40",2,200,0,"GATT","g=4_t=7",4,7,3,"doubleml",5.50500571803185,0.603428982657033,4.32230663546744,4.51245314219249,6.4975582938712,6.68770480059625,3.6579482254379e-20,,,,,,,,,5.95638371312864
"staggered","D_ramp_nt40",2,200,0,"GATT","g=5_t=5",5,5,0,"doubleml",4.07894251039778,0.399334660743036,3.29626095138921,3.42209529633595,4.7357897244596,4.86162406940634,8.55140229128422e-25,,,,,,,,,4.24355073062386
"staggered","D_ramp_nt40",2,200,0,"GATT","g=5_t=6",5,6,1,"doubleml",5.94418173013462,0.498822232569638,4.9665081118985,5.12369198560352,6.76467147466571,6.92185534837073,4.85903923417502e-33,,,,,,,,,5.9409710228734
"staggered","D_ramp_nt40",2,200,0,"GATT","g=5_t=7",5,7,2,"doubleml",7.84722311978185,0.447964446115091,6.96922893211633,7.11038700873166,8.58405923083204,8.72521730744737,5.26648884751953e-69,,,,,,,,,7.63839131512294
"staggered","D_ramp_nt40",2,200,0,"GATT","g=6_t=6",6,6,0,"doubleml",5.53861065078317,0.567785226350867,4.42577204740362,4.60468685007904,6.47253445148729,6.65144925416272,8.80051466469372e-23,,,,,,,,,5.65783598164552
"staggered","D_ramp_nt40",2,200,0,"GATT","g=6_t=7",6,7,1,"doubleml",8.51108146363815,0.65880185710584,7.21985354057756,7.42744859377019,9.59471433350612,9.80230938669875,1.75770878948113e-38,,,,,,,,,7.92097037430373
"staggered","D_ramp_nt40",2,200,0,"CATT","surface",,,,"doubleml",,,,,,,,2.08577498876932,1.6177624188828,388,0.458676026009623,0.402061855670103,1.9925023684869,0.34020618556701,1.67216106561914,
"staggered","D_ramp_nt40",2,200,1,"GATT","g=4_t=4",4,4,0,"doubleml",2.8116561388252,0.45164652595611,1.92644520722616,2.06876354402019,3.55454873363022,3.69686707042425,2.40246378180755e-10,,,,,,,,,2.7901656026564
"staggered","D_ramp_nt40",2,200,1,"GATT","g=4_t=5",4,5,1,"doubleml",4.3903511392863,0.420336010857916,3.56650769010117,3.69895977048261,5.08174250808998,5.21419458847142,7.73410407633412e-26,,,,,,,,,3.90623184371896
"staggered","D_ramp_nt40",2,200,1,"GATT","g=4_t=6",4,6,2,"doubleml",5.91532081480014,0.458709029539257,5.01626763042826,5.16081143272638,6.66983019687391,6.81437399917202,2.38319347488774e-38,,,,,,,,,5.02229808478151
"staggered","D_ramp_nt40",2,200,1,"GATT","g=4_t=7",4,7,3,"doubleml",6.18461485164046,0.507306539416117,5.19031229742029,5.3501696610557,7.01906004222522,7.17891740586063,1.73396295482237e-34,,,,,,,,,6.13836432584407
"staggered","D_ramp_nt40",2,200,1,"GATT","g=5_t=5",5,5,0,"doubleml",2.75752611816362,0.514848561935654,1.74844147131796,1.91067540166951,3.60437683465772,3.76661076500927,4.25435247099107e-08,,,,,,,,,3.72623062392612
"staggered","D_ramp_nt40",2,200,1,"GATT","g=5_t=6",5,6,1,"doubleml",5.17431514495132,0.425622387750465,4.34011058736637,4.47422845797042,5.87440183193223,6.00851970253628,2.63105758018664e-34,,,,,,,,,5.21672287349656
"staggered","D_ramp_nt40",2,200,1,"GATT","g=5_t=7",5,7,2,"doubleml",6.07683584556663,0.499105113829894,5.09860779024414,5.25588080266308,6.89779088847019,7.05506390088913,2.10001973181247e-34,,,,,,,,,6.70721512306701
"staggered","D_ramp_nt40",2,200,1,"GATT","g=6_t=6",6,6,0,"doubleml",5.24308794703081,0.662271717658207,3.94505922220256,4.15374766315384,6.33242823090779,6.54111667185906,1.21828139392711e-15,,,,,,,,,5.56887789545957
"staggered","D_ramp_nt40",2,200,1,"GATT","g=6_t=7",6,7,1,"doubleml",7.66596163253022,0.848193886985482,6.0035321490186,6.2708065247466,9.06111674031384,9.32839111604183,7.97948493729875e-20,,,,,,,,,7.7964290536434
"staggered","D_ramp_nt40",2,200,1,"CATT","surface",,,,"doubleml",,,,,,,,1.88582535402264,1.48610232406671,362,0.423529337568997,0.392265193370166,2.03637026429287,0.337016574585635,1.7089761723701,
"staggered","D_ramp_nt40",2,200,2,"GATT","g=4_t=4",4,4,0,"doubleml",2.10762950884337,0.299295044525015,1.52102199619594,1.61533285767622,2.59992616001052,2.6942370214908,9.47639933713777e-13,,,,,,,,,2.50886652750591
"staggered","D_ramp_nt40",2,200,2,"GATT","g=4_t=5",4,5,1,"doubleml",2.61355760933194,0.429626684933843,1.77150477342227,1.90688443811177,3.32023078055211,3.45561044524161,5.88586733483632e-10,,,,,,,,,3.51241313850827
"staggered","D_ramp_nt40",2,200,2,"GATT","g=4_t=6",4,6,2,"doubleml",4.10586331967662,0.547553681600079,3.032677815673,3.205217456282,5.00650918307123,5.17904882368024,3.22617248041819e-14,,,,,,,,,4.51595974951064
"staggered","D_ramp_nt40",2,200,2,"GATT","g=4_t=7",4,7,3,"doubleml",5.31156255413297,0.652421190793669,4.03284050734024,4.23842494877124,6.3847001594947,6.59028460092569,1.95513406708588e-16,,,,,,,,,5.519506360513
"staggered","D_ramp_nt40",2,200,2,"GATT","g=5_t=5",5,5,0,"doubleml",2.99759854179045,0.528560527655463,1.96163893576474,2.12819364363425,3.86700343994665,4.03355814781616,7.08799512041437e-09,,,,,,,,,3.60562823926501
"staggered","D_ramp_nt40",2,200,2,"GATT","g=5_t=6",5,6,1,"doubleml",5.32323445297366,0.54823966546625,4.24870444528776,4.42146024627283,6.22500865967448,6.39776446065955,1.37091577781276e-22,,,,,,,,,5.04787953497101
"staggered","D_ramp_nt40",2,200,2,"GATT","g=5_t=7",5,7,2,"doubleml",7.17563520052278,0.954380486451801,5.30508380477476,5.60581863986059,8.74545176118497,9.0461865962708,2.76762746398699e-14,,,,,,,,,6.49013083067702
"staggered","D_ramp_nt40",2,200,2,"GATT","g=6_t=6",6,6,0,"doubleml",5.98621258621434,0.514204853128065,4.97838958545804,5.14042067672723,6.83200449570145,6.99403558697063,1.26479159430887e-31,,,,,,,,,5.57981792633245
"staggered","D_ramp_nt40",2,200,2,"GATT","g=6_t=7",6,7,1,"doubleml",8.28067278062704,0.624356453846936,7.05695660791938,7.25369757009109,9.30764799116299,9.50438895333469,1.90381709708933e-40,,,,,,,,,7.81174509686543
"staggered","D_ramp_nt40",2,200,2,"CATT","surface",,,,"doubleml",,,,,,,,2.16851667139809,1.689620737033,350,0.464248469370044,0.4,2.16913382592827,0.351428571428571,1.82039488996401,
"staggered","D_ramp_nt40",2,200,3,"GATT","g=4_t=4",4,4,0,"doubleml",3.17892521143483,0.500673037174785,2.19762408280159,2.35539116354573,4.00245925932392,4.16022634006807,1.08145770145622e-10,,,,,,,,,2.90515001093744
"staggered","D_ramp_nt40",2,200,3,"GATT","g=4_t=5",4,5,1,"doubleml",4.26010018612595,0.42196042151297,3.4330729505357,3.56603689895865,4.95416347329324,5.0871274217162,2.87792865217844e-24,,,,,,,,,4.06721001531241
"staggered","D_ramp_nt40",2,200,3,"GATT","g=4_t=6",4,6,2,"doubleml",4.81229366330691,0.518350410984222,3.79634551839263,3.95968291639787,5.66490441021595,5.82824180822119,8.17222159780615e-21,,,,,,,,,5.22927001968739
"staggered","D_ramp_nt40",2,200,3,"GATT","g=4_t=7",4,7,3,"doubleml",6.25898004711434,0.624559738190251,5.03486544441202,5.23167046351315,7.28628963071553,7.48309464981666,6.13588437580302e-24,,,,,,,,,6.39133002406236
"staggered","D_ramp_nt40",2,200,3,"GATT","g=5_t=5",5,5,0,"doubleml",3.73625845786937,0.594746070719118,2.57057757011845,2.75798800446275,4.714528911276,4.9019393456203,1.67007402366014e-10,,,,,,,,,4.12745075450789
"staggered","D_ramp_nt40",2,200,3,"GATT","g=5_t=6",5,6,1,"doubleml",5.25873277343703,0.50576161495937,4.2674582155348,4.42682875802465,6.09063678884941,6.25000733133925,1.27060156352749e-25,,,,,,,,,5.77843105631104
"staggered","D_ramp_nt40",2,200,3,"GATT","g=5_t=7",5,7,2,"doubleml",6.79600315536441,0.856776210243325,5.11675262723106,5.38673137884084,8.20527493188798,8.47525368349776,1.07767238059132e-15,,,,,,,,,7.4294113581142
"staggered","D_ramp_nt40",2,200,3,"GATT","g=6_t=6",6,6,0,"doubleml",5.54895626747571,0.471170531570164,4.62547898773733,4.7739495339404,6.32396300101103,6.4724335472141,2.56553611995308e-32,,,,,,,,,5.65543810995826
"staggered","D_ramp_nt40",2,200,3,"GATT","g=6_t=7",6,7,1,"doubleml",8.06122452962876,0.61456344686433,6.85670229805876,7.05035738580017,9.07209167345734,9.26574676119876,1.31585516250198e-39,,,,,,,,,7.91761335394156
"staggered","D_ramp_nt40",2,200,3,"CATT","surface",,,,"doubleml",,,,,,,,2.09040256561937,1.71943744442519,410,0.418839333135726,0.339024390243902,2.24482285208456,0.273170731707317,1.88391513698349,
"staggered","D_ramp_nt40",2,200,4,"GATT","g=4_t=4",4,4,0,"doubleml",2.87780448368262,0.489081835847422,1.91922169236776,2.07333626966164,3.68227269770359,3.83638727499748,2.00117721441913e-09,,,,,,,,,3.00721580942587
"staggered","D_ramp_nt40",2,200,4,"GATT","g=4_t=5",4,5,1,"doubleml",3.91847682000899,0.400685329481421,3.13314799889727,3.25940795307016,4.57754568694782,4.70380564112071,6.89881442201278e-23,,,,,,,,,4.21010213319622
"staggered","D_ramp_nt40",2,200,4,"GATT","g=4_t=6",4,6,2,"doubleml",5.10666655227149,0.414020733799486,4.29520081877091,4.42566289219847,5.78767021234451,5.91813228577206,2.95911646702111e-35,,,,,,,,,5.41298845696657
"staggered","D_ramp_nt40",2,200,4,"GATT","g=4_t=7",4,7,3,"doubleml",5.84696503231745,0.544654937891775,4.77946096162733,4.95108717910641,6.74284288552848,6.91446910300756,3.47942200090178e-27,,,,,,,,,6.61587478073692
"staggered","D_ramp_nt40",2,200,4,"GATT","g=5_t=5",5,5,0,"doubleml",4.57582838060498,0.440507037585898,3.71245044518997,3.85125861780366,5.30039814340629,5.43920631601998,1.41125743528553e-25,,,,,,,,,4.41404717662149
"staggered","D_ramp_nt40",2,200,4,"GATT","g=5_t=6",5,6,1,"doubleml",5.92930106608569,0.484570477630627,4.97956037446685,5.13225337767304,6.72634875449833,6.87904175770452,9.95704367812961e-35,,,,,,,,,6.17966604727009
"staggered","D_ramp_nt40",2,200,4,"GATT","g=5_t=7",5,7,2,"doubleml",7.65955400684236,0.538281249835689,6.6045421352894,6.77415993992512,8.54494807375959,8.71456587839531,2.99904340709687e-46,,,,,,,,,7.94528491791869
"staggered","D_ramp_nt40",2,200,4,"GATT","g=6_t=6",6,6,0,"doubleml",5.76179733348485,0.667002047752244,4.45449733196418,4.66467634723138,6.85891831973832,7.06909733500553,2.85152639232064e-18,,,,,,,,,5.59102697663561
"staggered","D_ramp_nt40",2,200,4,"GATT","g=6_t=7",6,7,1,"doubleml",8.22119615291253,0.752447585425003,6.7464259735926,6.98352973223587,9.45886257358919,9.69596633223246,4.33199625808688e-28,,,,,,,,,7.82743776728985
"staggered","D_ramp_nt40",2,200,4,"CATT","surface",,,,"doubleml",,,,,,,,2.29090012390439,1.8798221608984,389,0.464668713380787,0.277634961439589,2.00107123928069,0.236503856041131,1.67935229025421,
"staggered","D_ramp_nt40",2,200,5,"GATT","g=4_t=4",4,4,0,"doubleml",2.44558502745359,0.386091900196147,1.68885880237755,1.81052022104836,3.08064983385883,3.20231125252964,1.19284508172562e-10,,,,,,,,,2.63009728806669
"staggered","D_ramp_nt40",2,200,5,"GATT","g=4_t=5",4,5,1,"doubleml",3.78095080593847,0.466416919791053,2.86679043415711,3.01376306975247,4.54813854212446,4.69511117771982,2.60759993773137e-16,,,,,,,,,3.68213620329337
"staggered","D_ramp_nt40",2,200,5,"GATT","g=4_t=6",4,6,2,"doubleml",4.92234626949195,0.557615995712738,3.82943899207083,4.00514936847987,5.83954317050403,6.01525354691308,5.35283505303449e-19,,,,,,,,,4.73417511852005
"staggered","D_ramp_nt40",2,200,5,"GATT","g=4_t=7",4,7,3,"doubleml",6.57579355171504,0.546939099011424,5.50381260746021,5.6761585869497,7.47542851648038,7.64777449596987,1.34676294635925e-33,,,,,,,,,5.78621403374672
"staggered","D_ramp_nt40",2,200,5,"GATT","g=5_t=5",5,5,0,"doubleml",4.28672919052726,0.405429764780685,3.49210144702865,3.61985642020869,4.95360196084583,5.08135693402587,1.98156617929458e-26,,,,,,,,,4.208281572571
"staggered","D_ramp_nt40",2,200,5,"GATT","g=5_t=6",5,6,1,"doubleml",5.32953781717929,0.469400921243458,4.40952890997528,4.55744183426831,6.10163380009028,6.24954672438331,3.54576810859418e-30,,,,,,,,,5.8915942015994
"staggered","D_ramp_nt40",2,200,5,"GATT","g=5_t=7",5,7,2,"doubleml",7.8193560177085,0.495232252050402,6.84871863205079,7.00477126699439,8.63394076842261,8.78999340336621,1.8441009522683e-56,,,,,,,,,7.57490683062781
