dgp,setting,linearity_degree,N,rep,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
staggered,D_contamination,2,200,0,ES,k=0,,,0.0,twfe,6.146434891522022,0.26203605309810685,5.6328536647987075,5.7154239391915524,6.577445843852491,6.660016118245336,5.680425921019528e-122,,,,,,,,,5.508415110742249
staggered,D_contamination,2,200,0,ES,k=1,,,1.0,twfe,9.679582423801175,0.40550561447981076,8.884806023891963,9.012585043074873,10.346579804527478,10.474358823710388,3.1090820843250836e-126,,,,,,,,,9.91514719933605
staggered,D_contamination,2,200,0,ES,k=2,,,2.0,twfe,9.900879373777014,0.5808076993548973,8.762517201097848,8.945535722931771,10.856223024622258,11.03924154645618,1.8478151239181463e-65,,,,,,,,,10.882895250262347
staggered,D_contamination,2,200,0,ES,k=3,,,3.0,twfe,7.551186405638634,0.7623405013616766,6.05702647901354,6.297247867001877,8.805124944275391,9.045346332263728,1.9745639048693233e-23,,,,,,,,,9.28888191739465
staggered,D_contamination,2,200,0,ATT,ATT,,,,twfe,7.679514333325738,0.336977165944601,7.0190512244619425,7.125236219721932,8.233792446929543,8.339977442189532,2.9191460610078082e-115,,,,,,,,,8.60427909505738
staggered,D_contamination,2,200,0,CATT,surface,,,,twfe,,,,,,,,4.367613188467559,3.4928561710837136,449.0,0.5765918776953314,0.13140311804008908,1.7116795741031225,0.11358574610244988,1.4364867813134738,
staggered,D_contamination,2,200,1,ES,k=0,,,0.0,twfe,5.599775307903229,0.2662800171471175,5.0778760644921705,5.161783655914093,6.037766959892366,6.121674551314288,1.7561945668835964e-98,,,,,,,,,5.258218929792675
staggered,D_contamination,2,200,1,ES,k=1,,,1.0,twfe,8.725180759500253,0.38158928968709477,7.977279494827326,8.097522232352599,9.352839286647907,9.47308202417318,5.138723434756852e-116,,,,,,,,,9.464794073626814
staggered,D_contamination,2,200,1,ES,k=2,,,2.0,twfe,8.720932229233874,0.4963299494710672,7.748143403821998,7.9045421116817485,9.537322346786,9.693721054645751,2.060270517843509e-69,,,,,,,,,10.008640199012694
staggered,D_contamination,2,200,1,ES,k=3,,,3.0,twfe,6.498207149739592,0.6564404782375287,5.211607454399787,5.418458648232834,7.57795565124635,7.784806845079397,2.0989995213187788e-23,,,,,,,,,9.181683162943926
