dgp,setting,linearity_degree,N,rep,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
staggered,D_ramp_nt25,3,200,0,ES,k=0,,,0.0,twfe,4.3195056813485815,0.23888151906921387,3.8513065074007042,3.9265805482959077,4.712430814401255,4.787704855296459,2.2004426035307954e-73,,,,,,,,,4.162414767609867
staggered,D_ramp_nt25,3,200,0,ES,k=1,,,1.0,twfe,5.874472233529318,0.3159520912018583,5.255217513933561,5.354777290373039,6.394167176685596,6.4937269531250745,1.8332809183234515e-77,,,,,,,,,5.827380674653813
staggered,D_ramp_nt25,3,200,0,ES,k=2,,,2.0,twfe,5.863218571486885,0.43485158958827297,5.010925117273877,5.147951357167002,6.578485785806769,6.715512025699893,9.811564902077441e-42,,,,,,,,,6.183230262616376
staggered,D_ramp_nt25,3,200,0,ES,k=3,,,3.0,twfe,5.722773020650157,0.7059309606085973,4.339173762285543,4.561619919715769,6.883926121584546,7.106372279014772,2.600577740204306e-16,,,,,,,,,6.397253040090776
staggered,D_ramp_nt25,3,200,0,ATT,ATT,,,,twfe,4.996597920338751,0.2691978724138024,4.46897978569289,4.553806823531289,5.439389017146214,5.524216054984612,3.3190801969943613e-77,,,,,,,,,5.417894001444558
staggered,D_ramp_nt25,3,200,0,CATT,surface,,,,twfe,,,,,,,,2.733657056005072,2.0395684579722437,449.0,0.47143531278171347,0.21380846325167038,1.4109618090316014,0.19376391982182628,1.1841164773342854,
staggered,D_ramp_nt25,3,200,1,ES,k=0,,,0.0,twfe,3.7220371310387743,0.22420499081548695,3.2826034238862865,3.353252738715299,4.09082152336225,4.161470838191263,3.4244081759337327e-62,,,,,,,,,3.8743751568881475
staggered,D_ramp_nt25,3,200,1,ES,k=1,,,1.0,twfe,4.809579708948976,0.28484288394946156,4.25129791515551,4.341054858173387,5.278104559724565,5.367861502742443,2.8995023381267653e-64,,,,,,,,,5.424125219643407
staggered,D_ramp_nt25,3,200,1,ES,k=2,,,2.0,twfe,4.84879919774618,0.36090089870017567,4.141446434305697,4.25517004554915,5.44242834994321,5.5561519611866625,1.8786056091179954e-41,,,,,,,,,5.685036779084512
staggered,D_ramp_nt25,3,200,1,ES,k=3,,,3.0,twfe,3.9238118001555646,0.5375299641926633,2.87027242972684,3.0396536889581673,4.807969911352962,4.977351170584289,1.4419641645138669e-13,,,,,,,,,5.597922998800211
staggered,D_ramp_nt25,3,200,1,ATT,ATT,,,,twfe,4.2088030815098305,0.2430862356498334,3.7323628144987406,3.808961805139222,4.608644357880439,4.68524334852092,1.8433218427893588e-67,,,,,,,,,5.002437634209694
staggered,D_ramp_nt25,3,200,1,CATT,surface,,,,twfe,,,,,,,,2.500684681978127,1.810953894586345,441.0,0.39815039076465764,0.2290249433106576,1.230627022008615,0.19727891156462585,1.0327747532822042,
staggered,D_ramp_nt25,3,200,2,ES,k=0,,,0.0,twfe,4.358908175594407,0.2236728006616012,3.9205175419764617,3.9909991581757787,4.726817193013035,4.797298809212352,6.956648805732865e-85,,,,,,,,,4.240266251105817
staggered,D_ramp_nt25,3,200,2,ES,k=1,,,1.0,twfe,5.852745662064082,0.2792492418766047,5.305427205275823,5.3934215337399,6.312069790388264,6.400064118852342,7.788723467459136e-98,,,,,,,,,5.936372751548144
staggered,D_ramp_nt25,3,200,2,ES,k=2,,,2.0,twfe,6.097291406247833,0.4263688475950123,5.261623820831762,5.395977060862057,6.798605751633609,6.932958991663904,1.0860800044359087e-46,,,,,,,,,6.09372035821726
staggered,D_ramp_nt25,3,200,2,ES,k=3,,,3.0,twfe,6.041153408067512,0.5534174017041508,4.956475232309641,5.13086278765638,6.951444028478644,7.1258315838253825,4.828268911345572e-28,,,,,,,,,5.756110958329597
staggered,D_ramp_nt25,3,200,2,ATT,ATT,,,,twfe,5.061216458881715,0.2464248326110399,4.578232662067765,4.655883679190536,5.4665492385728935,5.544200255695665,4.868264238674726e-94,,,,,,,,,5.366522528266971
staggered,D_ramp_nt25,3,200,2,CATT,surface,,,,twfe,,,,,,,,2.4083815476102726,1.9432111304323894,420.0,0.4801460657013046,0.1976190476190476,1.2569225144737115,0.15714285714285714,1.0548426262098993,
staggered,D_ramp_nt25,3,200,3,ES,k=0,,,0.0,twfe,4.364860057131663,0.21764558100841322,3.9382825569608784,4.006864933820014,4.722855180443312,4.791437557302448,9.145815654225373e-90,,,,,,,,,4.048307380404906
staggered,D_ramp_nt25,3,200,3,ES,k=1,,,1.0,twfe,5.34444523045209,0.2729886044912292,4.809397397459431,4.89541893423827,5.793471526665909,5.879493063444748,1.2017629739644706e-85,,,,,,,,,5.667630332566868
staggered,D_ramp_nt25,3,200,3,ES,k=2,,,2.0,twfe,5.583274427495795,0.40492818244814494,4.789629773572166,4.9172268379410955,6.249322017050494,6.376919081419423,1.4985390279922648e-43,,,,,,,,,6.239888683173751
staggered,D_ramp_nt25,3,200,3,ES,k=3,,,3.0,twfe,4.871851212111587,0.5290043540389211,3.835021730530426,4.001716481697548,5.741985942525627,5.908680693692748,1.6386528309975986e-20,,,,,,,,,6.026713907026887
staggered,D_ramp_nt25,3,200,3,ATT,ATT,,,,twfe,4.793275213389711,0.2393590075303401,4.324140179254993,4.399564681709926,5.186985745069496,5.2624102475244285,1.6520971576324748e-89,,,,,,,,,5.308723661895501
staggered,D_ramp_nt25,3,200,3,CATT,surface,,,,twfe,,,,,,,,2.393852256474654,1.8782880000200044,469.0,0.4354362907294267,0.16417910447761194,1.2303313502220308,0.14072494669509594,1.032526617696863,
staggered,D_ramp_nt25,3,200,4,ES,k=0,,,0.0,twfe,4.231024024010811,0.2189188552684502,3.801950952147912,3.870934550914436,4.591113497107186,4.66009709587371,1.59492826023277e-83,,,,,,,,,4.208566580526574
staggered,D_ramp_nt25,3,200,4,ES,k=1,,,1.0,twfe,5.503164987294669,0.27757218927052507,4.959133493214504,5.046599365032185,5.959730609557153,6.047196481374834,8.868855817314072e-88,,,,,,,,,5.8919932127372014
staggered,D_ramp_nt25,3,200,4,ES,k=2,,,2.0,twfe,5.9450412890741315,0.3779689776965732,5.204235705515425,5.323337645234783,6.56674493291348,6.685846872632838,4.792091107286541e-56,,,,,,,,,6.704856292832016
