dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,B1_selection_both,3,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.87900810421532,0.16953177419847457,3.547312483694811,3.600726017061631,4.152170023462621,4.223662673675976,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.8182742155769045,0.15814279842386073,3.4871407385506195,3.538376295145755,4.071962968200626,4.108510607851925,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.9031960511944197,0.1540679858258071,3.6222875908610397,3.6652192287260403,4.155371181781386,4.218178835365003,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.865864489161796,0.155979891157975,3.559513312634921,3.610745044706382,4.121484417630206,4.16333302608076,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ES,k=0,,,0.0,plain,3.87900810421532,0.16953177419847457,3.547312483694811,3.600726017061631,4.152170023462621,4.223662673675976,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ES,k=1,,,1.0,plain,3.8182742155769045,0.15814279842386073,3.4871407385506195,3.538376295145755,4.071962968200626,4.108510607851925,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ES,k=2,,,2.0,plain,3.9031960511944197,0.1540679858258071,3.6222875908610397,3.6652192287260403,4.155371181781386,4.218178835365003,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ES,k=3,,,3.0,plain,3.865864489161796,0.155979891157975,3.559513312634921,3.610745044706382,4.121484417630206,4.16333302608076,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ATT,ATT,,,,plain,3.86658571503711,0.1308708753527579,3.6121455109855014,3.650787448112136,4.081639078161526,4.119640045350992,0.0,,,,,,,,,3.964907116139535
canonical,B1_selection_both,3,200,0,structured,CATT,surface,,,,plain,,,,,,,,0.6103945697528091,0.3239183332210002,436.0,0.06924298755425934,0.8715596330275229,1.0557305873217722,0.8532110091743119,0.8849654626447374,
canonical,B1_selection_both,3,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,corrected,3.854082470385656,0.24705586982193034,3.350862787505839,3.4344595691931814,4.259712823127497,4.339363107272824,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,corrected,3.508327595937695,0.2440911424261115,3.0071564195493976,3.0946414539810987,3.900292480413893,3.984452145185252,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,corrected,3.7276074320888206,0.32442280511170196,3.040904625874343,3.1572669445106283,4.22344685604672,4.305139095388854,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,corrected,3.6759276236618033,0.3140913434587678,3.017936233293269,3.1481097230213497,4.1808239769407844,4.298181433932328,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ES,k=0,,,0.0,corrected,3.854082470385656,0.24705586982193034,3.350862787505839,3.4344595691931814,4.259712823127497,4.339363107272824,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ES,k=1,,,1.0,corrected,3.508327595937695,0.2440911424261115,3.0071564195493976,3.0946414539810987,3.900292480413893,3.984452145185252,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ES,k=2,,,2.0,corrected,3.7276074320888206,0.32442280511170196,3.040904625874343,3.1572669445106283,4.22344685604672,4.305139095388854,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ES,k=3,,,3.0,corrected,3.6759276236618033,0.3140913434587678,3.017936233293269,3.1481097230213497,4.1808239769407844,4.298181433932328,0.0,,,,,,,,,3.9649071161395346
canonical,B1_selection_both,3,200,0,structured,ATT,ATT,,,,corrected,3.691486280518494,0.24785996512260078,3.1598548891815437,3.2631483335865603,4.0729337951734506,4.153272623170315,0.0,,,,,,,,,3.964907116139535
canonical,B1_selection_both,3,200,0,structured,CATT,surface,,,,corrected,,,,,,,,1.1566392953056903,0.8185306841228701,436.0,0.20896729871896091,0.4610091743119266,1.1275689288891022,0.3646788990825688,0.9324496114556591,
canonical,B1_selection_both,3,200,1,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.8244758671548897,0.15060208885399373,3.5369381594295404,3.5782040164544417,4.0676556871925325,4.132735672650752,0.0,,,,,,,,,3.777495085023994
canonical,B1_selection_both,3,200,1,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.8399932696448515,0.13978039053675262,3.5717941499281176,3.6078314267248306,4.063969242722487,4.114561079131415,0.0,,,,,,,,,3.777495085023994
canonical,B1_selection_both,3,200,1,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.866628047984424,0.1396788738715247,3.59350285145754,3.6372050772833218,4.096510392140086,4.145817145917708,0.0,,,,,,,,,3.777495085023994
canonical,B1_selection_both,3,200,1,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.917143099526945,0.15904318729974942,3.619608939559518,3.6642747133893225,4.1934701616534955,4.249683657583746,0.0,,,,,,,,,3.777495085023994
canonical,B1_selection_both,3,200,1,structured,ES,k=0,,,0.0,plain,3.8244758671548897,0.15060208885399373,3.5369381594295404,3.5782040164544417,4.0676556871925325,4.132735672650752,0.0,,,,,,,,,3.777495085023994
canonical,B1_selection_both,3,200,1,structured,ES,k=1,,,1.0,plain,3.8399932696448515,0.13978039053675262,3.5717941499281176,3.6078314267248306,4.063969242722487,4.114561079131415,0.0,,,,,,,,,3.777495085023994
canonical,B1_selection_both,3,200,1,structured,ES,k=2,,,2.0,plain,3.866628047984424,0.1396788738715247,3.59350285145754,3.6372050772833218,4.096510392140086,4.145817145917708,0.0,,,,,,,,,3.777495085023994
canonical,B1_selection_both,3,200,1,structured,ES,k=3,,,3.0,plain,3.917143099526945,0.15904318729974942,3.619608939559518,3.6642747133893225,4.1934701616534955,4.249683657583746,0.0,,,,,,,,,3.777495085023994
canonical,B1_selection_both,3,200,1,structured,ATT,ATT,,,,plain,3.8620600710777775,0.12595859693458258,3.611987796409514,3.6576899139483494,4.070968226897923,4.1064779643038145,0.0,,,,,,,,,3.777495085023994
