dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,B1_selection_obs,2,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.9040501308132964,0.15242232806934045,3.6172813574224487,3.6651621040842017,4.161325834143672,4.2132094105808315,0.0,,,,,,,,,3.9166273414199564
canonical,B1_selection_obs,2,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.8454022093649947,0.1479734814721829,3.545745604216653,3.6016555797276473,4.079991067645757,4.127392922024199,0.0,,,,,,,,,3.9166273414199564
canonical,B1_selection_obs,2,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.907299199098537,0.1469943896639763,3.628809640030873,3.667413910145422,4.149286261417928,4.211589925195645,0.0,,,,,,,,,3.9166273414199564
canonical,B1_selection_obs,2,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.8872414618776894,0.15547235908699344,3.5847403173449663,3.641059680454783,4.139731854945776,4.198059790018633,0.0,,,,,,,,,3.9166273414199564
canonical,B1_selection_obs,2,200,0,structured,ES,k=0,,,0.0,plain,3.9040501308132964,0.15242232806934045,3.6172813574224487,3.6651621040842017,4.161325834143672,4.2132094105808315,0.0,,,,,,,,,3.9166273414199564
canonical,B1_selection_obs,2,200,0,structured,ES,k=1,,,1.0,plain,3.8454022093649947,0.1479734814721829,3.545745604216653,3.6016555797276473,4.079991067645757,4.127392922024199,0.0,,,,,,,,,3.9166273414199564
canonical,B1_selection_obs,2,200,0,structured,ES,k=2,,,2.0,plain,3.907299199098537,0.1469943896639763,3.628809640030873,3.667413910145422,4.149286261417928,4.211589925195645,0.0,,,,,,,,,3.9166273414199564
canonical,B1_selection_obs,2,200,0,structured,ES,k=3,,,3.0,plain,3.8872414618776894,0.15547235908699344,3.5847403173449663,3.641059680454783,4.139731854945776,4.198059790018633,0.0,,,,,,,,,3.9166273414199564
canonical,B1_selection_obs,2,200,0,structured,ATT,ATT,,,,plain,3.88599825028863,0.1216950131159311,3.656489834628221,3.6931999946066707,4.08873071315656,4.1384736713897725,0.0,,,,,,,,,3.916627341419956
canonical,B1_selection_obs,2,200,0,structured,CATT,surface,,,,plain,,,,,,,,0.32350305554105724,0.23503042501618052,388.0,0.06449052198301111,0.961340206185567,1.0905485157065902,0.8969072164948454,0.9124541975351262,
