dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,B1_strong_confounder,1,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.777724570409123,0.16400430199086088,3.4716340069534053,3.5218688750803584,4.0658868334157034,4.120555228325871,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.6025709004050372,0.16696878797127682,3.250959521875652,3.3140157853027743,3.856582530845998,3.9074370467755193,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.7664170895934874,0.14421659838921624,3.503199310570808,3.539161786706753,4.001545357004999,4.057839546393399,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.7805850862337502,0.14690259885659568,3.4982929972298167,3.5511812595004124,4.01679650775733,4.090160291706363,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,ES,k=0,,,0.0,plain,3.777724570409123,0.16400430199086088,3.4716340069534053,3.5218688750803584,4.0658868334157034,4.120555228325871,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,ES,k=1,,,1.0,plain,3.6025709004050372,0.16696878797127682,3.250959521875652,3.3140157853027743,3.856582530845998,3.9074370467755193,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,ES,k=2,,,2.0,plain,3.7664170895934874,0.14421659838921624,3.503199310570808,3.539161786706753,4.001545357004999,4.057839546393399,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,ES,k=3,,,3.0,plain,3.7805850862337502,0.14690259885659568,3.4982929972298167,3.5511812595004124,4.01679650775733,4.090160291706363,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,ATT,ATT,,,,plain,3.7318244116603503,0.11272927134265244,3.521007458553125,3.5491637119270685,3.9241465063655907,3.9641597919652445,0.0,,,,,,,,,3.8531858271383355
canonical,B1_strong_confounder,1,200,0,structured,CATT,surface,,,,plain,,,,,,,,0.38631473887079165,0.29224957027082493,408.0,0.07779226186636135,0.8529411764705882,1.0426664547346884,0.7818627450980392,0.8745004313734567,
canonical,B1_strong_confounder,1,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,corrected,3.958570401277904,0.24050181320836495,3.513376609900812,3.5810116576270716,4.361604618693,4.455324660226438,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,corrected,3.4955576976010914,0.20469592451199992,3.0833983752639713,3.1635193189098136,3.836734999316103,3.910082950069979,0.0,,,,,,,,,3.853185827138337
canonical,B1_strong_confounder,1,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,corrected,3.9432949769555417,0.2515459514710841,3.440970703374195,3.514790004467022,4.363242826541013,4.454163374664281,0.0,,,,,,,,,3.853185827138337
