dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,B2_sweep,3,800,60,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.672992871594768,0.07115682326314779,3.532582712171726,3.5545883052887164,3.7893063758308037,3.8192834861788856,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.6781756128970047,0.07143691760690098,3.5439440453311377,3.568826920794712,3.795601648937813,3.8213348664426428,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.6650048544751037,0.07279774648691932,3.509888283661288,3.548568411592962,3.78387748110834,3.807177918329154,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.7299690529353007,0.0899910160124667,3.5779062371898274,3.600003560692525,3.888514610354686,3.9242032084510927,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ES,k=0,,,0.0,plain,3.672992871594768,0.07115682326314779,3.532582712171726,3.5545883052887164,3.7893063758308037,3.8192834861788856,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ES,k=1,,,1.0,plain,3.6781756128970047,0.07143691760690098,3.5439440453311377,3.568826920794712,3.795601648937813,3.8213348664426428,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ES,k=2,,,2.0,plain,3.6650048544751037,0.07279774648691932,3.509888283661288,3.548568411592962,3.78387748110834,3.807177918329154,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ES,k=3,,,3.0,plain,3.7299690529353007,0.0899910160124667,3.5779062371898274,3.600003560692525,3.888514610354686,3.9242032084510927,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ATT,ATT,,,,plain,3.686535597975544,0.05999591643721939,3.572945352902474,3.591520957663471,3.7848564989625726,3.806918877241103,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,CATT,surface,,,,plain,,,,,,,,0.2691149310329455,0.16910522042798123,1660.0,0.042597719072637256,0.9421686746987952,0.808209844006543,0.8933734939759036,0.6776457213719924,
canonical,B2_sweep,3,800,60,structured,GATT,g=4_t=4,4.0,4.0,0.0,corrected,3.628813587380611,0.1159987126162521,3.4046338052793783,3.433399671786638,3.820424639679949,3.8534060615170995,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,GATT,g=4_t=5,4.0,5.0,1.0,corrected,3.658898630446553,0.12034731717727705,3.426156241797353,3.4607306342565267,3.855037465339542,3.899778213009237,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,GATT,g=4_t=6,4.0,6.0,2.0,corrected,3.5590836738786784,0.12322083299825927,3.320934724269043,3.364013341607064,3.75541656685304,3.808155337021181,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,GATT,g=4_t=7,4.0,7.0,3.0,corrected,3.7403680255056218,0.11446232871269527,3.517703066347584,3.552232846023747,3.9323877944110492,3.9738666905771574,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ES,k=0,,,0.0,corrected,3.628813587380611,0.1159987126162521,3.4046338052793783,3.433399671786638,3.820424639679949,3.8534060615170995,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ES,k=1,,,1.0,corrected,3.658898630446553,0.12034731717727705,3.426156241797353,3.4607306342565267,3.855037465339542,3.899778213009237,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ES,k=2,,,2.0,corrected,3.5590836738786784,0.12322083299825927,3.320934724269043,3.364013341607064,3.75541656685304,3.808155337021181,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ES,k=3,,,3.0,corrected,3.7403680255056218,0.11446232871269527,3.517703066347584,3.552232846023747,3.9323877944110492,3.9738666905771574,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,ATT,ATT,,,,corrected,3.646790979302866,0.1009838809544541,3.454677825872782,3.484077411681784,3.80772583200666,3.849551991359147,0.0,,,,,,,,,3.748586767101059
canonical,B2_sweep,3,800,60,structured,CATT,surface,,,,corrected,,,,,,,,1.0972647424967636,0.8771510346929883,1660.0,0.24704277103889036,0.06927710843373494,0.466444616107829,0.035542168674698796,0.38822249315240115,
canonical,B2_sweep,3,800,61,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.696375563332827,0.07099780626820079,3.5589407986862804,3.5815823869372827,3.820042799789417,3.8390724494181225,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.6857520952040446,0.06683864459912667,3.5523884970627564,3.5753491408729507,3.7893687934621143,3.814723845013499,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.695740821549157,0.06416363869388386,3.5740403812207044,3.5945335990429537,3.797557694509004,3.8244082630329346,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.6920158583021623,0.06707271071177612,3.565475635072926,3.5839296967292014,3.800578835783396,3.825150012422643,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ES,k=0,,,0.0,plain,3.696375563332827,0.07099780626820079,3.5589407986862804,3.5815823869372827,3.820042799789417,3.8390724494181225,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ES,k=1,,,1.0,plain,3.6857520952040446,0.06683864459912667,3.5523884970627564,3.5753491408729507,3.7893687934621143,3.814723845013499,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ES,k=2,,,2.0,plain,3.695740821549157,0.06416363869388386,3.5740403812207044,3.5945335990429537,3.797557694509004,3.8244082630329346,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ES,k=3,,,3.0,plain,3.6920158583021623,0.06707271071177612,3.565475635072926,3.5839296967292014,3.800578835783396,3.825150012422643,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ATT,ATT,,,,plain,3.6924710845970483,0.05822656290180809,3.5820223370317485,3.6014429800904453,3.7841434862795,3.8083880193194783,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,CATT,surface,,,,plain,,,,,,,,0.39671388781947464,0.195917054419039,1592.0,0.048939213556554485,0.8636934673366834,0.7727670770469157,0.8121859296482412,0.6525823485693087,
canonical,B2_sweep,3,800,61,structured,GATT,g=4_t=4,4.0,4.0,0.0,corrected,3.646346266502232,0.11838541338888968,3.415951588960776,3.4615574912720577,3.8426718386667345,3.877827475049682,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,GATT,g=4_t=5,4.0,5.0,1.0,corrected,3.5699745891240537,0.11535679232421485,3.3483913312649283,3.38316609765263,3.76146580354595,3.8024923133572397,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,GATT,g=4_t=6,4.0,6.0,2.0,corrected,3.6901356365712767,0.1172841176177957,3.459519930476633,3.4992341304692682,3.886820587489834,3.915701115037014,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,GATT,g=4_t=7,4.0,7.0,3.0,corrected,3.6366655568670296,0.11914298834019227,3.39159795311383,3.4434143004192657,3.829875298998751,3.861172594914098,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ES,k=0,,,0.0,corrected,3.646346266502232,0.11838541338888968,3.415951588960776,3.4615574912720577,3.8426718386667345,3.877827475049682,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ES,k=1,,,1.0,corrected,3.5699745891240537,0.11535679232421485,3.3483913312649283,3.38316609765263,3.76146580354595,3.8024923133572397,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ES,k=2,,,2.0,corrected,3.6901356365712767,0.1172841176177957,3.459519930476633,3.4992341304692682,3.886820587489834,3.915701115037014,0.0,,,,,,,,,3.7232061083427075
canonical,B2_sweep,3,800,61,structured,ES,k=3,,,3.0,corrected,3.6366655568670296,0.11914298834019227,3.39159795311383,3.4434143004192657,3.829875298998751,3.861172594914098,0.0,,,,,,,,,3.7232061083427075
