dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,B2_sweep_serial,3,800,40,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.5290651606246217,0.06543407866514878,3.413341549915316,3.432531462365121,3.6527557958735786,3.6759527705733355,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.504803531043954,0.05753153873241198,3.39095333799534,3.4097347572137844,3.597025979024275,3.618000731446376,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.503286052092841,0.05532149642300844,3.3934238111749666,3.4106836514475867,3.5921384865738886,3.6075336838166137,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.50559775464236,0.06086895476574185,3.3900676460978287,3.4067044310451453,3.6036470913944507,3.6221003349645184,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,ES,k=0,,,0.0,plain,3.5290651606246217,0.06543407866514878,3.413341549915316,3.432531462365121,3.6527557958735786,3.6759527705733355,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,ES,k=1,,,1.0,plain,3.504803531043954,0.05753153873241198,3.39095333799534,3.4097347572137844,3.597025979024275,3.618000731446376,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,ES,k=2,,,2.0,plain,3.503286052092841,0.05532149642300844,3.3934238111749666,3.4106836514475867,3.5921384865738886,3.6075336838166137,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,ES,k=3,,,3.0,plain,3.50559775464236,0.06086895476574185,3.3900676460978287,3.4067044310451453,3.6036470913944507,3.6221003349645184,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,ATT,ATT,,,,plain,3.5106881246009434,0.04992111548741159,3.413861200598674,3.428502172757173,3.5932712267806703,3.60680659828564,0.0,,,,,,,,,3.6564679530273154
canonical,B2_sweep_serial,3,800,40,structured,CATT,surface,,,,plain,,,,,,,,0.3029751676699408,0.23533174259591086,1472.0,0.0629060659513088,0.8349184782608695,0.7786302476341381,0.7241847826086957,0.6543660225924295,
