dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
staggered,D_contamination,3,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,2.60372687684606,0.22612320420433893,2.1593804436205906,2.218277349130318,2.9580222989396354,3.020864815353872,0.0,,,,,,,,,2.907842290950352
staggered,D_contamination,3,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,5.341225289995031,0.22414188100603438,4.917083758466427,4.983707414902022,5.7121390240798116,5.80142843904846,0.0,,,,,,,,,5.234116123710634
staggered,D_contamination,3,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,8.251633279537678,0.21231461508143287,7.837455453410175,7.900530374752416,8.599168089393407,8.67823511144021,0.0,,,,,,,,,7.560389956470915
staggered,D_contamination,3,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,9.20062139078953,0.26397483037012726,8.7155453586979,8.783902885225611,9.649622183509164,9.730474594874833,0.0,,,,,,,,,9.886663789231198
staggered,D_contamination,3,200,0,structured,GATT,g=5_t=5,5.0,5.0,0.0,plain,5.103953594355001,0.2487905140118881,4.644878496234708,4.717974711972882,5.52222867388875,5.595159522892112,0.0,,,,,,,,,5.230157885744926
staggered,D_contamination,3,200,0,structured,GATT,g=5_t=6,5.0,6.0,1.0,plain,10.17466896714276,0.22123146680318528,9.744090298388832,9.815327665685446,10.550992300293471,10.630433113260597,0.0,,,,,,,,,9.414284194340869
staggered,D_contamination,3,200,0,structured,GATT,g=5_t=7,5.0,7.0,2.0,plain,13.161885920966093,0.25270851350103435,12.671360489195648,12.742620724260577,13.568420949987843,13.662187219308727,0.0,,,,,,,,,13.598410502936806
staggered,D_contamination,3,200,0,structured,GATT,g=6_t=6,6.0,6.0,0.0,plain,9.032825940971579,0.27443678217229045,8.51940588241109,8.59769143328947,9.48817217977144,9.555718658396414,0.0,,,,,,,,,8.611172941242833
staggered,D_contamination,3,200,0,structured,GATT,g=6_t=7,6.0,7.0,1.0,plain,15.095757876056595,0.30451782419599543,14.483568599556895,14.574494148743444,15.600810386659528,15.667752965526649,0.0,,,,,,,,,15.500111294237103
staggered,D_contamination,3,200,0,structured,ES,k=0,,,0.0,plain,5.521040112026418,0.13980324006383482,5.248789128810842,5.29345094038802,5.751575699911893,5.797384722042056,0.0,,,,,,,,,5.532938043217863
staggered,D_contamination,3,200,0,structured,ES,k=1,,,1.0,plain,10.137437011026728,0.15964138231782463,9.833770749351222,9.879571523709066,10.404458859948182,10.460795470115128,0.0,,,,,,,,,9.959288477792152
staggered,D_contamination,3,200,0,structured,ES,k=2,,,2.0,plain,10.803039063809305,0.20085714187694023,10.415591931433731,10.46680889013051,11.127434570965198,11.200444215646664,0.0,,,,,,,,,10.697792789438486
