dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,2.4809174795691935,0.1608953308211812,2.175936838048797,2.210440852121311,2.745394489521363,2.8057894048854677,0.0,,,,,,,,,2.7181676448056065
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,4.237872126044309,0.16130532273011153,3.9143419223987777,3.976006472974495,4.4973320650585356,4.562238428738438,0.0,,,,,,,,,3.805434702727849
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,5.030238867953074,0.20769859493953757,4.634322014246356,4.689183886881103,5.378155220804739,5.455294142405924,0.0,,,,,,,,,4.892701760650093
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,5.161917385810699,0.26813948363352497,4.668606517257003,4.747192848016714,5.623565956464516,5.719963045053368,0.0,,,,,,,,,5.9799688185723365
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=5_t=5,5.0,5.0,0.0,plain,4.324869645031872,0.15327907445393849,4.016614365048866,4.072953283780786,4.571636573946373,4.615407201277284,0.0,,,,,,,,,4.251965836016171
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=5_t=6,5.0,6.0,1.0,plain,6.113043577902871,0.19164576201650485,5.752520309238785,5.803737256758695,6.426480584579571,6.483350390541354,0.0,,,,,,,,,5.952752170422639
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=5_t=7,5.0,7.0,2.0,plain,6.910173629440212,0.25435893577934854,6.4241533206773385,6.495293582480602,7.324182349773329,7.4165403960303005,0.0,,,,,,,,,7.6535385048291085
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=6_t=6,6.0,6.0,0.0,plain,5.209772935780976,0.18299056058191646,4.851846176380358,4.911344807233189,5.524690949531001,5.582066867296218,0.0,,,,,,,,,5.497126174549671
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=6_t=7,6.0,7.0,1.0,plain,7.002290572433706,0.24955891877769323,6.52540982325559,6.6019814394443515,7.409942799410958,7.522564743805861,0.0,,,,,,,,,7.69597664436954
staggered,D_ramp_nt10,1,200,0,structured,ES,k=0,,,0.0,plain,4.012787121720508,0.11766542617947151,3.774116265872172,3.815484000853449,4.208277058266325,4.241426059813496,0.0,,,,,,,,,4.152541577919957
staggered,D_ramp_nt10,1,200,0,structured,ES,k=1,,,1.0,plain,5.792330425867976,0.1659810652206376,5.471769830270212,5.51798901561323,6.0699105865699545,6.126315554869894,0.0,,,,,,,,,5.813558209087939
staggered,D_ramp_nt10,1,200,0,structured,ES,k=2,,,2.0,plain,6.031843453991302,0.21642562698964785,5.622300239841809,5.680221357876432,6.389729465959459,6.462540358566399,0.0,,,,,,,,,6.363639370253666
staggered,D_ramp_nt10,1,200,0,structured,ES,k=3,,,3.0,plain,5.161917385810699,0.26813948363352497,4.668606517257003,4.747192848016714,5.623565956464516,5.719963045053368,0.0,,,,,,,,,5.9799688185723365
staggered,D_ramp_nt10,1,200,0,structured,ATT,ATT,,,,plain,5.187710496913829,0.14785381439557535,4.9059780210850255,4.943525956209233,5.4300530846780894,5.486404313470901,0.0,,,,,,,,,5.4040896970410754
staggered,D_ramp_nt10,1,200,0,structured,CATT,surface,,,,plain,,,,,,,,0.8309078097754906,0.5992834491574448,535.0,0.14079758974109932,0.7532710280373832,1.4752298285482548,0.6429906542056075,1.2373088570896327,
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=5_t=5,5.0,5.0,0.0,corrected,4.332910266355179,0.8277931795809139,2.9323753844437195,3.1654602783930916,5.840204719818512,6.24069197924413,0.0,,,,,,,,,4.251965836016171
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=5_t=6,5.0,6.0,1.0,corrected,5.758183969024006,0.5552072986781105,4.555486176384256,4.776303618363472,6.610848040578456,6.784699127367762,0.0,,,,,,,,,5.952752170422639
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=5_t=7,5.0,7.0,2.0,corrected,7.485442037646889,0.5079441614885071,6.512410735482384,6.7107849382105735,8.369454916412522,8.553456005582548,0.0,,,,,,,,,7.6535385048291085
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=6_t=6,6.0,6.0,0.0,corrected,4.587748459834622,0.6931988677011329,3.073325102373548,3.4088272451727653,5.548503345743604,5.730262822448579,0.0006666666666666666,,,,,,,,,5.497126174549671
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=6_t=7,6.0,7.0,1.0,corrected,7.739840164343099,0.7905261297658516,6.101696771267446,6.423895363053071,8.969811772093866,9.225627426470163,0.0,,,,,,,,,7.69597664436954
staggered,D_ramp_nt10,1,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,corrected,2.9406614167770155,0.5516542537893697,1.9636510187571117,2.095965484902641,3.853672027353133,4.201286049577982,0.0,,,,,,,,,2.7181676448056065
