dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
staggered,D_staggered,2,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,plain,2.4089811639741345,0.18049118359499408,2.045700195159161,2.114611134029332,2.705333165477663,2.7529223287617857,0.0,,,,,,,,,2.726893830123671
staggered,D_staggered,2,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,plain,4.260551350692783,0.16820636674432565,3.9317240518822105,3.9731832971765386,4.538498256966331,4.591062753412106,0.0,,,,,,,,,3.8176513621731396
staggered,D_staggered,2,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,plain,5.247267864710309,0.1853135783039861,4.871718961085484,4.931401405478221,5.547427730461401,5.612680716600263,0.0,,,,,,,,,4.9084088942226085
staggered,D_staggered,2,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,plain,5.524604488091604,0.24815769542832905,5.067182000653018,5.137469000684477,5.948287012157019,6.013913208445538,0.0,,,,,,,,,5.999166426272078
staggered,D_staggered,2,200,0,structured,GATT,g=5_t=5,5.0,5.0,0.0,plain,4.177499278186986,0.1660810989770599,3.857795627216938,3.911917641009139,4.437838865443701,4.490286133499605,0.0,,,,,,,,,4.122890992417409
staggered,D_staggered,2,200,0,structured,GATT,g=5_t=6,5.0,6.0,1.0,plain,6.06901488364881,0.16914569362580711,5.7511443491100795,5.7972588768899564,6.3440221234170755,6.3940990691806965,0.0,,,,,,,,,5.77204738938437
staggered,D_staggered,2,200,0,structured,GATT,g=5_t=7,5.0,7.0,2.0,plain,7.057777820967536,0.21728917386225546,6.624582168638448,6.698996296965765,7.417871888258234,7.474416104936954,0.0,,,,,,,,,7.4212037863513345
staggered,D_staggered,2,200,0,structured,GATT,g=6_t=6,6.0,6.0,0.0,plain,5.6534578909519295,0.1783991394282151,5.298020661910887,5.3654905119894964,5.944275236192271,6.014758016018078,0.0,,,,,,,,,5.484246482069874
staggered,D_staggered,2,200,0,structured,GATT,g=6_t=7,6.0,7.0,1.0,plain,7.562484969460444,0.2111801959821523,7.1296447704872286,7.2284937734266475,7.90275850896656,7.965727733309198,0.0,,,,,,,,,7.677945074897823
staggered,D_staggered,2,200,0,structured,ES,k=0,,,0.0,plain,4.061476910425393,0.12547408069132202,3.815055540678524,3.8568884295377366,4.265365627232245,4.310935580195474,0.0,,,,,,,,,4.093225536452796
staggered,D_staggered,2,200,0,structured,ES,k=1,,,1.0,plain,5.945379856254861,0.13642386563318135,5.68328876272882,5.718354158482958,6.174014990019537,6.2035155810793245,0.0,,,,,,,,,5.730515751033914
staggered,D_staggered,2,200,0,structured,ES,k=2,,,2.0,plain,6.188023038059653,0.17959758435520112,5.838583206259648,5.89055451137718,6.476729070412664,6.548246675215073,0.0,,,,,,,,,6.214076828367926
staggered,D_staggered,2,200,0,structured,ES,k=3,,,3.0,plain,5.524604488091604,0.24815769542832905,5.067182000653018,5.137469000684477,5.948287012157019,6.013913208445538,0.0,,,,,,,,,5.999166426272078
staggered,D_staggered,2,200,0,structured,ATT,ATT,,,,plain,5.329411198293832,0.11864436954338557,5.105432913897454,5.1392807510722,5.527349754275112,5.575903310740561,0.0,,,,,,,,,5.326352880214655
staggered,D_staggered,2,200,0,structured,CATT,surface,,,,plain,,,,,,,,0.6525548838897122,0.47183146517788355,449.0,0.1324526266288455,0.8307349665924276,1.529739159096889,0.7750556792873051,1.290579739113687,
staggered,D_staggered,2,200,0,structured,GATT,g=5_t=5,5.0,5.0,0.0,corrected,4.270602389543452,0.4723666768872287,3.3795068083158233,3.5248098959325826,5.116872801329813,5.300547132062676,0.0,,,,,,,,,4.122890992417409
staggered,D_staggered,2,200,0,structured,GATT,g=5_t=6,5.0,6.0,1.0,corrected,6.721964845608053,0.6810071210911004,5.589835820326345,5.760306675065231,7.855221365076491,8.190744921619395,0.0,,,,,,,,,5.77204738938437
staggered,D_staggered,2,200,0,structured,GATT,g=5_t=7,5.0,7.0,2.0,corrected,7.582377383958796,0.5102856281898323,6.621850741535245,6.76769580536551,8.409556390060372,8.623948014145984,0.0,,,,,,,,,7.4212037863513345
staggered,D_staggered,2,200,0,structured,GATT,g=6_t=6,6.0,6.0,0.0,corrected,6.5286564940101695,0.9655266086121878,5.05278602394447,5.272007950433822,8.1801754906817,8.794604832082154,0.0,,,,,,,,,5.484246482069874
staggered,D_staggered,2,200,0,structured,GATT,g=6_t=7,6.0,7.0,1.0,corrected,8.274052511724669,0.671944132981673,6.9489912680779895,7.172279812661941,9.409258123583431,9.662944869955195,0.0,,,,,,,,,7.677945074897823
staggered,D_staggered,2,200,0,structured,GATT,g=4_t=4,4.0,4.0,0.0,corrected,1.6458366436297254,0.8676607768617587,-0.4381908499782726,0.06750879920115671,2.688316543129499,2.8326681108457135,0.04666666666666667,,,,,,,,,2.726893830123671
staggered,D_staggered,2,200,0,structured,GATT,g=4_t=5,4.0,5.0,1.0,corrected,3.339083686742918,0.524770830040273,2.2036743255152165,2.4173699713388523,4.085463943247735,4.288431888930041,0.0,,,,,,,,,3.8176513621731396
staggered,D_staggered,2,200,0,structured,GATT,g=4_t=6,4.0,6.0,2.0,corrected,5.474300395722263,0.596873097956564,4.36226606914385,4.578492953982017,6.4468090133107445,6.7498925704066135,0.0,,,,,,,,,4.9084088942226085
staggered,D_staggered,2,200,0,structured,GATT,g=4_t=7,4.0,7.0,3.0,corrected,5.302106202182374,0.5760858935436545,4.121936275126811,4.384047534375695,6.168065131831853,6.329455186995702,0.0,,,,,,,,,5.999166426272078
staggered,D_staggered,2,200,0,structured,ES,k=0,,,0.0,corrected,4.119696492631795,0.2592635597777338,3.6320435882684143,3.705582374691417,4.554117209001312,4.640574975160988,0.0,,,,,,,,,4.093225536452796
staggered,D_staggered,2,200,0,structured,ES,k=1,,,1.0,corrected,6.099058426299926,0.31340039536973024,5.50331726359647,5.594401429877157,6.639165816126862,6.731587114954475,0.0,,,,,,,,,5.730515751033914
staggered,D_staggered,2,200,0,structured,ES,k=2,,,2.0,corrected,6.569673732747129,0.4356557384655628,5.818939730301412,5.938802015120123,7.290372218836735,7.515609878683811,0.0,,,,,,,,,6.214076828367926
