dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,PT_conditional,1,200,100,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.2359664988033961,0.20306615296199593,-0.6476667147678933,-0.5801412671061545,0.07748365280655992,0.15284575862154853,0.09933333333333333,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.12640097046989368,0.18389026257262542,-0.49515012309387835,-0.43707299946243183,0.14965473414558733,0.21922148541946918,0.17733333333333334,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,0.01874783455279409,0.1321778156235519,-0.2717647590857076,-0.19931548566152657,0.2709945886946728,0.3236597155467921,0.23333333333333334,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE,slope,,,,pretrend,0.06728240019979867,0.06727441724345504,-0.06186305008652737,-0.03769408812140418,0.18324526803537813,0.20598626697307448,0.12533333333333332,,,,,,,,,0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.09933333333333333,,,,,,,,,0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.298,,,,,,,,,0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.22400819033567745,0.2071808206146098,-0.6428703715905911,-0.5738662802636026,0.0956154721135155,0.16996352110995958,0.11333333333333333,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.11716202381747923,0.18778187074471286,-0.4912488466700748,-0.42501436254278974,0.1736901620115294,0.24287391702920305,0.188,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,0.024640858942730933,0.13941396719116927,-0.27022011267508533,-0.19229483621008853,0.28580556509972643,0.3585692646800818,0.226,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.24067734759370948,0.2064496507508179,-0.6596360816096375,-0.5894535338783438,0.07710163346098828,0.15284575862154842,0.09666666666666666,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.13004055551478425,0.1869039485789473,-0.5359163942696555,-0.4474331910896659,0.14965473414558716,0.21495835883365114,0.17266666666666666,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,0.016426340096152306,0.13355173410594257,-0.2831865453297601,-0.21177482918849697,0.2692754345307583,0.32278373838549246,0.23666666666666666,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.23539550624389916,0.2038775333576404,-0.6476667147678925,-0.5807624176347228,0.07920524440730688,0.15546971581983662,0.10066666666666667,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.12588108856151503,0.1843407335210241,-0.4951501230938778,-0.4384933209598993,0.1500796932213463,0.21922148541946967,0.18,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,0.019187159280041475,0.13281979027975382,-0.2741598842853945,-0.19867166422331664,0.2741314948074418,0.3250676574805906,0.23266666666666666,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.23844940020746935,0.20395352883468795,-0.6492028182619252,-0.5854720771363496,0.07710163346098847,0.15284575862154842,0.09666666666666666,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.12854702089528683,0.18502017232824605,-0.5123080634012606,-0.44462429201928994,0.1500796932213469,0.21084567998478101,0.17533333333333334,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,0.017149466992889578,0.1326196959994298,-0.28105029569749124,-0.2040776415525922,0.26927543453075836,0.32278373838549235,0.23533333333333334,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.01666915725803201,0.08518150592654024,-0.3172653669240834,-0.10507847461572828,1.4988010832439613e-15,0.0025965782194330117,0.43933333333333335,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.012878531697305007,0.07726756711574323,-0.26894060935798636,-0.014177560621228866,1.1102230246251565e-15,1.7208456881689926e-15,0.39266666666666666,,,,,,,,,-0.0
canonical,PT_conditional,1,200,100,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.008214518846578627,0.06349283253825577,-0.0406022372264126,-1.235990476633475e-15,6.96578211778486e-16,1.0064865607617416e-15,0.256,,,,,,,,,-0.0
