dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,true
canonical,PT_conditional,3,200,50,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.044458374495171524,0.23040216537389094,-0.49497134569234197,-0.4270900602082617,0.3375530525270443,0.40419882902825405,0.38866666666666666,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.1580200443809798,0.20694014577570843,-0.5924603850883514,-0.517162717871558,0.13007230439738365,0.19521692626584264,0.15933333333333333,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.12692985713762953,0.1887125063640538,-0.5633533077971788,-0.48098294691922555,0.09244320353104539,0.17033619757536236,0.11133333333333334,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE,slope,,,,pretrend,0.04116750495607883,0.08326224292375899,-0.09922223218099277,-0.08121817419845449,0.18555202466433082,0.2188669372347467,0.30866666666666664,0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.11133333333333334,0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.334,0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.007453541034435613,0.23707513064334537,-0.4607354259215866,-0.39866538563969944,0.39162377648862323,0.4583037421514622,0.44666666666666666,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.12569694768849188,0.21202451722805554,-0.5708846587968096,-0.4854798387009053,0.19113537520723017,0.26191147968739786,0.208,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.09666048615386248,0.186840425567778,-0.5197622289335306,-0.44153995405526036,0.15781576763549415,0.23804046651664207,0.15066666666666667,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.07071986920924217,0.2565789527502369,-0.621159251415122,-0.544703792722801,0.325300373910938,0.39996526622800904,0.36466666666666664,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.18095901622726157,0.23445327558324505,-0.6930342587246651,-0.6011350518565126,0.127908971511051,0.1927424300152417,0.14933333333333335,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.14841134622288354,0.2223481917354486,-0.7018801231055711,-0.5897979978593162,0.0819684446248982,0.15667054442118905,0.10533333333333333,-0.0
canonical,PT_conditional,3,200,50,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.04116274722155315,0.23052583101789487,-0.49189608311519595,-0.42331243049067313,0.34094717328950036,0.40508978236191406,0.39266666666666666,-0.0
