dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,PT_hold,1,200,50,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.02038511748104336,0.1608713680914754,-0.3341322683643873,-0.2918177194138372,0.24556310047928093,0.298571964135158,0.4086666666666667,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.07765871929077302,0.14505391257341888,-0.39686787128743045,-0.3417861870532952,0.14024134738814126,0.19760866640706962,0.208,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.012649881678198497,0.12270879031296573,-0.2889653106210323,-0.2328986877778219,0.19623535354109253,0.2614041934822916,0.23066666666666666,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,slope,,,,pretrend,0.016365905193062476,0.05617149264862452,-0.09427729395902901,-0.07026679225810413,0.11169515002994558,0.13428026553412806,0.352,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.208,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.624,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.013830810889082529,0.16470538415953467,-0.32560874028932346,-0.28331741496776913,0.2586205050048888,0.32096816999143957,0.41933333333333334,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.0718265255246052,0.14861838914860126,-0.3919735834894848,-0.3348858973743182,0.15505300524988783,0.2184692463948463,0.22133333333333333,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.006381103033399434,0.12660749363788168,-0.2850563690023288,-0.22722863407967545,0.20755782714720733,0.28266072280456755,0.24266666666666667,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.028463681419971826,0.16775014354512074,-0.3575274651759858,-0.3101287831503549,0.24487629106779155,0.2901332548420651,0.39466666666666667,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.08484723718860777,0.15231546209629954,-0.42286197228801,-0.3602032974333164,0.14249120830829345,0.19417020785707845,0.202,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.020376515821788035,0.1311954689399032,-0.32331645965617656,-0.26001385078943506,0.1867418150614914,0.24868509984728898,0.21733333333333332,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.016608029807148535,0.16136212899310212,-0.3319794872172316,-0.28390700345811165,0.25049370681734845,0.30404445484851017,0.422,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.07441756489370775,0.14550297929716266,-0.3867486993122084,-0.3337971359774617,0.14278540335913634,0.2086378464194406,0.218,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.010246987387974287,0.12271734966986793,-0.288965310621032,-0.23300112371164292,0.20088467948944294,0.2644810653456987,0.23533333333333334,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.026632941520325845,0.1678149485544177,-0.3676885506830519,-0.3079702457343869,0.2445436656878169,0.288457961496508,0.4053333333333333,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.08355833286634273,0.15227302390553488,-0.4212523228198813,-0.35843223738671276,0.13780111238691442,0.18944122430094823,0.20333333333333334,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.017322286517772296,0.1293421705321846,-0.3233164596561762,-0.25004055263501435,0.19572285749989554,0.24868509984728918,0.226,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.014632870530889299,0.08295385893182484,-0.2879791629912872,-0.043641003040335406,9.992007221626409e-16,0.002957839260286636,0.4206666666666667,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.013020711664002564,0.0790462723065354,-0.2556405100884702,-0.021009656262744942,8.056055822436286e-16,0.0018996287301932086,0.35533333333333333,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.013995412788388601,0.07793016281481606,-0.2699086176704017,-0.01622697953089502,4.487729632351989e-16,8.062994716340124e-16,0.22333333333333333,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.005995389122075831,0.03393439080259779,-0.001017478920885932,-3.47019040487189e-16,0.01689833571030585,0.10956021860934428,0.4186666666666667,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.22333333333333333,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,0.6699999999999999,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,-0.010024911713177308,0.059845136088967,-0.13869603574751468,-0.029158715319568207,5.696831895107828e-16,1.0538445116558961e-15,0.3893333333333333,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,-0.009140767972634994,0.05866321277819052,-0.06656992904118207,-0.022947906150181576,4.725386748560816e-16,7.566863802210814e-16,0.36,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,-0.00707529912979801,0.0502814315546382,-0.04493303342523412,-0.018891592601489943,3.608224830031759e-16,5.207639874882356e-16,0.23733333333333334,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X2_slope,,,,pretrend,0.003959397872471423,0.02423254467934572,-3.82085236465863e-16,-2.0345828196813693e-16,0.012134353722672367,0.04089445830225943,0.4146666666666667,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X2_any,,,,pretrend,,,,,,,0.23733333333333334,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE_SUBC,X2_any_bonf,,,,pretrend,,,,,,,0.712,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,k=-4,,,-4.0,twfe_es,-0.04668710201798287,0.21891265440059107,-0.47574802378758296,-0.4067664572594127,0.31339225322344694,0.3823738197516172,0.4155588980770878,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,k=-3,,,-3.0,twfe_es,-0.24251606411571736,0.22311644043461798,-0.679816255175713,-0.6095100336303605,0.12447790539892578,0.19478412694427827,0.13852980116664115,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,k=-2,,,-2.0,twfe_es,0.04689404186686463,0.20301350478376615,-0.3510051190231448,-0.28703353353073224,0.3808216172644615,0.44479320275687406,0.408661376492083,,,,,,,,,-0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,slope,,,,twfe_es,0.04129995660132276,0.08107741881504889,-0.11760886548909572,-0.09206056004628566,0.1746604732489312,0.20020877869174125,0.3052397436988208,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,any,,,,twfe_es,,,,,,,0.13852980116664115,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,any_bonf,,,,twfe_es,,,,,,,0.41558940349992346,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,PRE,joint,,,,twfe_es,,,,,,,0.25411114744034524,,,,,,,,,0.0
canonical,PT_hold,1,200,50,pretrend_unit,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.6549285607523263,0.14292654211044856,3.366917694865483,3.4144239912246137,3.876419978616915,3.916184652900064,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.733495489792913,0.13491402684178305,3.473687820757297,3.5144109074590495,3.965790753033447,4.010586356717575,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.7229197653832027,0.13780001144446713,3.4596191241432637,3.5014090742625226,3.971211705707317,4.0058882989914615,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.5661535287919746,0.16500124979690464,3.2502825104104813,3.295421120118885,3.832895235394814,3.8821125886218595,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ES,k=0,,,0.0,plain,3.6549285607523263,0.14292654211044856,3.366917694865483,3.4144239912246137,3.876419978616915,3.916184652900064,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ES,k=1,,,1.0,plain,3.733495489792913,0.13491402684178305,3.473687820757297,3.5144109074590495,3.965790753033447,4.010586356717575,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ES,k=2,,,2.0,plain,3.7229197653832027,0.13780001144446713,3.4596191241432637,3.5014090742625226,3.971211705707317,4.0058882989914615,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ES,k=3,,,3.0,plain,3.5661535287919746,0.16500124979690464,3.2502825104104813,3.295421120118885,3.832895235394814,3.8821125886218595,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ATT,ATT,,,,plain,3.6693743361801046,0.10951892098111232,3.460465066423293,3.4950072605396194,3.8548802723755475,3.8897508576794433,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,CATT,surface,,,,plain,,,,,,,,0.2748743427362659,0.2125704751659053,384.0,0.06063626775221411,0.90625,0.8787358014444794,0.8072916666666666,0.733450090550083,
canonical,PT_hold,1,200,50,pretrend_unit,GATT,g=4_t=4,4.0,4.0,0.0,corrected,3.6395003871622866,0.2387236869983048,3.1672849351374266,3.240002237835207,4.029416718970783,4.107125514139317,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,GATT,g=4_t=5,4.0,5.0,1.0,corrected,3.9617696069620383,0.22801802865054807,3.5186941265454714,3.585699264284697,4.332376599674658,4.402722865593142,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,GATT,g=4_t=6,4.0,6.0,2.0,corrected,3.7907161152208335,0.24626150602880278,3.334801335933778,3.391721368122555,4.201199667739979,4.271458027093292,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,GATT,g=4_t=7,4.0,7.0,3.0,corrected,3.549856250478365,0.24453355917642997,3.075121046747361,3.151302228784868,3.9377477493816833,4.026277962694305,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ES,k=0,,,0.0,corrected,3.6395003871622866,0.2387236869983048,3.1672849351374266,3.240002237835207,4.029416718970783,4.107125514139317,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ES,k=1,,,1.0,corrected,3.9617696069620383,0.22801802865054807,3.5186941265454714,3.585699264284697,4.332376599674658,4.402722865593142,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ES,k=2,,,2.0,corrected,3.7907161152208335,0.24626150602880278,3.334801335933778,3.391721368122555,4.201199667739979,4.271458027093292,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ES,k=3,,,3.0,corrected,3.549856250478365,0.24453355917642997,3.075121046747361,3.151302228784868,3.9377477493816833,4.026277962694305,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,ATT,ATT,,,,corrected,3.735460589955881,0.1948159867760441,3.355097727009575,3.4117051073109943,4.043913863340165,4.108402863521655,0.0,,,,,,,,,3.7352816320760156
canonical,PT_hold,1,200,50,pretrend_unit,CATT,surface,,,,corrected,,,,,,,,1.0224345709673597,0.8596102613559308,384.0,0.2614393059318901,0.2890625,0.9279207312890048,0.2526041666666667,0.7830039091849438,
canonical,PT_hold,1,200,51,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.16208842845866367,0.17897668855239482,-0.5167556477388743,-0.4586113956930294,0.12087670567956904,0.17673516966888875,0.15466666666666667,,,,,,,,,-0.0
canonical,PT_hold,1,200,51,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.201930625541298,0.1710755238325346,-0.5633163827224466,-0.4987429235626479,0.03354743131852613,0.09500052937802496,0.08,,,,,,,,,-0.0
canonical,PT_hold,1,200,51,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.17595195815871179,0.1737367773777567,-0.5399496208675668,-0.48342859566406743,0.015103842894988798,0.05762144476979866,0.06133333333333333,,,,,,,,,-0.0
canonical,PT_hold,1,200,51,pretrend_unit,PRE,slope,,,,pretrend,0.07614846390123561,0.06894023026937796,-0.042771966013999865,-0.02548368953867278,0.19253819362636795,0.218161347686612,0.118,,,,,,,,,0.0
canonical,PT_hold,1,200,51,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.06133333333333333,,,,,,,,,0.0
canonical,PT_hold,1,200,51,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.184,,,,,,,,,0.0
canonical,PT_hold,1,200,51,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.16123352512576125,0.17917644429528834,-0.5159433240507927,-0.45722014907392006,0.1170215843786943,0.17975956567788537,0.15466666666666667,,,,,,,,,-0.0
