dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,true
canonical,PT_hold,3,200,50,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.02388053573309861,0.17020756046013638,-0.376783202195543,-0.31689252394408685,0.2614908076530374,0.3160457729743311,0.41,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.08865413300427787,0.16022014013812835,-0.4510761758524123,-0.3764643780447339,0.13780178163447093,0.1970171924379496,0.212,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.017737227836548273,0.13099679448274965,-0.327864972081262,-0.26720789704833836,0.20592249980306818,0.26165993894632716,0.238,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,slope,,,,pretrend,0.019049078646028558,0.05968768373284138,-0.08955825215053678,-0.06973367662006535,0.12425625939183677,0.14936965395743068,0.3526666666666667,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.212,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.636,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.014328667599054863,0.17867474351888485,-0.3791529106324998,-0.31798985242434447,0.28633883171540697,0.34709524265989733,0.424,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.08028124328348103,0.16704687911099642,-0.4476269868889482,-0.37935750303693117,0.1658812002809497,0.2370672097208819,0.23133333333333334,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.008635664714064684,0.14070344158638554,-0.3278649720812624,-0.2666098519217139,0.24990200709189966,0.32028735936269787,0.25,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.035653768549478125,0.17832056390948617,-0.40486734976867206,-0.3422204120675699,0.26004428949782116,0.31574548753515025,0.388,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.09897420638107395,0.16953440053915128,-0.49014348120709456,-0.41138131854319615,0.131247474985514,0.1859161365572304,0.2,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.02895543354565595,0.13933556965261928,-0.3683656365492026,-0.2985185519486625,0.1988565214643447,0.26031780957813666,0.212,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.023219028674181977,0.17086527642557475,-0.37678320219554273,-0.3180491675420026,0.26501999542772786,0.31604577297433123,0.4106666666666667,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.0881152416034104,0.16067480342607637,-0.4551224489257561,-0.3793668014045206,0.1375232199602007,0.19701719243794963,0.212,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.017337366578422667,0.13144656261600313,-0.32911770496993925,-0.26934488482628416,0.21428670551287546,0.26598851300179116,0.23733333333333334,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.026296212399121107,0.17074982092266036,-0.38206807164105044,-0.3212820783528386,0.2597396361746495,0.3157454875351506,0.4046666666666667,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.0907341208446682,0.16071641580181192,-0.4542028569429863,-0.38000195467145864,0.13272229855161585,0.18907635682162788,0.21,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.0195695801195128,0.13122929676020748,-0.3355648486473059,-0.2698185694862997,0.19983649273360193,0.2627323841985591,0.234,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.02132510095042326,0.10824415721141288,-0.3875755409328277,-0.20657354805785094,1.1948775302528235e-15,0.0056221639782432714,0.398,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.01869296309759292,0.102719193994661,-0.36780968618969206,-0.117095458874521,9.239137233052465e-16,0.0033617417707470626,0.36733333333333335,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.020319768831591263,0.09985527008966547,-0.3726063169505033,-0.051380786993493126,5.287437154777295e-16,8.326672684688674e-16,0.24466666666666667,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.008691499848431919,0.04414402363877629,-0.002014721297496155,-4.286253891499265e-16,0.0634621590701892,0.1576327226527249,0.41,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.24466666666666667,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,0.734,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,-0.0030771837249391307,0.028065678752892575,-0.036622323974881035,-0.020001524012915006,6.807054919732985e-16,0.005926722478660063,0.4046666666666667,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,-0.002618879241257773,0.025785156684289257,-0.03267584428674169,-0.016738725239594174,5.9084681591769955e-16,0.0032568498692744294,0.356,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,-0.0022322135410901326,0.0222502184899819,-0.02733776617598002,-0.012569053307233229,3.608224830031759e-16,6.106226635438361e-16,0.224,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X2_slope,,,,pretrend,0.0011929659427445051,0.010945167144477958,-0.0019770389751786153,-2.579285991138087e-16,0.007584191027985057,0.013788849448992448,0.4166666666666667,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X2_any,,,,pretrend,,,,,,,0.224,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE_SUBC,X2_any_bonf,,,,pretrend,,,,,,,0.672,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,k=-4,,,-4.0,twfe_es,-0.04668710201798376,0.21891265440059124,-0.4757480237875842,-0.40676645725941385,0.3133922532234463,0.38237381975161666,0.4155588980770863,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,k=-3,,,-3.0,twfe_es,-0.24251606411571736,0.223116440434618,-0.679816255175713,-0.6095100336303605,0.12447790539892584,0.19478412694427832,0.1385298011666411,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,k=-2,,,-2.0,twfe_es,0.0468940418668673,0.20301350478376626,-0.35100511902314235,-0.2870335335307298,0.3808216172644644,0.44479320275687695,0.4086613764920779,-0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,slope,,,,twfe_es,0.04129995660132276,0.08107741881504894,-0.11760886548909583,-0.09206056004628574,0.17466047324893128,0.20020877869174136,0.30523974369882095,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,any,,,,twfe_es,,,,,,,0.1385298011666411,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,any_bonf,,,,twfe_es,,,,,,,0.4155894034999233,0.0
canonical,PT_hold,3,200,50,pretrend_unit,PRE,joint,,,,twfe_es,,,,,,,0.2541111474403426,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.13151917009295302,0.17887048189785681,-0.49477462738932204,-0.4246403179696968,0.139710478802585,0.2176164538558248,0.194,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.16746176866533116,0.17623052485819504,-0.5451264681408994,-0.4719476425134398,0.07221503992730366,0.12981160804577854,0.112,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.1496150722827849,0.1706231923470235,-0.5154641366955968,-0.4478130189796179,0.03171475663153055,0.09538115500321026,0.07466666666666667,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,slope,,,,pretrend,0.0627925799923076,0.06944786254488512,-0.06154028613955469,-0.03747742667811659,0.1753759900710926,0.20171678757648873,0.14666666666666667,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.07466666666666667,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.22400000000000003,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.1280997419289476,0.17984054020952908,-0.5002378994587846,-0.4246403179696976,0.14911778884331756,0.22175825295145166,0.19666666666666666,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.16407893905041226,0.17570357541665077,-0.5364314074178552,-0.4704307001238111,0.07378803377137484,0.1349225973547625,0.116,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.14640144739815708,0.1701400495267127,-0.5086065755483551,-0.4461913438544411,0.03354574590372688,0.09884217818234788,0.07933333333333334,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.13640406747010356,0.18387283417590022,-0.5120055800387926,-0.44265864315510633,0.14271214572671043,0.20898949447561221,0.18866666666666668,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.1722943824009296,0.18289755604742697,-0.5579803818980972,-0.4867391618565104,0.07607095158862359,0.13027011282563875,0.11266666666666666,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.15420596497511035,0.17684616794367236,-0.5402429340106063,-0.4658869563360794,0.03123763993049623,0.09667603201547893,0.07266666666666667,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.14005259643691817,0.1808533637821341,-0.516156124532053,-0.44551749687004455,0.1331482219009394,0.1950402137438501,0.184,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.17138130741664684,0.1765686941970601,-0.5442298110055747,-0.47524047702857297,0.06636989674629011,0.12696816227135752,0.10666666666666667,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.15065872672345704,0.17014968176979817,-0.5089915226666767,-0.44696796244129805,0.02951592028133814,0.096676032015479,0.07133333333333333,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.12754239612324283,0.18191343517072342,-0.49533960545060396,-0.42204262789747043,0.1497715663687388,0.22967438855102926,0.20666666666666667,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.16600629575901243,0.17771911503879462,-0.5428565045109096,-0.47050511699911146,0.08150480564274738,0.13127269338134737,0.118,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.14955856490384045,0.1717654331803326,-0.5154641366955968,-0.4515111828632587,0.031899470401690104,0.09884217818234782,0.07666666666666666,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.008304325541155944,0.06268843775934566,-0.19061345223539775,-0.024693389163721647,0.00716674676714575,0.02382920280152883,0.43866666666666665,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.00821544335051732,0.0601660920940463,-0.17134603721733901,-0.0035394211925161437,0.003865263813246318,0.011028255417484091,0.4166666666666667,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.0078045175769532685,0.05723692180947515,-0.14720857083847566,-1.4710455076283324e-15,1.0019762797242013e-15,0.004051932694271691,0.3486666666666667,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.0035105986358182667,0.02552396170249469,-0.007654406757559981,-0.002559108106775732,0.009347828775335847,0.07432224930965385,0.44733333333333336,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.3486666666666667,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,1.0,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,0.012510200313675323,0.06176167946441623,-0.015138344878390046,-0.004470482505682756,0.11239031105635872,0.19903951727689836,0.41,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,0.005375011657634431,0.036762452940821845,-0.015253993686561053,-0.001831249648432161,0.03755278927956236,0.12629191797499142,0.4086666666666667,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,0.0011001618196165748,0.023201616173214302,-0.014916808191039289,-7.82707232360735e-16,6.106226635438361e-16,0.00213203225095959,0.3313333333333333,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X2_slope,,,,pretrend,-0.0035271990054222433,0.01768951200869113,-0.06252487974026913,-0.038900355710817035,0.001267903012833739,0.006402228545930674,0.424,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X2_any,,,,pretrend,,,,,,,0.3313333333333333,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE_SUBC,X2_any_bonf,,,,pretrend,,,,,,,0.994,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,k=-4,,,-4.0,twfe_es,-0.04475277466038641,0.23919792934490058,-0.5135721050509352,-0.43819844553506354,0.3486928962142907,0.42406655573016233,0.4257930117893517,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,k=-3,,,-3.0,twfe_es,-0.1809486233690656,0.21694513661142098,-0.6061532811025327,-0.5377916991049079,0.17589445236677664,0.24425603436440152,0.20211921997232757,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,k=-2,,,-2.0,twfe_es,-0.15466141612774198,0.20416781634234402,-0.5548229861173479,-0.4904876655097119,0.18116483325422794,0.24550015386186397,0.22436888342863093,-0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,slope,,,,twfe_es,0.04648692763193089,0.08179532551077899,-0.11382896573747756,-0.08805444071577598,0.18102829597963774,0.20680282100133932,0.2849046663490067,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,any,,,,twfe_es,,,,,,,0.20211921997232757,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,any_bonf,,,,twfe_es,,,,,,,0.6063576599169826,0.0
canonical,PT_hold,3,200,51,pretrend_unit,PRE,joint,,,,twfe_es,,,,,,,0.40086925393456574,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.128862375769628,0.17670837386844312,-0.500863318207002,-0.4312559272873704,0.1431275884989558,0.19657995281022217,0.20133333333333334,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.14849060939205488,0.1653624312464579,-0.4927623538829229,-0.43645423213305895,0.09059098742461542,0.14180224065455305,0.12066666666666667,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.08497011874140831,0.15130148558912057,-0.43111941170859935,-0.385088188276062,0.10369562530950811,0.1624223477953937,0.12533333333333332,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,slope,,,,pretrend,0.054895604631028716,0.0648715537225345,-0.05455106388994669,-0.038539137849576084,0.1707808976223699,0.1964561671250252,0.168,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.12066666666666667,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.362,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.12478538597234766,0.1792301021215184,-0.4993864385916605,-0.43259059307046777,0.15802095905201888,0.21178038634703317,0.206,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.14776592575040595,0.1656845267481016,-0.486533550564456,-0.4379792538655751,0.09658868682885387,0.14291084829550563,0.11866666666666667,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.0848203744094522,0.15119287641524612,-0.43111941170859963,-0.3863746844852688,0.10369562530950832,0.1648433141034037,0.12466666666666666,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.13343858880739162,0.17986258951999157,-0.505522386971865,-0.4514796556001309,0.13771026199368097,0.1972710829724451,0.19533333333333333,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.14930402980615062,0.1667139267179926,-0.4985734262354569,-0.43797925386557524,0.09646490899400344,0.13718085568268215,0.11866666666666667,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.08513819911401213,0.15243468053415468,-0.42871239931464417,-0.3883005350569304,0.10434946348415375,0.16484331410340408,0.12466666666666666,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.12831551348523587,0.17731808662872053,-0.5008633182070026,-0.4325905930704687,0.14221085040430576,0.19973094237949165,0.204,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.14642494969023412,0.16637394570803196,-0.49656326741519796,-0.43797925386557535,0.09658868682885424,0.14328401234148297,0.128,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.08369810624997999,0.1519472319143032,-0.4311194117085993,-0.38508818827606184,0.10566797928033787,0.17029744312901793,0.13,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.1318375949189754,0.17858591332069798,-0.5000721093609007,-0.4415102489614772,0.14191982178810103,0.19884233137890428,0.198,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.1516926196836801,0.1664580040802791,-0.4965632674151981,-0.44044745393203827,0.08937433991871128,0.13730499389989653,0.116,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.08685369062728318,0.15204756785955106,-0.43525036369904035,-0.3900636763626115,0.10111416361737549,0.16242234779539352,0.122,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.00865320283504395,0.06349627300927335,-0.1700271983708111,-0.038957169531140555,1.4446777107934837e-15,0.012613879460692649,0.4206666666666667,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.0015381040557446723,0.032786483088194075,-0.03908094385091338,-0.0006542398425466179,1.1109169140155466e-15,0.006586879725042405,0.416,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.0003178247045599416,0.02410614244426193,-0.003226872042522802,-8.881784197001252e-16,7.507883204027608e-16,1.2212453270876722e-15,0.29533333333333334,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.0020966886657986525,0.017480395555074066,-0.004538391560400749,-4.811131651801962e-16,0.012695316618740295,0.05017127121917972,0.438,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.29533333333333334,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,0.886,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,-0.00352208143373954,0.042863262300992744,-0.11137224554370273,-0.01451718768051114,0.0033326397149209645,0.03911617838684016,0.43066666666666664,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,-0.005267669993446,0.0378898206877358,-0.10744326620426972,-0.009599081502230763,8.326672684688674e-16,0.0014767471879966827,0.392,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,-0.003155584377303207,0.028904882039960385,-0.02216818476228438,-6.668277041654846e-16,5.273559366969494e-16,9.43689570931383e-16,0.2806666666666667,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X2_slope,,,,pretrend,0.001732654904672416,0.015679855752022343,-0.009757651454112039,-0.0011332086177617585,0.005557240092914721,0.04385523394549753,0.44666666666666666,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X2_any,,,,pretrend,,,,,,,0.2806666666666667,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE_SUBC,X2_any_bonf,,,,pretrend,,,,,,,0.8420000000000001,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,k=-4,,,-4.0,twfe_es,-0.04059758840718253,0.25909408974421944,-0.5484126769186218,-0.46676953829932083,0.3855743614849558,0.4672175001042568,0.43774437821655016,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,k=-3,,,-3.0,twfe_es,-0.1651895650956794,0.21088004502260527,-0.5785068616583648,-0.5120564506712917,0.18167732047993296,0.24812773146700612,0.21671542333515126,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,k=-2,,,-2.0,twfe_es,-0.008249607859138308,0.19940130247213264,-0.3990689822576293,-0.3362356378356356,0.319736422117359,0.3825697665393527,0.48349971285134136,-0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,slope,,,,twfe_es,0.032887250233717476,0.08608626209972049,-0.1358387243762991,-0.1087120823260562,0.17448658279349114,0.20161322484373403,0.35122078179446403,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,any,,,,twfe_es,,,,,,,0.21671542333515126,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,any_bonf,,,,twfe_es,,,,,,,0.6501462700054538,0.0
canonical,PT_hold,3,200,52,pretrend_unit,PRE,joint,,,,twfe_es,,,,,,,0.41300792939597014,0.0
