dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.4502194403664429,0.19647358072786122,-0.8546514493911382,-0.7695561145238216,-0.13520137080907524,-0.06555838534696234,0.011333333333333334,,,,,,,,,-0.5451969932749023
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.4320688759845129,0.2021440588546447,-0.8503881439873824,-0.7798790588192835,-0.10044014322491693,-0.01611397222916185,0.01,,,,,,,,,-0.36346466218326823
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.1319803582130015,0.18737441930290125,-0.5399203586587741,-0.4824482222247284,0.09752537685520797,0.16622702467222739,0.11466666666666667,,,,,,,,,-0.18173233109163411
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE,slope,,,,pretrend,0.16762688794866829,0.0749568583647195,0.028161983985451458,0.05043022493463934,0.29668260912324895,0.3231024510865789,0.01,,,,,,,,,0.18173233109163411
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.01,,,,,,,,,0.18173233109163411
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.03,,,,,,,,,0.18173233109163411
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.4466068427673688,0.20141894671983207,-0.863552778521838,-0.7879924591399664,-0.11915287203337266,-0.05371854440058676,0.012,,,,,,,,,-0.560650268923308
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.42927145661108873,0.20657481660950672,-0.8552925617090548,-0.779373609449431,-0.09179584880146013,0.0,0.011333333333333334,,,,,,,,,-0.37376684594887205
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.1266235111334216,0.18934921036361865,-0.5282483059092535,-0.47362557205236433,0.1032283406459364,0.1752605040081472,0.12333333333333334,,,,,,,,,-0.18688342297443603
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.454672176942046,0.20113236275513297,-0.8669090337516618,-0.7886106783052677,-0.12549917770099772,-0.05988111924525633,0.012666666666666666,,,,,,,,,-0.5286596032208233
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.43551685800291945,0.20651853495931555,-0.8528017288226086,-0.7817833002653697,-0.10044014322491691,0.0,0.012,,,,,,,,,-0.35243973548054885
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.1385829836831814,0.19106533910002677,-0.5538044193252342,-0.4858812499143713,0.09390644777658803,0.16181210911373908,0.10866666666666666,,,,,,,,,-0.17621986774027443
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.43731748881417115,0.20145635230845507,-0.8531891547565861,-0.7592262547121581,-0.10835526295833393,-0.023843088662514406,0.016666666666666666,,,,,,,,,-0.513959412392303
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.41967031744472055,0.20424634386828722,-0.8400472140266231,-0.7559413316922134,-0.08220310112613435,-0.002503837324505707,0.011333333333333334,,,,,,,,,-0.3426396082615354
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.12136982393530367,0.1885981154741629,-0.5273021974985974,-0.47086802092950086,0.11306618837335299,0.17904092298766416,0.12933333333333333,,,,,,,,,-0.1713198041307677
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.46855828200871263,0.21120780093832564,-0.9017349266728505,-0.8319889746476674,-0.13520137080907546,-0.06974258660179558,0.011333333333333334,,,,,,,,,-0.5762804768865276
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.45015124922279315,0.21987903864361782,-0.9320083532219754,-0.8338054328674409,-0.09776895208765918,-0.01611397222916182,0.01,,,,,,,,,-0.3841869845910184
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.14851075044402176,0.20588953090570902,-0.6170949039150315,-0.5237004271060194,0.08623014726730319,0.1624163790371453,0.108,,,,,,,,,-0.1920934922955092
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.008065334174677146,0.08802429033633236,-0.19772522567187903,-0.06312342724130718,2.9448665728182252e-15,0.0379099740627466,0.43133333333333335,,,,,,,,,0.031990665702484794
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.006245401391830751,0.08532928374983062,-0.16896842917982358,-0.055587646792205986,1.6653345369377348e-15,0.021492324758384716,0.43466666666666665,,,,,,,,,0.021327110468323196
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.011959472549759823,0.06473753784174074,-0.11193145139636186,-0.04618620085158177,5.828670879282072e-16,8.881784197001252e-16,0.288,,,,,,,,,0.010663555234161598
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.0034747341326751974,0.03442763342535974,-0.01179170780445053,-8.974963629425146e-16,0.025484706800437833,0.07341322022917504,0.44866666666666666,,,,,,,,,-0.010663555234161598
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.288,,,,,,,,,-0.010663555234161598
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,0.8639999999999999,,,,,,,,,-0.010663555234161598
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,-0.03124079319454147,0.11963771695950788,-0.4950641661397122,-0.2962562877385921,1.1102230246251565e-15,0.010782399980282615,0.38466666666666666,,,,,,,,,-0.06232106449422453
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,-0.030480931778072567,0.11918504826742973,-0.4950641661397123,-0.29625628773859214,9.173217740965343e-16,0.007881775860112038,0.402,,,,,,,,,-0.04154737632948302
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,-0.027140926508718088,0.11355363845214836,-0.47909752762756447,-0.25848316360596035,4.440892098500626e-16,6.661338147750939e-16,0.274,,,,,,,,,-0.02077368816474151
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X2_slope,,,,pretrend,0.012987512117749114,0.05023050989782671,-0.0038850192737267457,-4.165318883459739e-16,0.1244122899601347,0.20532751184038475,0.418,,,,,,,,,0.02077368816474151
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X2_any,,,,pretrend,,,,,,,0.274,,,,,,,,,0.02077368816474151
canonical,PT_violation_a20,1,200,50,pretrend_unit,PRE_SUBC,X2_any_bonf,,,,pretrend,,,,,,,0.8220000000000001,,,,,,,,,0.02077368816474151
