dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-1.034639100970343,0.19621148797910618,-1.4052742310320365,-1.3460970632133504,-0.7042764946637624,-0.6407999434778817,0.0,,,,,,,,,-1.2
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.3905291898464981,0.20545672470337178,-0.7969337883346723,-0.7282319219160921,0.0,0.0,0.016,,,,,,,,,-0.7999999999999999
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.25233172572314205,0.1996732595927973,-0.6393851484230698,-0.5754791514891643,0.0,0.01724103188285887,0.03133333333333333,,,,,,,,,-0.39999999999999997
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE,slope,,,,pretrend,0.29552195773765483,0.07338077440891298,0.15088935902655182,0.17358686353288766,0.4106208180477146,0.43632693581052784,0.0,,,,,,,,,0.39999999999999997
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.0,,,,,,,,,0.39999999999999997
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.0,,,,,,,,,0.39999999999999997
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-1.0318870816456212,0.199566925689111,-1.4101567597954219,-1.3515604035040178,-0.688527375037608,-0.6355990608057465,0.0,,,,,,,,,-1.1999999999999993
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.3884425376942883,0.20753033350774724,-0.7879490745081762,-0.7236856943424497,0.0,0.0,0.018,,,,,,,,,-0.7999999999999996
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.24933122484693998,0.20146630130313423,-0.6358392366510502,-0.573782108604027,0.0,0.02678256877812749,0.034,,,,,,,,,-0.3999999999999998
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-1.0380791251262453,0.2015681221286828,-1.432160103984188,-1.365100100208309,-0.6950345039196281,-0.6385278653492644,0.0,,,,,,,,,-1.1999999999999995
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.3931375050367603,0.20999648790283315,-0.8104767123081108,-0.7333530123358626,0.0,0.0,0.016,,,,,,,,,-0.7999999999999997
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.25608235181839467,0.2027085664625714,-0.6489676003743636,-0.585941232057356,0.0,0.012497661744340199,0.029333333333333333,,,,,,,,,-0.39999999999999986
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-1.030764853956139,0.19811200229698592,-1.4056232903172896,-1.3439448930830555,-0.688527375037608,-0.6363303669740571,0.0,,,,,,,,,-1.2000000000000002
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.3870993791865685,0.2058983324329688,-0.793588070021682,-0.7233364345847254,0.0,0.0,0.019333333333333334,,,,,,,,,-0.8
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.2499824003064799,0.20034824920354066,-0.6371364873294312,-0.5749821825846676,0.0,0.02414080237502952,0.03266666666666666,,,,,,,,,-0.4
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-1.0400041584223625,0.19931109828375423,-1.428790005879977,-1.3631829790968926,-0.7076719585117985,-0.6429586791429128,0.0,,,,,,,,,-1.2000000000000002
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.3954276011965287,0.20917192182012379,-0.8213538488801156,-0.7367221011079211,0.0,0.0,0.016,,,,,,,,,-0.8
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.25616358862466626,0.2026895629872778,-0.64517775836872,-0.5860479365023654,0.0,0.01724103188285879,0.030666666666666665,,,,,,,,,-0.4
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.006192043480624106,0.0826038122599623,-0.1781595866654997,-0.00461810118431497,0.009693228997290146,0.07745733327648156,0.438,,,,,,,,,-1.6653345369377348e-16
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.004694967342472019,0.0729503061695914,-0.08821301584817176,-1.5279444376403716e-15,0.0008845471278542441,0.03374033493529045,0.442,,,,,,,,,-1.1102230246251565e-16
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.006751126971454687,0.06178000564430237,-0.03568829425382936,-1.2212453270876722e-15,1.1393663790215656e-15,0.002559912403369423,0.38066666666666665,,,,,,,,,-5.551115123125783e-17
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.0024797994355907887,0.03105314933395649,-0.02424786826110875,-0.0034618674990322725,0.0013224859509502987,0.06375712789060062,0.49066666666666664,,,,,,,,,5.551115123125783e-17
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.38066666666666665,,,,,,,,,5.551115123125783e-17
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,1.0,,,,,,,,,5.551115123125783e-17
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,-0.009239304466223473,0.06390951051019894,-0.16292309836947363,-0.025501363248798602,0.004574250436994486,0.01821920606271633,0.43066666666666664,,,,,,,,,-0.0
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,-0.008328222009960156,0.05901570141520701,-0.12059551132344369,-0.006644008764923278,1.3322676295501878e-15,0.008904258235249322,0.444,,,,,,,,,-0.0
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,-0.006181188318186412,0.05428960092555609,-0.013868984801488541,-9.173217740965355e-16,9.992007221626409e-16,0.006929037099028601,0.37266666666666665,,,,,,,,,-0.0
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X2_slope,,,,pretrend,0.0036111104097697956,0.02517212521800736,-0.005450585851875093,-0.0015467081094653495,0.007254234556387535,0.055519490604153406,0.478,,,,,,,,,0.0
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X2_any,,,,pretrend,,,,,,,0.37266666666666665,,,,,,,,,0.0
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE_SUBC,X2_any_bonf,,,,pretrend,,,,,,,1.0,,,,,,,,,0.0
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE,k=-4,,,-4.0,twfe_es,-1.0107962633447585,0.24130087593532978,-1.4837372933464712,-1.4077009743304894,-0.6138915523590276,-0.5378552333430457,1.4012672970439694e-05,,,,,,,,,-1.2
canonical,PT_violation_g40,1,200,150,pretrend_unit,PRE,k=-3,,,-3.0,twfe_es,-0.32236442752100913,0.2337490463520534,-0.7805041434053651,-0.7068474814093696,0.062118626367351326,0.13577528836334685,0.08393122489886395,,,,,,,,,-0.7999999999999999
