dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,0.13461443235541287,0.1908629021337534,-0.2279979873988428,-0.18649653826593626,0.4390947512350366,0.4985350850281536,0.24,,,,,,,,,0.06666666666666667
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,0.2520112408566637,0.1859488833589388,-0.09306691624277111,-0.02571217883800583,0.5640008812136491,0.6320863402534114,0.07066666666666667,,,,,,,,,0.044444444444444446
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,0.13935006546257742,0.18083078190803467,-0.21646715620929613,-0.14240369865673488,0.4362653194944443,0.5002508869713121,0.17466666666666666,,,,,,,,,0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,slope,,,,pretrend,-0.07480113173158168,0.06999459770681085,-0.21042671928831533,-0.1879207867346328,0.03563336062612096,0.05579472908188764,0.14133333333333334,,,,,,,,,-0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.07066666666666667,,,,,,,,,-0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.21200000000000002,,,,,,,,,-0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,0.3972491211613359,0.24517709032330676,-0.0819013907065394,-0.011559132178057773,0.7905980229647148,0.850206161302677,0.05333333333333334,,,,,,,,,0.5999999999999996
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,0.4837085534750381,0.2485614148215508,0.0,0.026475237975444654,0.8868778854692323,0.9719538910192964,0.012666666666666666,,,,,,,,,0.3999999999999998
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,0.36119687943119977,0.25577931632962475,-0.05251006934490489,0.0,0.7764567873435514,0.8453714375248338,0.04133333333333333,,,,,,,,,0.1999999999999999
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.19367892865199102,0.2613303430479761,-0.7275252734727405,-0.6412723191041034,0.22299909546759905,0.29535655128730715,0.218,,,,,,,,,-0.5999999999999998
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.03761039991630426,0.2400761923952632,-0.5140826657420282,-0.43027049499159425,0.36851347916369476,0.43271673884462264,0.402,,,,,,,,,-0.39999999999999986
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.1379584519982005,0.22902765579198978,-0.6194683433281681,-0.5399376242541696,0.19319403045275696,0.2680967919605593,0.196,,,,,,,,,-0.19999999999999993
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,0.13445146627110346,0.19394635723036022,-0.2367815966276185,-0.19133923337314568,0.43719709159799447,0.49882581629196443,0.24733333333333332,,,,,,,,,0.05454545454545455
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,0.25204969524663234,0.1872472768961847,-0.0990242911710113,-0.02944575016426495,0.5666452200438712,0.6268507586838931,0.07666666666666666,,,,,,,,,0.03636363636363637
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,0.13932579577541898,0.18100263723574403,-0.21775287327918535,-0.14351535274104196,0.4379195062841611,0.4994713686812911,0.17333333333333334,,,,,,,,,0.018181818181818184
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,0.15436741318150599,0.19871622251857896,-0.22114071657251813,-0.17321608759823623,0.46906562030102605,0.52350346455915,0.20666666666666667,,,,,,,,,0.1272727272727273
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,0.2689321948663849,0.19606722592644482,-0.11396790710095225,-0.027013634810151364,0.5924580076752165,0.6637283961931837,0.068,,,,,,,,,0.08484848484848485
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,0.15585455586105457,0.19217622292963946,-0.2434416510348608,-0.14613871449350035,0.4735992447489939,0.5421405932050257,0.15866666666666668,,,,,,,,,0.04242424242424243
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.5909280498133269,0.33263181956190974,-1.2031174113969814,-1.1012708702185965,1.9515639104739e-16,5.947065756517458e-16,0.066,,,,,,,,,-1.1999999999999993
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.5213189533913424,0.32050006324313185,-1.0529529356330198,-0.9906815606530743,3.198830089701226e-16,6.106226635438361e-16,0.08066666666666666,,,,,,,,,-0.7999999999999996
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.4991553314294003,0.33043063943146705,-1.041988890858888,-0.9797598796144844,1.8110513089197803e-16,5.014218207310956e-16,0.07466666666666667,,,,,,,,,-0.3999999999999998
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.23675552768943325,0.1335941666764871,-1.987869194649708e-16,-6.302002570584314e-17,0.43317067356259165,0.461166645581384,0.07066666666666667,,,,,,,,,0.3999999999999998
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.066,,,,,,,,,0.3999999999999998
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,0.198,,,,,,,,,0.3999999999999998
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,0.019915946910402525,0.08212001255028824,-0.23685545509974174,-0.1144775465755387,0.06757667575821472,0.07945754920798427,0.13066666666666665,,,,,,,,,0.07272727272727272
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,0.016882499619752602,0.0780313413384546,-0.21729263685540715,-0.06838687198280205,0.06130932852746504,0.06623649232841355,0.138,,,,,,,,,0.048484848484848485
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,0.016528760085635617,0.07429103418177964,-0.19843242098309619,-0.012940697270827332,0.060041306706246945,0.06392387518406614,0.10866666666666666,,,,,,,,,0.024242424242424242
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X2_slope,,,,pretrend,-0.007860114289739172,0.03326402175690845,-0.02893223411275132,-0.02666848970473863,0.03383141824462094,0.09287485111186662,0.132,,,,,,,,,-0.024242424242424242
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X2_any,,,,pretrend,,,,,,,0.10866666666666666,,,,,,,,,-0.024242424242424242
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE_SUBC,X2_any_bonf,,,,pretrend,,,,,,,0.32599999999999996,,,,,,,,,-0.024242424242424242
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,k=-4,,,-4.0,twfe_es,0.25587040332188504,0.25041996772979297,-0.23494371830967092,-0.15603388227833587,0.6677746889221059,0.7466845249534411,0.15344602668512686,,,,,,,,,0.06666666666666667
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,k=-3,,,-3.0,twfe_es,0.5220800169234101,0.2355398142630756,0.0604304604010954,0.13465141127353314,0.9095086225732871,0.9837295734457248,0.013327764938577782,,,,,,,,,0.044444444444444446
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,k=-2,,,-2.0,twfe_es,0.23518291234800603,0.22124604655228405,-0.19845137403679486,-0.1287345323077046,0.5991003570037167,0.6688171987328069,0.1438926514631642,,,,,,,,,0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,slope,,,,twfe_es,-0.1462110111543201,0.09117271496078773,-0.3249062502597254,-0.2961768160484316,0.0037547937397914566,0.03248422795108527,0.054393329371741676,,,,,,,,,-0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,any,,,,twfe_es,,,,,,,0.013327764938577782,,,,,,,,,-0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,any_bonf,,,,twfe_es,,,,,,,0.039983294815733345,,,,,,,,,-0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,PRE,joint,,,,twfe_es,,,,,,,0.07642629621949631,,,,,,,,,-0.022222222222222223
canonical,PT_violation_het20,1,200,150,pretrend_unit,GATT,g=4_t=4,4.0,4.0,0.0,plain,3.7261624962844824,0.14200119394959107,3.4567383663774764,3.4931700351583004,3.959969949959651,4.018808015861971,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,GATT,g=4_t=5,4.0,5.0,1.0,plain,3.6821034517669116,0.13132322476620728,3.415581421984581,3.465822602707209,3.8900933177830495,3.9217372019761325,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,GATT,g=4_t=6,4.0,6.0,2.0,plain,3.623475347524909,0.14153826269142714,3.33795541472632,3.3816867451837607,3.8453835479991367,3.883626180391976,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,GATT,g=4_t=7,4.0,7.0,3.0,plain,3.445861618671666,0.16218856770447848,3.1218383947679333,3.174572015982813,3.7125445428226915,3.7632526040182213,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ES,k=0,,,0.0,plain,3.7261624962844824,0.14200119394959107,3.4567383663774764,3.4931700351583004,3.959969949959651,4.018808015861971,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ES,k=1,,,1.0,plain,3.6821034517669116,0.13132322476620728,3.415581421984581,3.465822602707209,3.8900933177830495,3.9217372019761325,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ES,k=2,,,2.0,plain,3.623475347524909,0.14153826269142714,3.33795541472632,3.3816867451837607,3.8453835479991367,3.883626180391976,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ES,k=3,,,3.0,plain,3.445861618671666,0.16218856770447848,3.1218383947679333,3.174572015982813,3.7125445428226915,3.7632526040182213,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ATT,ATT,,,,plain,3.619400728561993,0.10631395754061865,3.412269306914092,3.4462312800890804,3.798602183390833,3.8285074142307933,0.0,,,,,,,,,3.735802210481604
canonical,PT_violation_het20,1,200,150,pretrend_unit,CATT,surface,,,,plain,,,,,,,,0.7848106386395926,0.7540700405270405,396.0,0.2247872301324723,0.21464646464646464,1.1324546831513207,0.08080808080808081,0.9482041596302027,
canonical,PT_violation_het20,1,200,150,pretrend_unit,GATT,g=4_t=4,4.0,4.0,0.0,corrected,3.961972605203325,0.2778847907699349,3.4131124145136957,3.489211621056563,4.421528232796755,4.5104484872789445,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,GATT,g=4_t=5,4.0,5.0,1.0,corrected,3.937549356031159,0.2806832721456638,3.407068899210244,3.486452769285228,4.410645046968198,4.493159997271184,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,GATT,g=4_t=6,4.0,6.0,2.0,corrected,3.8640252081450903,0.2879820162865626,3.326172009222195,3.406584628856418,4.321336287612982,4.441237968922565,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,GATT,g=4_t=7,4.0,7.0,3.0,corrected,3.699478505731406,0.309840902608202,3.1079633408229492,3.2023125120153955,4.216586691527972,4.2959193593173355,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ES,k=0,,,0.0,corrected,3.961972605203325,0.2778847907699349,3.4131124145136957,3.489211621056563,4.421528232796755,4.5104484872789445,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ES,k=1,,,1.0,corrected,3.937549356031159,0.2806832721456638,3.407068899210244,3.486452769285228,4.410645046968198,4.493159997271184,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ES,k=2,,,2.0,corrected,3.8640252081450903,0.2879820162865626,3.326172009222195,3.406584628856418,4.321336287612982,4.441237968922565,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ES,k=3,,,3.0,corrected,3.699478505731406,0.309840902608202,3.1079633408229492,3.2023125120153955,4.216586691527972,4.2959193593173355,0.0,,,,,,,,,3.7358022104816033
canonical,PT_violation_het20,1,200,150,pretrend_unit,ATT,ATT,,,,corrected,3.865756418777745,0.24583397046028613,3.4126705589834367,3.4671238927208767,4.275100737260654,4.364088981135148,0.0,,,,,,,,,3.735802210481604
canonical,PT_violation_het20,1,200,150,pretrend_unit,CATT,surface,,,,corrected,,,,,,,,1.0423436572925806,0.8605099582266472,396.0,0.2853748325668445,0.3409090909090909,1.1216122872552363,0.2904040404040404,0.9463836819230753,
canonical,PT_violation_het20,1,200,151,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,0.0057285591675611085,0.188736830381184,-0.35221933515767645,-0.30043162011640695,0.31333147140511486,0.3733344510667672,0.4826666666666667,,,,,,,,,0.13846153846153847
canonical,PT_violation_het20,1,200,151,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.1857344673740846,0.18153318102918387,-0.5405010381944934,-0.4811717597190472,0.11117154615147341,0.1728303039408732,0.154,,,,,,,,,0.09230769230769231
canonical,PT_violation_het20,1,200,151,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.10672512382568713,0.1777334543398865,-0.41551898047466285,-0.3749503741280233,0.1914487158120188,0.2628265978630097,0.2673333333333333,,,,,,,,,0.046153846153846156
canonical,PT_violation_het20,1,200,151,pretrend_unit,PRE,slope,,,,pretrend,0.03292917007651236,0.0675649202754072,-0.10569436275847036,-0.07681402090475217,0.13819806492779335,0.15628386676705178,0.302,,,,,,,,,-0.046153846153846156
canonical,PT_violation_het20,1,200,151,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.154,,,,,,,,,-0.046153846153846156
canonical,PT_violation_het20,1,200,151,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.46199999999999997,,,,,,,,,-0.046153846153846156
