unit_id,time,cohort,eventually_treated,event_time,D,lpop,Y,k_diag
8001,2003,2007.0,1,-4.0,0,5.8967609333053,8.46146904264388,-4.0
8001,2004,2007.0,1,-3.0,0,5.8967609333053,8.33686963728496,-3.0
8001,2005,2007.0,1,-2.0,0,5.8967609333053,8.34021732094704,-2.0
8001,2006,2007.0,1,-1.0,0,5.8967609333053,8.37816098272068,-1.0
8001,2007,2007.0,1,0.0,1,5.8967609333053,8.48735234940522,0.0
8019,2003,2007.0,1,-4.0,0,2.23237719795055,4.99721227376411,-4.0
8019,2004,2007.0,1,-3.0,0,2.23237719795055,5.08140436498446,-3.0
8019,2005,2007.0,1,-2.0,0,2.23237719795055,4.78749174278205,-2.0
8019,2006,2007.0,1,-1.0,0,2.23237719795055,4.99043258677874,-1.0
8019,2007,2007.0,1,0.0,1,2.23237719795055,5.03695260241363,0.0
8023,2003,2007.0,1,-4.0,0,1.29828248379668,2.19722457733622,-4.0
8023,2004,2007.0,1,-3.0,0,1.29828248379668,2.30258509299405,-3.0
8023,2005,2007.0,1,-2.0,0,1.29828248379668,2.77258872223978,-2.0
8023,2006,2007.0,1,-1.0,0,1.29828248379668,1.94591014905531,-1.0
8023,2007,2007.0,1,0.0,1,1.29828248379668,2.99573227355399,0.0
8029,2003,2007.0,1,-4.0,0,3.32625829499766,5.88332238848828,-4.0
8029,2004,2007.0,1,-3.0,0,3.32625829499766,5.78996017089725,-3.0
8029,2005,2007.0,1,-2.0,0,3.32625829499766,5.85793315448346,-2.0
8029,2006,2007.0,1,-1.0,0,3.32625829499766,5.99893656194668,-1.0
8029,2007,2007.0,1,0.0,1,3.32625829499766,6.10479323241498,0.0
8041,2003,2007.0,1,-4.0,0,6.24790553432335,8.96865090337487,-4.0
8041,2004,2007.0,1,-3.0,0,6.24790553432335,8.9157008189569,-3.0
8041,2005,2007.0,1,-2.0,0,6.24790553432335,8.90095787254506,-2.0
8041,2006,2007.0,1,-1.0,0,6.24790553432335,8.90272766403552,-1.0
8041,2007,2007.0,1,0.0,1,6.24790553432335,8.88100262425557,0.0
8063,2003,2007.0,1,-4.0,0,2.08081559723298,4.9416424226093,-4.0
8063,2004,2007.0,1,-3.0,0,2.08081559723298,4.86753445045558,-3.0
8063,2005,2007.0,1,-2.0,0,2.08081559723298,4.66343909411207,-2.0
8063,2006,2007.0,1,-1.0,0,2.08081559723298,4.81218435537242,-1.0
8063,2007,2007.0,1,0.0,1,2.08081559723298,4.91998092582813,0.0
8075,2003,2007.0,1,-4.0,0,3.02061998906177,5.6970934865054,-4.0
8075,2004,2007.0,1,-3.0,0,3.02061998906177,5.63121178182137,-3.0
8075,2005,2007.0,1,-2.0,0,3.02061998906177,5.72031177660741,-2.0
8075,2006,2007.0,1,-1.0,0,3.02061998906177,5.79605775076537,-1.0
8075,2007,2007.0,1,0.0,1,3.02061998906177,5.56068163101553,0.0
8103,2003,2007.0,1,-4.0,0,1.78942340943051,4.45434729625351,-4.0
8103,2004,2007.0,1,-3.0,0,1.78942340943051,4.58496747867057,-3.0
8103,2005,2007.0,1,-2.0,0,1.78942340943051,4.75359019110636,-2.0
8103,2006,2007.0,1,-1.0,0,1.78942340943051,4.90527477843843,-1.0
8103,2007,2007.0,1,0.0,1,1.78942340943051,4.71849887129509,0.0
8117,2003,2007.0,1,-4.0,0,3.15904089116601,6.37842618365159,-4.0
8117,2004,2007.0,1,-3.0,0,3.15904089116601,6.27476202124194,-3.0
8117,2005,2007.0,1,-2.0,0,3.15904089116601,6.2841341610708,-2.0
8117,2006,2007.0,1,-1.0,0,3.15904089116601,6.3818160174061,-1.0
8117,2007,2007.0,1,0.0,1,3.15904089116601,6.43133108193348,0.0
8123,2003,2007.0,1,-4.0,0,5.19814337757751,7.7553388128465,-4.0
8123,2004,2007.0,1,-3.0,0,5.19814337757751,7.68799716639302,-3.0
8123,2005,2007.0,1,-2.0,0,5.19814337757751,7.75405263903576,-2.0
8123,2006,2007.0,1,-1.0,0,5.19814337757751,7.78945456608667,-1.0
8123,2007,2007.0,1,0.0,1,5.19814337757751,7.80302664363222,0.0
12007,2003,2006.0,1,-3.0,0,3.26147543848702,5.50125821054473,-3.0
12007,2004,2006.0,1,-2.0,0,3.26147543848702,5.59471137960184,-2.0
12007,2005,2006.0,1,-1.0,0,3.26147543848702,5.24702407216049,-1.0
12007,2006,2006.0,1,0.0,1,3.26147543848702,5.43372200355424,0.0
12007,2007,2006.0,1,1.0,1,3.26147543848702,5.44241771052179,1.0
12019,2003,2006.0,1,-3.0,0,4.94743987059911,7.77275271646874,-3.0
12019,2004,2006.0,1,-2.0,0,4.94743987059911,7.81116338502528,-2.0
12019,2005,2006.0,1,-1.0,0,4.94743987059911,7.80139132029149,-1.0
12019,2006,2006.0,1,0.0,1,4.94743987059911,7.86326672400957,0.0
12019,2007,2006.0,1,1.0,1,4.94743987059911,7.87016594646984,1.0
12023,2003,2006.0,1,-3.0,0,4.03447070018167,6.99117688712121,-3.0
12023,2004,2006.0,1,-2.0,0,4.03447070018167,6.53813982376767,-2.0
12023,2005,2006.0,1,-1.0,0,4.03447070018167,6.59030104819669,-1.0
12023,2006,2006.0,1,0.0,1,4.03447070018167,6.5510803350434,0.0
12023,2007,2006.0,1,1.0,1,4.03447070018167,6.71780469502369,1.0
12029,2003,2006.0,1,-3.0,0,2.62662320240648,3.85014760171006,-3.0
12029,2004,2006.0,1,-2.0,0,2.62662320240648,4.07753744390572,-2.0
12029,2005,2006.0,1,-1.0,0,2.62662320240648,4.35670882668959,-1.0
12029,2006,2006.0,1,0.0,1,2.62662320240648,4.31748811353631,0.0
12029,2007,2006.0,1,1.0,1,2.62662320240648,4.33073334028633,1.0
12051,2003,2006.0,1,-3.0,0,3.58933532377755,6.42648845745769,-3.0
12051,2004,2006.0,1,-2.0,0,3.58933532377755,6.42324696353352,-2.0
12051,2005,2006.0,1,-1.0,0,3.58933532377755,6.37331978957701,-1.0
12051,2006,2006.0,1,0.0,1,3.58933532377755,6.4118182677099,0.0
12051,2007,2006.0,1,1.0,1,3.58933532377755,6.37331978957701,1.0
12071,2003,2006.0,1,-3.0,0,6.08879087493748,8.75872660784204,-3.0
12071,2004,2006.0,1,-2.0,0,6.08879087493748,8.79845469606509,-2.0
12071,2005,2006.0,1,-1.0,0,6.08879087493748,8.99118884193151,-1.0
12071,2006,2006.0,1,0.0,1,6.08879087493748,9.1516513756275,0.0
12071,2007,2006.0,1,1.0,1,6.08879087493748,9.06843112579349,1.0
12087,2003,2006.0,1,-3.0,0,4.37687589234631,6.72383244082121,-3.0
12087,2004,2006.0,1,-2.0,0,4.37687589234631,6.79234442747081,-2.0
12087,2005,2006.0,1,-1.0,0,4.37687589234631,6.75809450442773,-1.0
12087,2006,2006.0,1,0.0,1,4.37687589234631,6.74641212857337,0.0
12087,2007,2006.0,1,1.0,1,4.37687589234631,6.74758652682932,1.0
12093,2003,2006.0,1,-3.0,0,3.58101580823799,5.72358510195238,-3.0
12093,2004,2006.0,1,-2.0,0,3.58101580823799,6.01126717440416,-2.0
12093,2005,2006.0,1,-1.0,0,3.58101580823799,6.10255859461357,-1.0
12093,2006,2006.0,1,0.0,1,3.58101580823799,6.0913098820777,0.0
12093,2007,2006.0,1,1.0,1,3.58101580823799,6.14418563412565,1.0
12097,2003,2006.0,1,-3.0,0,5.15035665593789,7.59085212368858,-3.0
12097,2004,2006.0,1,-2.0,0,5.15035665593789,7.59387784460512,-2.0
12097,2005,2006.0,1,-1.0,0,5.15035665593789,7.76556908109732,-1.0
12097,2006,2006.0,1,0.0,1,5.15035665593789,7.87321705486274,0.0
12097,2007,2006.0,1,1.0,1,5.15035665593789,7.84737183615979,1.0
12099,2003,2006.0,1,-3.0,0,7.03102015077071,9.76864100976636,-3.0
12099,2004,2006.0,1,-2.0,0,7.03102015077071,9.62918227712599,-2.0
12099,2005,2006.0,1,-1.0,0,7.03102015077071,9.72202562615406,-1.0
12099,2006,2006.0,1,0.0,1,7.03102015077071,9.81623978397185,0.0
12099,2007,2006.0,1,1.0,1,7.03102015077071,9.89363921648131,1.0
12109,2003,2006.0,1,-3.0,0,4.81328131446834,7.55066124310534,-3.0
12109,2004,2006.0,1,-2.0,0,4.81328131446834,7.62705741701893,-2.0
12109,2005,2006.0,1,-1.0,0,4.81328131446834,7.71199650704767,-1.0
12109,2006,2006.0,1,0.0,1,4.81328131446834,7.86288203464149,0.0
12109,2007,2006.0,1,1.0,1,4.81328131446834,7.8811822022271,1.0
12113,2003,2006.0,1,-3.0,0,4.76850428314641,7.09090982207998,-3.0
12113,2004,2006.0,1,-2.0,0,4.76850428314641,7.16394668434255,-2.0
12113,2005,2006.0,1,-1.0,0,4.76850428314641,7.36073990305828,-1.0
12113,2006,2006.0,1,0.0,1,4.76850428314641,7.40306109109009,0.0
12113,2007,2006.0,1,1.0,1,4.76850428314641,7.33367639565768,1.0
12121,2003,2006.0,1,-3.0,0,3.55088095595665,5.67332326717149,-3.0
12121,2004,2006.0,1,-2.0,0,3.55088095595665,5.6970934865054,-2.0
12121,2005,2006.0,1,-1.0,0,3.55088095595665,5.70044357339069,-1.0
12121,2006,2006.0,1,0.0,1,3.55088095595665,5.77765232322266,0.0
12121,2007,2006.0,1,1.0,1,3.55088095595665,5.78382518232974,1.0
13011,2003,inf,0,,0,2.66875481849457,5.27299955856375,0.0
