"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B1_selection_obs",2,200,0,"GATT","g=4_t=4",4,4,0,"wang",3.74912901481851,0.144063683813673,3.46676938083633,3.51216528824286,3.98609274139417,4.0314886488007,1.32130568699118e-149,,,,,,,,,3.92467721317329
"canonical","B1_selection_obs",2,200,0,"GATT","g=4_t=5",4,5,1,"wang",3.53375988129234,0.158729253685527,3.22265625832184,3.27267343345068,3.79484632913399,3.84486350426284,4.23781821074643e-110,,,,,,,,,3.92467721317329
"canonical","B1_selection_obs",2,200,0,"GATT","g=4_t=6",4,6,2,"wang",3.76927443485304,0.184637743326151,3.40739110489254,3.46557230419204,4.07297656551403,4.13115776481353,6.22364194294396e-93,,,,,,,,,3.92467721317329
"canonical","B1_selection_obs",2,200,0,"GATT","g=4_t=7",4,7,3,"wang",3.6901390644317,0.214746743981751,3.26924317711025,3.33691202360634,4.04336610525706,4.11103495175315,1.75936193229242e-66,,,,,,,,,3.92467721317329
"canonical","B1_selection_obs",2,200,0,"CATT","surface",,,,"wang",,,,,,,,0.694137033317076,0.583848295907316,388,0.15490929313001,0.623711340206186,1.41534066097052,0.548969072164949,1.18779158574341,
"canonical","B1_selection_obs",2,200,1,"GATT","g=4_t=4",4,4,0,"wang",3.83946124139496,0.151802861789514,3.54193309719053,3.58976769696903,4.08915478582089,4.13698938559938,1.93542269704936e-141,,,,,,,,,3.85881614717537
"canonical","B1_selection_obs",2,200,1,"GATT","g=4_t=5",4,5,1,"wang",3.74885332244971,0.152472044130371,3.45001360494777,3.49805907077369,3.99964757412573,4.04769303995165,8.66741976966721e-134,,,,,,,,,3.85881614717537
"canonical","B1_selection_obs",2,200,1,"GATT","g=4_t=6",4,6,2,"wang",3.99282954929397,0.16028523280055,3.67867626327327,3.72918374298106,4.25647535560689,4.30698283531467,2.84320029804818e-137,,,,,,,,,3.85881614717537
"canonical","B1_selection_obs",2,200,1,"GATT","g=4_t=7",4,7,3,"wang",3.91362098903084,0.17497244587864,3.57068129411676,3.62581686153758,4.20142511652411,4.25656068394493,4.11859550356391e-111,,,,,,,,,3.85881614717537
"canonical","B1_selection_obs",2,200,1,"CATT","surface",,,,"wang",,,,,,,,0.630492163697459,0.527172519823564,432,0.150619318522701,0.608796296296296,1.3128559039952,0.532407407407407,1.10178364761297,
"canonical","B1_selection_obs",2,200,2,"GATT","g=4_t=4",4,4,0,"wang",3.64827331409982,0.148479759929206,3.35725832990993,3.40404578706122,3.89250084113841,3.9392882982897,1.29489844142143e-133,,,,,,,,,3.95184063289516
"canonical","B1_selection_obs",2,200,2,"GATT","g=4_t=5",4,5,1,"wang",4.02482029100865,0.148264589908496,3.73422703231323,3.7809466872393,4.268693894778,4.31541354970406,1.40376099294325e-162,,,,,,,,,3.95184063289516
"canonical","B1_selection_obs",2,200,2,"GATT","g=4_t=6",4,6,2,"wang",3.71461230485727,0.153873500495395,3.41302578333231,3.46151286207341,3.96771174764112,4.01619882638222,4.67627044741834e-129,,,,,,,,,3.95184063289516
"canonical","B1_selection_obs",2,200,2,"GATT","g=4_t=7",4,7,3,"wang",3.70887502117425,0.160648618549257,3.39400951216797,3.44463149835903,3.97311854398947,4.02374053018053,3.13618755198441e-118,,,,,,,,,3.95184063289516
"canonical","B1_selection_obs",2,200,2,"CATT","surface",,,,"wang",,,,,,,,0.717101578067812,0.645508354845684,428,0.172520943062223,0.518691588785047,1.36092705695304,0.427570093457944,1.14212623973574,
"canonical","B1_selection_obs",2,200,3,"GATT","g=4_t=4",4,4,0,"wang",4.03292126213545,0.142405702574074,3.75381121169555,3.79868467263367,4.26715785163722,4.31203131257534,9.81833290145671e-177,,,,,,,,,4.02284451936279
"canonical","B1_selection_obs",2,200,3,"GATT","g=4_t=5",4,5,1,"wang",4.41377323714821,0.156836394559208,4.10637954992237,4.15580026621192,4.6717462080845,4.72116692437405,1.47886671090654e-174,,,,,,,,,4.02284451936279
"canonical","B1_selection_obs",2,200,3,"GATT","g=4_t=6",4,6,2,"wang",4.11076417665961,0.168328197548257,3.78084696928014,3.83388886760957,4.38763948570966,4.44068138403909,5.10116956957914e-132,,,,,,,,,4.02284451936279
"canonical","B1_selection_obs",2,200,3,"GATT","g=4_t=7",4,7,3,"wang",4.31660263674009,0.158043570182289,4.00684292875133,4.05664403815147,4.57656123532871,4.62636234472885,1.49705062298344e-164,,,,,,,,,4.02284451936279
"canonical","B1_selection_obs",2,200,3,"CATT","surface",,,,"wang",,,,,,,,0.679161500022808,0.563287807894974,432,0.168008118686446,0.710648148148148,1.55440844084872,0.625,1.30450097122385,
"canonical","B1_selection_obs",2,200,4,"GATT","g=4_t=4",4,4,0,"wang",4.40474560623187,0.157093230910616,4.09684852900338,4.14635017699563,4.66314103546812,4.71264268346037,2.71593915264856e-173,,,,,,,,,4.02601229648686
"canonical","B1_selection_obs",2,200,4,"GATT","g=4_t=5",4,5,1,"wang",4.30711461960344,0.176931073762719,3.96033608454716,4.01608883520053,4.59814040400634,4.65389315465971,3.39984033888112e-131,,,,,,,,,4.02601229648686
"canonical","B1_selection_obs",2,200,4,"GATT","g=4_t=6",4,6,2,"wang",4.27039347101552,0.165943099011508,3.94515097090453,3.99744130083405,4.543345641197,4.59563597112651,2.42941953815717e-146,,,,,,,,,4.02601229648686
"canonical","B1_selection_obs",2,200,4,"GATT","g=4_t=7",4,7,3,"wang",4.40365976351158,0.169418907150305,4.07160480457764,4.12499039640977,4.68232913061339,4.73571472244552,2.992068367934e-149,,,,,,,,,4.02601229648686
"canonical","B1_selection_obs",2,200,4,"CATT","surface",,,,"wang",,,,,,,,0.697147927570934,0.522633284986657,428,0.165985188592588,0.64018691588785,1.37992369961391,0.588785046728972,1.15806872830559,
"canonical","B1_selection_obs",2,200,5,"GATT","g=4_t=4",4,4,0,"wang",4.0219719187361,0.170994002047092,3.68682983050788,3.74071175049294,4.30323208697927,4.35711400696433,1.23985946550222e-122,,,,,,,,,3.8203647339031
"canonical","B1_selection_obs",2,200,5,"GATT","g=4_t=5",4,5,1,"wang",3.90579716511345,0.159587548613849,3.59301131498206,3.64329894742577,4.16829538280113,4.21858301524484,1.38648343087202e-132,,,,,,,,,3.8203647339031
"canonical","B1_selection_obs",2,200,5,"GATT","g=4_t=6",4,6,2,"wang",3.86996389745414,0.155348579606523,3.56548627397422,3.61443816489403,4.12548963001424,4.17444152093406,2.79331459739434e-137,,,,,,,,,3.8203647339031
"canonical","B1_selection_obs",2,200,5,"GATT","g=4_t=7",4,7,3,"wang",3.93417143816598,0.157457578093678,3.62556025357519,3.67517671100829,4.19316616532368,4.24278262275678,4.38375131898101e-138,,,,,,,,,3.8203647339031
"canonical","B1_selection_obs",2,200,5,"CATT","surface",,,,"wang",,,,,,,,0.784776248983169,0.657483392087099,420,0.193637948185385,0.492857142857143,1.21621452367811,0.428571428571429,1.020679626835,
"canonical","B1_selection_obs",2,200,6,"GATT","g=4_t=4",4,4,0,"wang",3.87954355587208,0.169861901246383,3.54662034445762,3.60014552815936,4.1589415835848,4.21246676728655,9.31371802726896e-116,,,,,,,,,4.06053182702963
"canonical","B1_selection_obs",2,200,6,"GATT","g=4_t=5",4,5,1,"wang",3.93801038399107,0.161760746430135,3.62096514437487,3.67193757318247,4.20408319479966,4.25505562360726,3.30183705486762e-131,,,,,,,,,4.06053182702963
"canonical","B1_selection_obs",2,200,6,"GATT","g=4_t=6",4,6,2,"wang",3.74232137379566,0.162337130126235,3.42414644288492,3.475300495959,4.00934225163232,4.06049630470639,6.89792207081279e-118,,,,,,,,,4.06053182702963
"canonical","B1_selection_obs",2,200,6,"GATT","g=4_t=7",4,7,3,"wang",3.94208156605536,0.183645243075139,3.58214350085684,3.64001195340224,4.24415117870847,4.30201963125388,1.62753353343728e-102,,,,,,,,,4.06053182702963
"canonical","B1_selection_obs",2,200,6,"CATT","surface",,,,"wang",,,,,,,,0.700199550677283,0.603053372809083,368,0.157876741768816,0.58695652173913,1.39915022065964,0.478260869565217,1.17420413693971,
"canonical","B1_selection_obs",2,200,7,"GATT","g=4_t=4",4,4,0,"wang",4.05519746042817,0.155544859086738,3.75033513623309,3.79934887677991,4.31104604407642,4.36005978462325,3.89667596866396e-150,,,,,,,,,3.94905361644096
"canonical","B1_selection_obs",2,200,7,"GATT","g=4_t=5",4,5,1,"wang",4.09449849846407,0.16538692430464,3.77034608075625,3.82246115447388,4.36653584245425,4.41865091617189,1.30034576161277e-135,,,,,,,,,3.94905361644096
"canonical","B1_selection_obs",2,200,7,"GATT","g=4_t=6",4,6,2,"wang",3.75182022156985,0.182695757230827,3.39374311444469,3.4513123745057,4.05232806863401,4.10989732869501,5.14544494109286e-94,,,,,,,,,3.94905361644096
"canonical","B1_selection_obs",2,200,7,"GATT","g=4_t=7",4,7,3,"wang",4.22241565501707,0.181104676540873,3.86745700876531,3.92452490339011,4.52030640664403,4.57737430126882,1.56968539309404e-120,,,,,,,,,3.94905361644096
"canonical","B1_selection_obs",2,200,7,"CATT","surface",,,,"wang",,,,,,,,0.597260860142425,0.484231318941004,436,0.140390614550958,0.690366972477064,1.3890729726694,0.614678899082569,1.16574704197993,
"canonical","B1_selection_obs",2,200,8,"GATT","g=4_t=4",4,4,0,"wang",3.53090939125664,0.162868822176574,3.21169236306815,3.26301395762421,3.79880482488906,3.85012641944512,1.60282276173182e-104,,,,,,,,,3.96727450974177
"canonical","B1_selection_obs",2,200,8,"GATT","g=4_t=5",4,5,1,"wang",3.74643230806291,0.148464576171227,3.45544708349205,3.50222975608936,3.99063486003646,4.03741753263377,8.375276168873e-141,,,,,,,,,3.96727450974177
"canonical","B1_selection_obs",2,200,8,"GATT","g=4_t=6",4,6,2,"wang",3.72312275132443,0.174912422005219,3.38030070104139,3.43541735433946,4.0108281483094,4.06594480160747,7.71143736799036e-101,,,,,,,,,3.96727450974177
"canonical","B1_selection_obs",2,200,8,"GATT","g=4_t=7",4,7,3,"wang",3.72117508538575,0.168141032494276,3.39162471477414,3.44460763552341,3.99774253524809,4.05072545599736,7.90260318595639e-109,,,,,,,,,3.96727450974177
"canonical","B1_selection_obs",2,200,8,"CATT","surface",,,,"wang",,,,,,,,0.777315054865453,0.663562053801893,384,0.16952649282157,0.473958333333333,1.25620152060434,0.393229166666667,1.05423777986337,
"canonical","B1_selection_obs",2,200,9,"GATT","g=4_t=4",4,4,0,"wang",4.06704701008144,0.157473854625374,3.75840392407447,3.80802551040547,4.32606850975741,4.37569009608841,2.21700567492476e-147,,,,,,,,,3.99798895165199
"canonical","B1_selection_obs",2,200,9,"GATT","g=4_t=5",4,5,1,"wang",3.89859079423075,0.156656370161169,3.59154994834419,3.64091393714567,4.15626765131583,4.20563164011732,5.2403313734133e-137,,,,,,,,,3.99798895165199
"canonical","B1_selection_obs",2,200,9,"GATT","g=4_t=6",4,6,2,"wang",3.89848909331431,0.165692445578547,3.5737378649084,3.62594921143465,4.17102897519396,4.22324032172022,1.04297201314752e-122,,,,,,,,,3.99798895165199
"canonical","B1_selection_obs",2,200,9,"GATT","g=4_t=7",4,7,3,"wang",3.64794591186929,0.16871287036534,3.31727475961656,3.37043787219738,3.9254539515412,3.97861706412203,5.55099509232936e-104,,,,,,,,,3.99798895165199
"canonical","B1_selection_obs",2,200,9,"CATT","surface",,,,"wang",,,,,,,,0.755158028736154,0.642673338648223,432,0.171901435426153,0.530092592592593,1.34491433117409,0.446759259259259,1.12868793370135,
