"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep",3,200,0,"GATT","g=4_t=4",4,4,0,"wang",3.72169249898051,0.135828279578515,3.45547396082469,3.49827481000267,3.94511018795835,3.98791103713634,1.37191588825928e-165,,,,,,,,,3.84856251356771
"canonical","B2_sweep",3,200,0,"GATT","g=4_t=5",4,5,1,"wang",3.352117820656,0.142048532995193,3.07370780973261,3.11846872296473,3.58576691834728,3.63052783157939,2.00143947769888e-123,,,,,,,,,3.84856251356771
"canonical","B2_sweep",3,200,0,"GATT","g=4_t=6",4,6,2,"wang",3.69202257889122,0.164767405572594,3.36908439559554,3.42100425276552,3.96304090501693,4.01496076218691,1.6636571478364e-111,,,,,,,,,3.84856251356771
"canonical","B2_sweep",3,200,0,"GATT","g=4_t=7",4,7,3,"wang",3.64583198294516,0.19145918745654,3.27057886806109,3.33090957262052,3.9607543932698,4.02108509782923,3.80223888347291e-81,,,,,,,,,3.84856251356771
"canonical","B2_sweep",3,200,0,"CATT","surface",,,,"wang",,,,,,,,0.789474852945704,0.659403169022674,432,0.176721755142697,0.479166666666667,1.23721115305931,0.412037037037037,1.0383005575379,
"canonical","B2_sweep",3,200,1,"GATT","g=4_t=4",4,4,0,"wang",3.73976189042151,0.169310392159545,3.40791961696292,3.46127101463632,4.01825276620671,4.0716041638801,2.05210855071213e-108,,,,,,,,,3.67731508707969
"canonical","B2_sweep",3,200,1,"GATT","g=4_t=5",4,5,1,"wang",3.80451974472365,0.150759321775766,3.50903690137873,3.55654267126349,4.0524968181838,4.10000258806857,8.12545033520433e-141,,,,,,,,,3.67731508707969
"canonical","B2_sweep",3,200,1,"GATT","g=4_t=6",4,6,2,"wang",3.72347412597572,0.163680793405106,3.40266566341027,3.45424311822016,3.99270513373128,4.04428258854116,7.4436494071483e-115,,,,,,,,,3.67731508707969
"canonical","B2_sweep",3,200,1,"GATT","g=4_t=7",4,7,3,"wang",3.91579211730085,0.178925870286336,3.56510385287096,3.62148518385688,4.21009905074481,4.26648038173073,1.80517609503815e-106,,,,,,,,,3.67731508707969
"canonical","B2_sweep",3,200,1,"CATT","surface",,,,"wang",,,,,,,,0.71159005494288,0.591035622520739,416,0.180413739035483,0.514423076923077,1.1814756657272,0.449519230769231,0.99152585183914,
"canonical","B2_sweep",3,200,2,"GATT","g=4_t=4",4,4,0,"wang",3.89471450527349,0.157447607468497,3.58612286274911,3.6357361783385,4.15369283220848,4.20330614779788,2.16208763772991e-135,,,,,,,,,3.70203253220689
"canonical","B2_sweep",3,200,2,"GATT","g=4_t=5",4,5,1,"wang",3.76018474861651,0.152483426502343,3.46132272207527,3.50937177460042,4.01099772263259,4.05904677515775,1.45063859135751e-134,,,,,,,,,3.70203253220689
"canonical","B2_sweep",3,200,2,"GATT","g=4_t=6",4,6,2,"wang",3.75251489472916,0.157598335259609,3.44362783116039,3.49328864258405,4.01174114687426,4.06140195829792,1.29611791762642e-125,,,,,,,,,3.70203253220689
"canonical","B2_sweep",3,200,2,"GATT","g=4_t=7",4,7,3,"wang",3.52908728609255,0.166641674422104,3.2024756033255,3.25498606135265,3.80318851083244,3.85569896885959,7.66702776885098e-100,,,,,,,,,3.70203253220689
"canonical","B2_sweep",3,200,2,"CATT","surface",,,,"wang",,,,,,,,0.650140419292633,0.527057196531636,416,0.159674376710249,0.622596153846154,1.31890868892112,0.555288461538462,1.10686330596208,
"canonical","B2_sweep",3,200,3,"GATT","g=4_t=4",4,4,0,"wang",3.70030597882817,0.167900083468472,3.37122785963297,3.42413485493472,3.97647710272162,4.02938409802337,6.12519919241859e-108,,,,,,,,,3.71837665318432
