"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep",3,1600,0,"GATT","g=4_t=4",4,4,0,"wang",3.87401749917577,0.0570574554075312,3.76218694064541,3.78016631541887,3.96786868293267,3.98584805770614,0,,,,,,,,,3.76103960379503
"canonical","B2_sweep",3,1600,0,"GATT","g=4_t=5",4,5,1,"wang",3.82691934984933,0.0581023016456685,3.71304093030668,3.73134954657825,3.92248915312042,3.94079776939198,0,,,,,,,,,3.76103960379503
"canonical","B2_sweep",3,1600,0,"GATT","g=4_t=6",4,6,2,"wang",3.81316319777304,0.0607996073267962,3.69399815619839,3.71315672046313,3.91316967508296,3.9323282393477,0,,,,,,,,,3.76103960379503
"canonical","B2_sweep",3,1600,0,"GATT","g=4_t=7",4,7,3,"wang",3.82510953694878,0.0601251300809045,3.70726644649489,3.72621247623468,3.92400659766287,3.94295262740267,0,,,,,,,,,3.76103960379503
"canonical","B2_sweep",3,1600,0,"CATT","surface",,,,"wang",,,,,,,,0.229118101604352,0.181162144693627,3120,0.0553381438659017,0.907371794871795,0.884875559999309,0.856730769230769,0.7426111420246,
"canonical","B2_sweep",3,1600,1,"GATT","g=4_t=4",4,4,0,"wang",3.69467663800034,0.0571493632568744,3.58266594339394,3.60067427924982,3.78867899675086,3.80668733260674,0,,,,,,,,,3.77975795050018
"canonical","B2_sweep",3,1600,1,"GATT","g=4_t=5",4,5,1,"wang",3.70068952795675,0.0563604714703612,3.59022503285181,3.60798478101684,3.79339427489666,3.81115402306168,0,,,,,,,,,3.77975795050018
"canonical","B2_sweep",3,1600,1,"GATT","g=4_t=6",4,6,2,"wang",3.79106236694642,0.0580980448644496,3.67719229054171,3.69549956545895,3.88662516843389,3.90493244335112,0,,,,,,,,,3.77975795050018
"canonical","B2_sweep",3,1600,1,"GATT","g=4_t=7",4,7,3,"wang",3.79030825459758,0.0606317575489393,3.67147219254493,3.69057786566618,3.89003864352898,3.90914431665023,0,,,,,,,,,3.77975795050018
"canonical","B2_sweep",3,1600,1,"CATT","surface",,,,"wang",,,,,,,,0.26744354738811,0.215718891736003,3224,0.0617943148285503,0.86197270471464,0.876262362292522,0.790632754342432,0.735382717063326,
"canonical","B2_sweep",3,1600,2,"GATT","g=4_t=4",4,4,0,"wang",3.79586839423268,0.0578725269877469,3.68244032474767,3.70067653672678,3.89106025173858,3.90929646371769,0,,,,,,,,,3.7955012176818
"canonical","B2_sweep",3,1600,2,"GATT","g=4_t=5",4,5,1,"wang",3.77450113341482,0.0572523647149819,3.66228855965859,3.68032935230392,3.86867291452572,3.88671370717106,0,,,,,,,,,3.7955012176818
"canonical","B2_sweep",3,1600,2,"GATT","g=4_t=6",4,6,2,"wang",3.89296101620053,0.0587236864470668,3.77786470481699,3.79636912565333,3.98955290674773,4.00805732758407,0,,,,,,,,,3.7955012176818
"canonical","B2_sweep",3,1600,2,"GATT","g=4_t=7",4,7,3,"wang",3.76720998787159,0.060623713717372,3.64838969143924,3.66749282986872,3.86692714587447,3.88603028430395,0,,,,,,,,,3.7955012176818
"canonical","B2_sweep",3,1600,2,"CATT","surface",,,,"wang",,,,,,,,0.265444424304289,0.22066318252639,3048,0.060867732589264,0.870734908136483,0.853467157124118,0.784776902887139,0.716252373647799,
"canonical","B2_sweep",3,1600,3,"GATT","g=4_t=4",4,4,0,"wang",3.85859109315922,0.0585554890010242,3.74382444271482,3.76227586285393,3.95490632346451,3.97335774360363,0,,,,,,,,,3.71610937804714
"canonical","B2_sweep",3,1600,3,"GATT","g=4_t=5",4,5,1,"wang",3.80204801648185,0.0578152989955822,3.68873211180127,3.70695029066777,3.89714574229593,3.91536392116243,0,,,,,,,,,3.71610937804714
