"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep_serial",3,800,0,"GATT","g=4_t=4",4,4,0,"wang",3.78039001424693,0.0572149728957789,3.66825072711023,3.68627973721941,3.87450029127444,3.89252930138363,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep_serial",3,800,0,"GATT","g=4_t=5",4,5,1,"wang",3.66889060775455,0.0631751071505824,3.54506967204326,3.56497678005748,3.77280443545161,3.79271154346583,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep_serial",3,800,0,"GATT","g=4_t=6",4,6,2,"wang",3.62255547908616,0.0702722610691706,3.48482437719198,3.50696786937749,3.73814308879483,3.76028658098033,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep_serial",3,800,0,"GATT","g=4_t=7",4,7,3,"wang",3.69395665520752,0.0720916678278268,3.55265958156503,3.57537638701425,3.8125369234008,3.83525372885002,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep_serial",3,800,0,"CATT","surface",,,,"wang",,,,,,,,0.272279222665636,0.216302584592247,1768,0.0570250782399426,0.884049773755656,0.927585904509038,0.81447963800905,0.778454800891909,
"canonical","B2_sweep_serial",3,800,1,"GATT","g=4_t=4",4,4,0,"wang",3.71834741278075,0.0692410687658662,3.58263741067813,3.60445596385694,3.83223886170456,3.85405741488337,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep_serial",3,800,1,"GATT","g=4_t=5",4,5,1,"wang",3.66604010239627,0.0796746762208013,3.50988060529184,3.53498689251578,3.79709331227676,3.8221995995007,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep_serial",3,800,1,"GATT","g=4_t=6",4,6,2,"wang",3.79222997679872,0.0782479466634476,3.63886681826445,3.66352352873757,3.92093642485988,3.945593135333,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep_serial",3,800,1,"GATT","g=4_t=7",4,7,3,"wang",3.71170983352926,0.0812663046200802,3.55243080206087,3.5780386273097,3.84538103974882,3.87098886499765,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep_serial",3,800,1,"CATT","surface",,,,"wang",,,,,,,,0.274052021985464,0.223983528282549,1504,0.0667412297304674,0.852393617021277,0.868468042653215,0.773271276595745,0.728841516390256,
"canonical","B2_sweep_serial",3,800,2,"GATT","g=4_t=4",4,4,0,"wang",3.87465601716083,0.0680404295454157,3.74129922470728,3.76273944446133,3.98657258986032,4.00801280961438,0,,,,,,,,,3.73409914283539
"canonical","B2_sweep_serial",3,800,2,"GATT","g=4_t=5",4,5,1,"wang",3.93834625621501,0.075644841460175,3.79008509016736,3.81392153615987,4.06277097627014,4.08660742226266,0,,,,,,,,,3.73409914283539
"canonical","B2_sweep_serial",3,800,2,"GATT","g=4_t=6",4,6,2,"wang",4.0262039879589,0.081894415263494,3.8656938822414,3.89149963143508,4.16090834448272,4.18671409367639,0,,,,,,,,,3.73409914283539
"canonical","B2_sweep_serial",3,800,2,"GATT","g=4_t=7",4,7,3,"wang",3.83852633284371,0.0857562777998135,3.67044711558208,3.69746977627958,3.97958288940785,4.00660555010535,0,,,,,,,,,3.73409914283539
"canonical","B2_sweep_serial",3,800,2,"CATT","surface",,,,"wang",,,,,,,,0.336429575779816,0.281896968606557,1604,0.0824247615379528,0.783042394014963,0.865571305120793,0.687655860349127,0.726410497087272,
"canonical","B2_sweep_serial",3,800,3,"GATT","g=4_t=4",4,4,0,"wang",3.80837818461112,0.0648707883731508,3.68123377474813,3.70167520887239,3.91508116034985,3.93552259447411,0,,,,,,,,,3.76964927600855
"canonical","B2_sweep_serial",3,800,3,"GATT","g=4_t=5",4,5,1,"wang",3.72303414104611,0.072919180148633,3.58011517304528,3.60309273590191,3.84297554619031,3.86595310904695,0,,,,,,,,,3.76964927600855
"canonical","B2_sweep_serial",3,800,3,"GATT","g=4_t=6",4,6,2,"wang",3.63055730602245,0.0764849319005021,3.48064959295501,3.50475075984618,3.75636385219871,3.78046501908988,0,,,,,,,,,3.76964927600855
"canonical","B2_sweep_serial",3,800,3,"GATT","g=4_t=7",4,7,3,"wang",3.5695294868918,0.0777388460683314,3.41716414719632,3.44166043498092,3.69739853880267,3.72189482658727,0,,,,,,,,,3.76964927600855
"canonical","B2_sweep_serial",3,800,3,"CATT","surface",,,,"wang",,,,,,,,0.239118140912857,0.183848441761523,1640,0.0478543975213338,0.925609756097561,0.931507531625861,0.880487804878049,0.781745934836009,
"canonical","B2_sweep_serial",3,800,4,"GATT","g=4_t=4",4,4,0,"wang",3.81904497826041,0.0639416053982457,3.69372173357764,3.71387037285468,3.92421958366613,3.94436822294318,0,,,,,,,,,3.79652194840953
"canonical","B2_sweep_serial",3,800,4,"GATT","g=4_t=5",4,5,1,"wang",3.72986464833785,0.0759882728216625,3.58093036918522,3.60487503383405,3.85485426284166,3.87879892749049,0,,,,,,,,,3.79652194840953
"canonical","B2_sweep_serial",3,800,4,"GATT","g=4_t=6",4,6,2,"wang",3.68432945992564,0.0791211335578337,3.52925488651309,3.5541867469085,3.81447217294277,3.83940403333818,0,,,,,,,,,3.79652194840953
"canonical","B2_sweep_serial",3,800,4,"GATT","g=4_t=7",4,7,3,"wang",3.67883062952672,0.0808126316566529,3.52044078073442,3.54590564909575,3.81175560995769,3.83722047831902,0,,,,,,,,,3.79652194840953
"canonical","B2_sweep_serial",3,800,4,"CATT","surface",,,,"wang",,,,,,,,0.184675998202379,0.15274133479446,1604,0.0420305993264072,0.969451371571072,0.96922917697189,0.93640897755611,0.813402944471899,
"canonical","B2_sweep_serial",3,800,5,"GATT","g=4_t=4",4,4,0,"wang",3.64827326378484,0.0643570328036637,3.52213579634285,3.54241534094961,3.75413118662008,3.77441073122684,0,,,,,,,,,3.66897156569833
"canonical","B2_sweep_serial",3,800,5,"GATT","g=4_t=5",4,5,1,"wang",3.67549210950257,0.0705461049911647,3.53722428337967,3.55945406652343,3.79153015248171,3.81375993562547,0,,,,,,,,,3.66897156569833
"canonical","B2_sweep_serial",3,800,5,"GATT","g=4_t=6",4,6,2,"wang",3.71148923101147,0.0777645478264953,3.55907351679526,3.58357790346087,3.83940055856207,3.86390494522768,0,,,,,,,,,3.66897156569833
"canonical","B2_sweep_serial",3,800,5,"GATT","g=4_t=7",4,7,3,"wang",3.69566241236418,0.0787736518650005,3.54126889056024,3.56609125599942,3.82523356872893,3.85005593416811,0,,,,,,,,,3.66897156569833
"canonical","B2_sweep_serial",3,800,5,"CATT","surface",,,,"wang",,,,,,,,0.249464759973373,0.195294559637289,1532,0.0547014087158015,0.879895561357702,0.875870363918192,0.830939947780679,0.7350537415852,
"canonical","B2_sweep_serial",3,800,6,"GATT","g=4_t=4",4,4,0,"wang",3.8226692428027,0.0599548105980699,3.70515997240366,3.72405233277122,3.92128615283417,3.94017851320173,0,,,,,,,,,3.82449674041164
"canonical","B2_sweep_serial",3,800,6,"GATT","g=4_t=5",4,5,1,"wang",3.81849970372472,0.0706629969907502,3.68000277349074,3.7022693904725,3.93473001697694,3.9569966339587,0,,,,,,,,,3.82449674041164
"canonical","B2_sweep_serial",3,800,6,"GATT","g=4_t=6",4,6,2,"wang",3.7025568497805,0.0770042190322473,3.55163135262918,3.57589615208844,3.82921754747257,3.85348234693182,0,,,,,,,,,3.82449674041164
"canonical","B2_sweep_serial",3,800,6,"GATT","g=4_t=7",4,7,3,"wang",3.85247690541937,0.0794352764175621,3.6967866233109,3.72181747326284,3.9831363375759,4.00816718752784,0,,,,,,,,,3.82449674041164
"canonical","B2_sweep_serial",3,800,6,"CATT","surface",,,,"wang",,,,,,,,0.250934989461429,0.201580720601931,1688,0.0561738094516064,0.90936018957346,0.886499351499009,0.845971563981043,0.743973871107097,
"canonical","B2_sweep_serial",3,800,7,"GATT","g=4_t=4",4,4,0,"wang",3.84567244113632,0.061579983414993,3.72497789052234,3.74438235909624,3.94696252317641,3.96636699175031,0,,,,,,,,,3.77413316119835
"canonical","B2_sweep_serial",3,800,7,"GATT","g=4_t=5",4,5,1,"wang",3.80014198651311,0.0714919216487161,3.6600203937908,3.68254821322153,3.91773575980469,3.94026357923541,0,,,,,,,,,3.77413316119835
"canonical","B2_sweep_serial",3,800,7,"GATT","g=4_t=6",4,6,2,"wang",3.68719227353427,0.0743448662022907,3.54147901219296,3.56490582298197,3.80947872408657,3.83290553487558,0,,,,,,,,,3.77413316119835
"canonical","B2_sweep_serial",3,800,7,"GATT","g=4_t=7",4,7,3,"wang",3.76440312209632,0.0787348503411819,3.61008564988222,3.63489578857323,3.89391045561942,3.91872059431043,0,,,,,,,,,3.77413316119835
"canonical","B2_sweep_serial",3,800,7,"CATT","surface",,,,"wang",,,,,,,,0.296276104544923,0.248727236099076,1556,0.0736849573833576,0.823264781491003,0.899722913879687,0.744858611825193,0.755071436917545,
"canonical","B2_sweep_serial",3,800,8,"GATT","g=4_t=4",4,4,0,"wang",3.73781227410745,0.0587367681155122,3.6226903231247,3.64119886612558,3.83442568208933,3.85293422509021,0,,,,,,,,,3.69158681947906
"canonical","B2_sweep_serial",3,800,8,"GATT","g=4_t=5",4,5,1,"wang",3.67440475612216,0.0639273927820406,3.5491093676555,3.56925352839505,3.77955598384927,3.79970014458882,0,,,,,,,,,3.69158681947906
"canonical","B2_sweep_serial",3,800,8,"GATT","g=4_t=6",4,6,2,"wang",3.53085057742048,0.0731851005092509,3.38741041508596,3.41047177210743,3.65122938273352,3.67429073975499,0,,,,,,,,,3.69158681947906
"canonical","B2_sweep_serial",3,800,8,"GATT","g=4_t=7",4,7,3,"wang",3.50598415131764,0.0768689524409463,3.35532377181567,3.37954594741934,3.63242235521594,3.65664453081961,0,,,,,,,,,3.69158681947906
"canonical","B2_sweep_serial",3,800,8,"CATT","surface",,,,"wang",,,,,,,,0.427594347694758,0.343460225590286,1596,0.0989735742590935,0.647243107769424,0.875951964410862,0.580827067669173,0.735122222892392,
"canonical","B2_sweep_serial",3,800,9,"GATT","g=4_t=4",4,4,0,"wang",3.73915970989395,0.0626613118424501,3.61634579448997,3.63609100046464,3.84222841932325,3.86197362529792,0,,,,,,,,,3.68768862297796
"canonical","B2_sweep_serial",3,800,9,"GATT","g=4_t=5",4,5,1,"wang",3.80335125049772,0.067213619148456,3.67161497665704,3.69279466018691,3.91390784080853,3.9350875243384,0,,,,,,,,,3.68768862297796
"canonical","B2_sweep_serial",3,800,9,"GATT","g=4_t=6",4,6,2,"wang",3.78530365463526,0.0714801495123765,3.64520513487638,3.66772924478923,3.90287806448129,3.92540217439413,0,,,,,,,,,3.68768862297796
"canonical","B2_sweep_serial",3,800,9,"GATT","g=4_t=7",4,7,3,"wang",3.77838734304507,0.0724927739790328,3.63630411578603,3.65914731379456,3.89762737229558,3.92047057030411,0,,,,,,,,,3.68768862297796
"canonical","B2_sweep_serial",3,800,9,"CATT","surface",,,,"wang",,,,,,,,0.32301156902791,0.258430982462619,1620,0.0828722650251686,0.799382716049383,0.906269013329685,0.727160493827161,0.760565097956587,
"canonical","B2_sweep_serial",3,800,10,"GATT","g=4_t=4",4,4,0,"wang",3.79331126178733,0.0640145527403288,3.66784504294018,3.68801666865419,3.89860585492047,3.91877748063447,0,,,,,,,,,3.73569228615908
"canonical","B2_sweep_serial",3,800,10,"GATT","g=4_t=5",4,5,1,"wang",3.76589913758826,0.0723113374362586,3.62417151942134,3.64695754496088,3.88484073021564,3.90762675575518,0,,,,,,,,,3.73569228615908
"canonical","B2_sweep_serial",3,800,10,"GATT","g=4_t=6",4,6,2,"wang",3.81127443327108,0.0770088444344294,3.660339870498,3.68460612746773,3.93794273907443,3.96220899604416,0,,,,,,,,,3.73569228615908
