"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"staggered","D_ramp_nt25",1,200,0,"GATT","g=4_t=4",4,4,0,"wang",2.49950622761765,0.266868974192747,1.97645264548293,2.06054572794081,2.93846672729448,3.02255980975236,3.76514929718562e-21,,,,,,,,,2.72689383012367
"staggered","D_ramp_nt25",1,200,0,"GATT","g=4_t=5",4,5,1,"wang",3.73947050096746,0.321820525712694,3.1087138561095,3.21012272196683,4.26881827996808,4.37022714582541,1.63567126446403e-31,,,,,,,,,3.81765136217314
"staggered","D_ramp_nt25",1,200,0,"GATT","g=4_t=6",4,6,2,"wang",5.11380976887234,0.370939049282398,4.38678258608461,4.50366918990399,5.72395034784069,5.84083695166006,1.54469978860809e-43,,,,,,,,,4.90840889422261
"staggered","D_ramp_nt25",1,200,0,"GATT","g=4_t=7",4,7,3,"wang",5.79228096356412,0.361706382681523,5.08334947493811,5.19732677318488,6.38723515394335,6.50121245219013,5.12101849828737e-58,,,,,,,,,5.99916642627208
"staggered","D_ramp_nt25",1,200,0,"GATT","g=5_t=5",5,5,0,"wang",4.11771407862862,0.261168889945662,3.60583245641516,3.68812938532594,4.5472987719313,4.62959570084208,2.64590099946236e-56,,,,,,,,,4.12289099241741
"staggered","D_ramp_nt25",1,200,0,"GATT","g=5_t=6",5,6,1,"wang",6.23947480853235,0.322320527470234,5.60773817822968,5.70930459964083,6.76964501742387,6.87121143883502,8.72968720961293e-84,,,,,,,,,5.77204738938437
"staggered","D_ramp_nt25",1,200,0,"GATT","g=5_t=7",5,7,2,"wang",7.53045356125735,0.336167202047123,6.87157794726426,6.97750759430133,8.08339952821337,8.18932917525044,1.92780621765265e-111,,,,,,,,,7.42120378635133
"staggered","D_ramp_nt25",1,200,0,"GATT","g=6_t=6",6,6,0,"wang",5.52289565047066,0.354399389007471,4.82828560639402,4.93996039786416,6.10583090307715,6.2175056945473,4.68908488117414e-55,,,,,,,,,5.48424648206987
"staggered","D_ramp_nt25",1,200,0,"GATT","g=6_t=7",6,7,1,"wang",8.15966954593087,0.431670206707503,7.31361148091161,7.44963507974721,8.86970401211453,9.00572761095014,5.43311079931365e-80,,,,,,,,,7.67794507489782
"staggered","D_ramp_nt25",1,200,0,"CATT","surface",,,,"wang",,,,,,,,1.84051369387929,1.42359919473974,449,0.404364102916811,0.398663697104677,1.90811755156786,0.32293986636971,1.60134307934564,
"staggered","D_ramp_nt25",1,200,1,"GATT","g=4_t=4",4,4,0,"wang",2.74012923832181,0.219305339407483,2.31029866807536,2.37940397357605,3.10085450306757,3.16995980856826,3.99560206890265e-36,,,,,,,,,2.69904323837432
"staggered","D_ramp_nt25",1,200,1,"GATT","g=4_t=5",4,5,1,"wang",4.12501735034826,0.223850682670273,3.6862780709391,3.75681565955533,4.49321904114119,4.56375662975742,3.94973452797535e-76,,,,,,,,,3.77866053372405
"staggered","D_ramp_nt25",1,200,1,"GATT","g=4_t=6",4,6,2,"wang",5.23272125736066,0.289877181997348,4.66457241622441,4.7559156150436,5.70952689967773,5.80087009849691,3.83805670537885e-73,,,,,,,,,4.85827782907378
"staggered","D_ramp_nt25",1,200,1,"GATT","g=4_t=7",4,7,3,"wang",5.66524658636041,0.325981018726323,5.02633552497349,5.12905540378434,6.20143776893648,6.30415764774733,5.94338771335146e-68,,,,,,,,,5.93789512442352
"staggered","D_ramp_nt25",1,200,1,"GATT","g=5_t=5",5,5,0,"wang",3.69600575022766,0.275409062265281,3.15621390291395,3.24299805252437,4.14901344793096,4.23579759754137,2.30674189119401e-41,,,,,,,,,3.86071682082505
"staggered","D_ramp_nt25",1,200,1,"GATT","g=5_t=6",5,6,1,"wang",5.46581071273036,0.319302553910606,4.83998920195751,4.94060462972028,5.99101679574044,6.09163222350321,5.4507910631724e-66,,,,,,,,,5.40500354915507
"staggered","D_ramp_nt25",1,200,1,"GATT","g=5_t=7",5,7,2,"wang",6.77013280815969,0.359222089676705,6.06607044438858,6.1792649170666,7.36100069925278,7.4741951719308,1.56526419917912e-79,,,,,,,,,6.9492902774851
"staggered","D_ramp_nt25",1,200,1,"GATT","g=6_t=6",6,6,0,"wang",5.37474379692387,0.365084590630192,4.65919114233396,4.77423294768744,5.9752546461603,6.09029645151378,2.33138411323677e-49,,,,,,,,,5.80101322566043
"staggered","D_ramp_nt25",1,200,1,"GATT","g=6_t=7",6,7,1,"wang",7.39068668429202,0.454054564818515,6.50075608321206,6.64383321713202,8.13754015145201,8.28061728537197,7.17678527014376e-60,,,,,,,,,8.12141851592461
"staggered","D_ramp_nt25",1,200,1,"CATT","surface",,,,"wang",,,,,,,,1.7199191926913,1.38591449014027,441,0.36994546992096,0.328798185941043,1.73609385170345,0.27437641723356,1.45697620790475,
"staggered","D_ramp_nt25",1,200,2,"GATT","g=4_t=4",4,4,0,"wang",2.17745001783213,0.230510393737656,1.7256579444805,1.79829407465117,2.55660596101309,2.62924209118376,1.75657566633042e-21,,,,,,,,,2.47747039154318
"staggered","D_ramp_nt25",1,200,2,"GATT","g=4_t=5",4,5,1,"wang",3.39637437968884,0.245606803806728,2.91499388607259,2.99238704602013,3.80036171335755,3.87775487330509,8.57769996976243e-44,,,,,,,,,3.46845854816046
"staggered","D_ramp_nt25",1,200,2,"GATT","g=4_t=6",4,6,2,"wang",4.64728520814823,0.302585776429675,4.05422797943402,4.14957578344478,5.14499463285169,5.24034243686244,1.55169341949036e-53,,,,,,,,,4.45944670477773
"staggered","D_ramp_nt25",1,200,2,"GATT","g=4_t=7",4,7,3,"wang",6.00157790435334,0.355775877942219,5.3042699915182,5.41637852841657,6.58677728029011,6.69888581718848,3.8046404981433e-64,,,,,,,,,5.450434861395
"staggered","D_ramp_nt25",1,200,2,"GATT","g=5_t=5",5,5,0,"wang",4.28734332093698,0.349987741841522,3.60137994648631,3.71166458381799,4.86302205805598,4.97330669538766,8.40172479358218e-35,,,,,,,,,4.09736040754608
"staggered","D_ramp_nt25",1,200,2,"GATT","g=5_t=6",5,6,1,"wang",6.55427140491358,0.393823707378762,5.78239111610467,5.90648890453679,7.20205390529036,7.32615169372248,1.71058655529201e-62,,,,,,,,,5.73630457056452
"staggered","D_ramp_nt25",1,200,2,"GATT","g=5_t=7",5,7,2,"wang",7.9157304564231,0.506975895942922,6.92207595150723,7.0818291260778,8.7496317867684,8.90938496133898,2.94005147364964e-55,,,,,,,,,7.37524873358295
"staggered","D_ramp_nt25",1,200,2,"GATT","g=6_t=6",6,6,0,"wang",5.72640501889622,0.348850329309511,5.04267093206143,5.15259715933015,6.30021287846229,6.41013910573101,7.45957151182399e-61,,,,,,,,,5.52624677699977
"staggered","D_ramp_nt25",1,200,2,"GATT","g=6_t=7",6,7,1,"wang",8.18593567149204,0.394408256463894,7.41290968752004,7.53719167321437,8.8346796697697,8.95896165546404,5.52635403013152e-96,,,,,,,,,7.73674548779968
"staggered","D_ramp_nt25",1,200,2,"CATT","surface",,,,"wang",,,,,,,,1.87321807685905,1.4897051097292,420,0.440567601130824,0.371428571428571,1.96773254676052,0.338095238095238,1.65137357138663,
"staggered","D_ramp_nt25",1,200,3,"GATT","g=4_t=4",4,4,0,"wang",2.84151091054838,0.214627559133792,2.42084862123828,2.48847991139693,3.19454190969983,3.26217319985848,2.6028238516871e-40,,,,,,,,,2.90913903551701
"staggered","D_ramp_nt25",1,200,3,"GATT","g=4_t=5",4,5,1,"wang",3.78022012974941,0.262636342294932,3.26546235375967,3.34822169158022,4.2122185679186,4.29497790573916,2.84789137871091e-47,,,,,,,,,4.07279464972382
"staggered","D_ramp_nt25",1,200,3,"GATT","g=4_t=6",4,6,2,"wang",4.79238919997128,0.284521142656078,4.23473800312651,4.32439346038886,5.26038493955371,5.35004039681606,5.83512782758404e-64,,,,,,,,,5.23645026393063
"staggered","D_ramp_nt25",1,200,3,"GATT","g=4_t=7",4,7,3,"wang",6.23961716525453,0.327046505701166,5.59861778775445,5.70167341216594,6.77756091834311,6.88061654275461,1.89847061740989e-81,,,,,,,,,6.40010587813743
"staggered","D_ramp_nt25",1,200,3,"GATT","g=5_t=5",5,5,0,"wang",4.00668907668435,0.312414487475503,3.39436792815391,3.49281285730232,4.52056529606638,4.61901022521478,5.94588751448371e-38,,,,,,,,,4.11327442456612
"staggered","D_ramp_nt25",1,200,3,"GATT","g=5_t=6",5,6,1,"wang",5.66319928605634,0.326058733352696,5.02413590679946,5.12688027426622,6.19951829784646,6.30226266531322,7.1272883581392e-68,,,,,,,,,5.75858419439257
"staggered","D_ramp_nt25",1,200,3,"GATT","g=5_t=7",5,7,2,"wang",7.63109209049739,0.376847968114544,6.89248363951974,7.01123220275231,8.25095197824247,8.36970054147505,1.7837996903766e-91,,,,,,,,,7.40389396421902
"staggered","D_ramp_nt25",1,200,3,"GATT","g=6_t=6",6,6,0,"wang",5.68143877312584,0.318277477176654,5.05762637584877,5.15791879168191,6.20495875456976,6.3052511704029,1.43015391847923e-71,,,,,,,,,5.51943461414798
