"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B1_selection_obs",1,200,0,"GATT","g=4_t=4",4,4,0,"doubleml",3.98864767106113,0.302163756311888,3.39641758658506,3.49163240783649,4.48566293428576,4.5808777555372,4.37019282579898e-40,,,,,,,,,3.92467721317329
"canonical","B1_selection_obs",1,200,0,"GATT","g=4_t=5",4,5,1,"doubleml",3.65631572379102,0.326428429688287,3.01652775302545,3.11938861550452,4.19324283207752,4.2961036945566,2.01641926390498e-29,,,,,,,,,3.92467721317329
"canonical","B1_selection_obs",1,200,0,"GATT","g=4_t=6",4,6,2,"doubleml",3.96866237558764,0.282296615633093,3.41537117162494,3.50432565817709,4.4329990929982,4.52195357955034,3.41673397115558e-45,,,,,,,,,3.92467721317329
"canonical","B1_selection_obs",1,200,0,"GATT","g=4_t=7",4,7,3,"doubleml",3.95866448245115,0.428549402721653,3.11872308089521,3.25376328318683,4.66356568171548,4.7986058840071,1.26328649124111e-20,,,,,,,,,3.92467721317329
"canonical","B1_selection_obs",1,200,0,"CATT","surface",,,,"doubleml",,,,,,,,0.797912076367349,0.636862783582432,388,0.180706946611167,0.585051546391753,1.31262533038014,0.52319587628866,1.101590144093,
"canonical","B1_selection_obs",1,200,1,"GATT","g=4_t=4",4,4,0,"doubleml",4.25365759701811,0.855977235176345,2.57597303125294,2.84570001782936,5.66161517620686,5.93134216278328,3.35874162410629e-07,,,,,,,,,3.85881614717537
"canonical","B1_selection_obs",1,200,1,"GATT","g=4_t=5",4,5,1,"doubleml",3.88386521893906,0.248150501059546,3.39749917028039,3.47569387466926,4.29203656320886,4.37023126759773,1.62881990702489e-55,,,,,,,,,3.85881614717537
"canonical","B1_selection_obs",1,200,1,"GATT","g=4_t=6",4,6,2,"doubleml",3.80979764918472,0.283738330624334,3.25368073574093,3.34308952110397,4.27650577726548,4.36591456262852,2.09613729671703e-41,,,,,,,,,3.85881614717537
"canonical","B1_selection_obs",1,200,1,"GATT","g=4_t=7",4,7,3,"doubleml",3.7044853510632,0.314512565638586,3.08805204486394,3.18715809942231,4.22181260270409,4.32091865726247,2.51916868497007e-32,,,,,,,,,3.85881614717537
"canonical","B1_selection_obs",1,200,1,"CATT","surface",,,,"doubleml",,,,,,,,0.870133582411978,0.731263687110543,432,0.212516191593192,0.534722222222222,1.66830041703345,0.460648148148148,1.4000821515901,
