"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B1_serial_corr",1,200,0,"GATT","g=4_t=4",4,4,0,"doubleml",3.8573071726309,0.168226157784818,3.52758995951433,3.58059970409391,4.13401464116789,4.18702438574746,1.18571120983909e-116,,,,,,,,,3.84856251356771
"canonical","B1_serial_corr",1,200,0,"GATT","g=4_t=5",4,5,1,"doubleml",3.41722176954563,0.201073588521222,3.02312477469322,3.08648507317214,3.74795846591911,3.81131876439804,4.48057902012595e-65,,,,,,,,,3.84856251356771
"canonical","B1_serial_corr",1,200,0,"GATT","g=4_t=6",4,6,2,"doubleml",3.73498378450081,0.258505584408704,3.22832214526079,3.30977983996382,4.16018772903781,4.24164542374084,1.28348345660767e-47,,,,,,,,,3.84856251356771
"canonical","B1_serial_corr",1,200,0,"GATT","g=4_t=7",4,7,3,"doubleml",3.76986846414845,0.26952414955928,3.24161083388164,3.32654058864927,4.21319633964763,4.29812609441525,9.34038098272405e-45,,,,,,,,,3.84856251356771
"canonical","B1_serial_corr",1,200,0,"CATT","surface",,,,"doubleml",,,,,,,,0.84285661086969,0.708561092865853,432,0.195435329468023,0.331018518518519,0.879366738737899,0.268518518518519,0.737987992473324,
"canonical","B1_serial_corr",1,200,1,"GATT","g=4_t=4",4,4,0,"doubleml",3.63330642146344,0.189435495444608,3.26201967006985,3.3217126890394,3.94490015388749,4.00459317285704,2.73740393496377e-82,,,,,,,,,3.67731508707969
"canonical","B1_serial_corr",1,200,1,"GATT","g=4_t=5",4,5,1,"doubleml",3.9136362130583,0.261781703394456,3.40055349854648,3.48304353110311,4.34422889501348,4.42671892757011,7.78757221656978e-51,,,,,,,,,3.67731508707969
"canonical","B1_serial_corr",1,200,1,"GATT","g=4_t=6",4,6,2,"doubleml",3.55899482167621,0.257532565232948,3.05424026499198,3.13539135162254,3.98259829172989,4.06374937836045,9.70844281230557e-44,,,,,,,,,3.67731508707969
"canonical","B1_serial_corr",1,200,1,"GATT","g=4_t=7",4,7,3,"doubleml",3.67070200820853,0.319267667665276,3.04494887322063,3.14555330797863,4.19585070843843,4.29645514319643,6.80882628906524e-31,,,,,,,,,3.67731508707969
"canonical","B1_serial_corr",1,200,1,"CATT","surface",,,,"doubleml",,,,,,,,0.861313573529899,0.732233196387822,416,0.217486269204029,0.362980769230769,1.00743857878877,0.319711538461538,0.845469292331403,
