"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep",3,200,0,"GATT","g=4_t=4",4,4,0,"doubleml",4.00003197819835,0.297256972868853,3.41741901262642,3.51108765734713,4.48897629904957,4.58264494377028,1.41020975704095e-41,,,,,,,,,3.81847701080108
"canonical","B2_sweep",3,200,0,"GATT","g=4_t=5",4,5,1,"doubleml",3.46096605354352,0.242562590849737,2.98555210773131,3.06198600573397,3.85994610135308,3.93637999935574,1.72337529907684e-46,,,,,,,,,3.81847701080108
"canonical","B2_sweep",3,200,0,"GATT","g=4_t=6",4,6,2,"doubleml",3.60565810737934,0.424459487885366,2.77373279166558,2.90748422089314,4.30383199386553,4.43758342309309,9.92181858606571e-18,,,,,,,,,3.81847701080108
"canonical","B2_sweep",3,200,0,"GATT","g=4_t=7",4,7,3,"doubleml",3.9110932479786,0.293166013773145,3.33649841495974,3.42887795755979,4.39330853839742,4.48568808099747,6.69329759376509e-41,,,,,,,,,3.81847701080108
"canonical","B2_sweep",3,200,0,"CATT","surface",,,,"doubleml",,,,,,,,1.16248795461155,0.814180061654757,432,0.223839105053757,0.4375,1.23227353005838,0.398148148148148,1.03415677278289,
"canonical","B2_sweep",3,200,1,"GATT","g=4_t=4",4,4,0,"doubleml",3.72263459228844,0.297684909433492,3.13918288645554,3.23298637826713,4.21228280630976,4.30608629812135,3.49244914482549e-36,,,,,,,,,3.6661691865728
"canonical","B2_sweep",3,200,1,"GATT","g=4_t=5",4,5,1,"doubleml",3.85232449504915,0.28914714218926,3.28560650565532,3.37671966163058,4.32792932846772,4.41904248444298,8.49981326505761e-41,,,,,,,,,3.6661691865728
"canonical","B2_sweep",3,200,1,"GATT","g=4_t=6",4,6,2,"doubleml",3.94457946143361,0.408634030670318,3.1436714721449,3.27243614154942,4.61672278131781,4.74548745072233,2.38491328098915e-22,,,,,,,,,3.6661691865728
"canonical","B2_sweep",3,200,1,"GATT","g=4_t=7",4,7,3,"doubleml",4.02955147285018,0.364926833511879,3.3143080165329,3.42930011104083,4.62980283465952,4.74479492916745,1.19712139098654e-28,,,,,,,,,3.6661691865728
"canonical","B2_sweep",3,200,1,"CATT","surface",,,,"doubleml",,,,,,,,1.05277113986716,0.777825424404769,416,0.237780443176683,0.497596153846154,1.33316057041637,0.432692307692308,1.11882386456672,
"canonical","B2_sweep",3,200,2,"GATT","g=4_t=4",4,4,0,"doubleml",3.82083740812074,0.256771936462441,3.31757365644406,3.39848506134274,4.24318975489873,4.32410115979741,2.21333186887057e-50,,,,,,,,,3.73527584690274
"canonical","B2_sweep",3,200,2,"GATT","g=4_t=5",4,5,1,"doubleml",3.72529577534213,0.284606216411895,3.1674778369986,3.25716010185215,4.1934314488321,4.28311371368565,1.895459181554e-39,,,,,,,,,3.73527584690274
"canonical","B2_sweep",3,200,2,"GATT","g=4_t=6",4,6,2,"doubleml",3.52647362678882,0.27225139342212,2.99287069673163,3.07865983331287,3.97428742026477,4.06007655684601,1.12967011797126e-38,,,,,,,,,3.73527584690274
"canonical","B2_sweep",3,200,2,"GATT","g=4_t=7",4,7,3,"doubleml",3.21605501791294,0.357583406949262,2.51520441329504,2.62788252065882,3.80422751516706,3.91690562253084,1.19348482634545e-19,,,,,,,,,3.73527584690274
"canonical","B2_sweep",3,200,2,"CATT","surface",,,,"doubleml",,,,,,,,0.993552824345692,0.822817762514091,416,0.231888971280394,0.372596153846154,1.14776761234765,0.307692307692308,0.963237155499016,
"canonical","B2_sweep",3,200,3,"GATT","g=4_t=4",4,4,0,"doubleml",3.69606374251656,0.279421738024283,3.14840719517153,3.23645577904037,4.15567170599276,4.24372028986159,3.04210104357464e-40,,,,,,,,,3.69503088405006
"canonical","B2_sweep",3,200,3,"GATT","g=4_t=5",4,5,1,"doubleml",3.89311419352444,0.291187356304134,3.32239745791316,3.41415350575816,4.37207488129071,4.46383092913571,4.53975982909685e-41,,,,,,,,,3.69503088405006
"canonical","B2_sweep",3,200,3,"GATT","g=4_t=6",4,6,2,"doubleml",3.77654155091779,0.290148059392986,3.20786179983768,3.299290354833,4.25379274700258,4.3452213019979,4.96746393103551e-39,,,,,,,,,3.69503088405006
"canonical","B2_sweep",3,200,3,"GATT","g=4_t=7",4,7,3,"doubleml",4.01061388637424,0.271427037943282,3.47862666337877,3.56415603730508,4.4570717354434,4.5426011093697,1.04568671583548e-49,,,,,,,,,3.69503088405006
"canonical","B2_sweep",3,200,3,"CATT","surface",,,,"doubleml",,,,,,,,1.00153737027968,0.847892235148663,396,0.258854772074684,0.338383838383838,1.10952012851594,0.310606060606061,0.931138848198212,
"canonical","B2_sweep",3,200,4,"GATT","g=4_t=4",4,4,0,"doubleml",4.03773601415292,0.279157345649864,3.49059766634363,3.57856293753136,4.49690909077448,4.58487436196221,1.02255969867144e-47,,,,,,,,,4.06748935048376
"canonical","B2_sweep",3,200,4,"GATT","g=4_t=5",4,5,1,"doubleml",4.34281991179816,0.344601484559491,3.667413407715,3.77600078151454,4.90963904208178,5.01822641588132,1.02354617683026e-36,,,,,,,,,4.06748935048376
"canonical","B2_sweep",3,200,4,"GATT","g=4_t=6",4,6,2,"doubleml",4.32862921464519,0.338636661152805,3.66491354970549,3.77162134800136,4.88563708128903,4.99234487958489,1.02656577043757e-37,,,,,,,,,4.06748935048376
"canonical","B2_sweep",3,200,4,"GATT","g=4_t=7",4,7,3,"doubleml",4.02446162394778,0.272735172707335,3.48991050390763,3.57585208417943,4.47307116371613,4.55901274398794,1.40886193635149e-49,,,,,,,,,4.06748935048376
"canonical","B2_sweep",3,200,4,"CATT","surface",,,,"doubleml",,,,,,,,1.26417995146631,0.935867054372477,392,0.257712426596137,0.446428571428571,1.21040581843615,0.428571428571429,1.01580480665868,
"canonical","B2_sweep",3,200,5,"GATT","g=4_t=4",4,4,0,"doubleml",3.85773812007386,0.306433026422772,3.25714041987418,3.35370053083026,4.36177570931747,4.45833582027355,1.21100065203893e-36,,,,,,,,,3.56648136595188
"canonical","B2_sweep",3,200,5,"GATT","g=4_t=5",4,5,1,"doubleml",3.8666348404495,0.301875928907104,3.27496888732502,3.37009301128293,4.36317666961606,4.45830079357398,7.32952975571181e-38,,,,,,,,,3.56648136595188
"canonical","B2_sweep",3,200,5,"GATT","g=4_t=6",4,6,2,"doubleml",3.79654537438661,0.273170700377212,3.26114063579249,3.34721945518835,4.24587129358487,4.33195011298073,3.25364578916543e-44,,,,,,,,,3.56648136595188
"canonical","B2_sweep",3,200,5,"GATT","g=4_t=7",4,7,3,"doubleml",3.58195423530434,0.266642017247248,3.05934548061236,3.14336704666714,4.02054142394155,4.10456298999633,1.92211046457822e-41,,,,,,,,,3.56648136595188
"canonical","B2_sweep",3,200,5,"CATT","surface",,,,"doubleml",,,,,,,,0.950158411203003,0.829075122653341,400,0.262898822885495,0.355,1.12513857330514,0.2875,0.944246263122816,
"canonical","B2_sweep",3,200,6,"GATT","g=4_t=4",4,4,0,"doubleml",3.7399510498282,0.263285071577901,3.22392178779809,3.306885546703,4.1730165529534,4.25598031185831,4.26823083078936e-46,,,,,,,,,3.79191256344645
"canonical","B2_sweep",3,200,6,"GATT","g=4_t=5",4,5,1,"doubleml",3.73584008215989,0.258283241279728,3.22961422744831,3.31100185960796,4.16067830471181,4.24206593687147,1.02098299886425e-47,,,,,,,,,3.79191256344645
"canonical","B2_sweep",3,200,6,"GATT","g=4_t=6",4,6,2,"doubleml",3.89984788649957,0.278985182988041,3.3530469713096,3.44095799232096,4.35873778067818,4.44664880168954,1.05159243432478e-44,,,,,,,,,3.79191256344645
"canonical","B2_sweep",3,200,6,"GATT","g=4_t=7",4,7,3,"doubleml",3.87123291775074,0.290571284412677,3.30172366086813,3.39328557829941,4.34918025720207,4.44074217463335,8.52552453776928e-41,,,,,,,,,3.79191256344645
"canonical","B2_sweep",3,200,6,"CATT","surface",,,,"doubleml",,,,,,,,0.930004427078832,0.774133638084457,364,0.227973540542346,0.403846153846154,1.06928264440714,0.348901098901099,0.897370479653531,
"canonical","B2_sweep",3,200,7,"GATT","g=4_t=4",4,4,0,"doubleml",3.4735865457674,0.300925446072464,2.88378350478143,2.97860812209332,3.96856496944148,4.06338958675337,4.00349226472514e-31,,,,,,,,,3.75533313103383
"canonical","B2_sweep",3,200,7,"GATT","g=4_t=5",4,5,1,"doubleml",3.47307490719076,0.381297998583157,2.72574455669572,2.84589536902926,4.10025444535226,4.2204052576858,4.17421076171385e-20,,,,,,,,,3.75533313103383
"canonical","B2_sweep",3,200,7,"GATT","g=4_t=6",4,6,2,"doubleml",3.41298102834852,0.289510668011037,2.84555054143094,2.9367782480279,3.88918380866915,3.98041151526611,2.2294548761379e-32,,,,,,,,,3.75533313103383
"canonical","B2_sweep",3,200,7,"GATT","g=4_t=7",4,7,3,"doubleml",3.86535075248142,0.292268962974704,3.29251410673367,3.38461097965663,4.34609052530621,4.43818739822917,3.1334699878182e-40,,,,,,,,,3.75533313103383
"canonical","B2_sweep",3,200,7,"CATT","surface",,,,"doubleml",,,,,,,,1.17119761717557,0.941483026868881,444,0.256576570971636,0.31981981981982,1.23870026207317,0.231981981981982,1.0395502574905,
"canonical","B2_sweep",3,200,8,"GATT","g=4_t=4",4,4,0,"doubleml",3.63981428128461,0.359214143148068,2.93576749242355,3.04895946107094,4.23066910149828,4.34386107014567,1.97757582185298e-24,,,,,,,,,3.65076828183833
"canonical","B2_sweep",3,200,8,"GATT","g=4_t=5",4,5,1,"doubleml",3.68869391489339,0.31133932799997,3.07848004022925,3.17658617587532,4.20080165391145,4.29890778955752,1.10424141383579e-32,,,,,,,,,3.65076828183833
"canonical","B2_sweep",3,200,8,"GATT","g=4_t=6",4,6,2,"doubleml",3.10183337637485,0.371728959392881,2.37325799820734,2.49039351060163,3.71327324214807,3.83040875454236,3.580589448195e-17,,,,,,,,,3.65076828183833
"canonical","B2_sweep",3,200,8,"GATT","g=4_t=7",4,7,3,"doubleml",3.44834299264778,0.320180967261521,2.82079982333002,2.9216920479238,3.97499393737176,4.07588616196554,2.38549346378588e-27,,,,,,,,,3.65076828183833
"canonical","B2_sweep",3,200,8,"CATT","surface",,,,"doubleml",,,,,,,,1.05782356207294,0.877169488871754,396,0.246716251544108,0.406565656565657,1.33518960550523,0.310606060606061,1.12052668486447,
"canonical","B2_sweep",3,200,9,"GATT","g=4_t=4",4,4,0,"doubleml",3.86618442307228,0.349513410964435,3.18115072006478,3.29128589099378,4.44108295515077,4.55121812607978,9.62939883844589e-29,,,,,,,,,3.86982385969424
"canonical","B2_sweep",3,200,9,"GATT","g=4_t=5",4,5,1,"doubleml",3.62053766329379,0.269208880998612,3.09289794805623,3.1777283585477,4.06334696803988,4.14817737853136,1.56444596886394e-41,,,,,,,,,3.86982385969424
"canonical","B2_sweep",3,200,9,"GATT","g=4_t=6",4,6,2,"doubleml",3.61461047938599,0.252612843387136,3.11949840040957,3.19909923348929,4.03012172528269,4.10972255836241,9.62751671641759e-47,,,,,,,,,3.86982385969424
"canonical","B2_sweep",3,200,9,"GATT","g=4_t=7",4,7,3,"doubleml",3.80840048528356,0.311361897593644,3.19814237502833,3.29625562257906,4.32054534798805,4.41865859553879,1.05597056945175e-34,,,,,,,,,3.86982385969424
"canonical","B2_sweep",3,200,9,"CATT","surface",,,,"doubleml",,,,,,,,1.10198263869532,0.929516290313381,416,0.259600101461001,0.334134615384615,1.15902180373836,0.293269230769231,0.972681972712893,
"canonical","B2_sweep",3,200,10,"GATT","g=4_t=4",4,4,0,"doubleml",3.45753577348501,0.336674153351058,2.79766655318645,2.90375594564891,4.01131560132111,4.11740499378356,4.82622159653617e-25,,,,,,,,,3.55399373440234
"canonical","B2_sweep",3,200,10,"GATT","g=4_t=5",4,5,1,"doubleml",3.65107733016737,0.314904466074211,3.03387591322269,3.13310545952734,4.1690492008074,4.26827874711204,2.20385496638545e-31,,,,,,,,,3.55399373440234
"canonical","B2_sweep",3,200,10,"GATT","g=4_t=6",4,6,2,"doubleml",3.50746503520626,0.305138030527997,2.90940548034048,3.00555752514016,4.00937254527235,4.10552459007203,7.01472784430458e-31,,,,,,,,,3.55399373440234
