"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep_serial",2,800,0,"GATT","g=4_t=4",4,4,0,"doubleml",3.75339343889237,0.0929139032748459,3.57128553337419,3.60056363343512,3.90622324434961,3.93550134441055,0,,,,,,,,,3.77114606281673
"canonical","B2_sweep_serial",2,800,0,"GATT","g=4_t=5",4,5,1,"doubleml",3.56718703569183,0.105849713063327,3.35972540867738,3.39307971176076,3.74129435962289,3.77464866270628,2.84310518933088e-249,,,,,,,,,3.77114606281673
"canonical","B2_sweep_serial",2,800,0,"GATT","g=4_t=6",4,6,2,"doubleml",3.59325277105095,0.125305814555329,3.34765788553183,3.38714300075636,3.79936254134554,3.83884765657007,3.8153947398271e-181,,,,,,,,,3.77114606281673
"canonical","B2_sweep_serial",2,800,0,"GATT","g=4_t=7",4,7,3,"doubleml",3.68074898379091,0.137572067677002,3.41111268373842,3.45446301798412,3.9070349495977,3.9503852838434,5.39116321020682e-158,,,,,,,,,3.77114606281673
"canonical","B2_sweep_serial",2,800,0,"CATT","surface",,,,"doubleml",,,,,,,,1.04417643406121,0.85065775804742,1768,0.257852371611546,0.159502262443439,0.45240035905212,0.132918552036199,0.379666432744844,
"canonical","B2_sweep_serial",2,800,1,"GATT","g=4_t=4",4,4,0,"doubleml",3.64352738621444,0.101547575596592,3.44449779375784,3.47649645030408,3.8105583221248,3.84255697867104,3.13230827505356e-282,,,,,,,,,3.70305930279103
"canonical","B2_sweep_serial",2,800,1,"GATT","g=4_t=5",4,5,1,"doubleml",3.65632254495311,0.120976418317755,3.41921312020136,3.45733399937747,3.85531109052874,3.89343196970485,5.8301158307298e-201,,,,,,,,,3.70305930279103
"canonical","B2_sweep_serial",2,800,1,"GATT","g=4_t=6",4,6,2,"doubleml",3.86113853336668,0.128078722863328,3.61010884738858,3.65046773375004,4.07180933298332,4.11216821934478,5.94199789795028e-200,,,,,,,,,3.70305930279103
"canonical","B2_sweep_serial",2,800,1,"GATT","g=4_t=7",4,7,3,"doubleml",3.70815565035118,0.126270718799877,3.4606695872493,3.50045875345033,3.91585254725204,3.95564171345307,7.31090324679983e-190,,,,,,,,,3.70305930279103
"canonical","B2_sweep_serial",2,800,1,"CATT","surface",,,,"doubleml",,,,,,,,1.11875528716644,0.915352872263591,1504,0.318332262898926,0.144281914893617,0.467327383144161,0.121675531914894,0.39219358900174,
"canonical","B2_sweep_serial",2,800,2,"GATT","g=4_t=4",4,4,0,"doubleml",3.89626370405926,0.10789263460248,3.68479802437325,3.71879607246284,4.07373133565569,4.10772938374528,7.24058000739575e-286,,,,,,,,,3.71505996011203
"canonical","B2_sweep_serial",2,800,2,"GATT","g=4_t=5",4,5,1,"doubleml",3.96308872697053,0.124384577952873,3.71929943202771,3.75849425638644,4.16768319755463,4.20687802191336,4.55001294987934e-223,,,,,,,,,3.71505996011203
"canonical","B2_sweep_serial",2,800,2,"GATT","g=4_t=6",4,6,2,"doubleml",4.02359149649705,0.137778616648997,3.75355036789522,3.79696578778748,4.25021720520662,4.29363262509889,8.80204039668777e-188,,,,,,,,,3.71505996011203
"canonical","B2_sweep_serial",2,800,2,"GATT","g=4_t=7",4,7,3,"doubleml",3.80025036915884,0.138643149268047,3.52851478774685,3.5722026305127,4.02829810780499,4.07198595057084,1.03362545773546e-165,,,,,,,,,3.71505996011203
"canonical","B2_sweep_serial",2,800,2,"CATT","surface",,,,"doubleml",,,,,,,,1.09584113277717,0.905252805652515,1604,0.304770745325121,0.145885286783042,0.498515842321336,0.122817955112219,0.418367774768117,
"canonical","B2_sweep_serial",2,800,3,"GATT","g=4_t=4",4,4,0,"doubleml",3.81534198433634,0.094633718222076,3.62986330343492,3.65968333438388,3.97100063428879,4.00082066523775,0,,,,,,,,,3.79638698769477
"canonical","B2_sweep_serial",2,800,3,"GATT","g=4_t=5",4,5,1,"doubleml",3.70696429790651,0.117886470499934,3.47591105963958,3.51305826535882,3.90087033045421,3.93801753617345,2.44072446270014e-217,,,,,,,,,3.79638698769477
"canonical","B2_sweep_serial",2,800,3,"GATT","g=4_t=6",4,6,2,"doubleml",3.57021873532766,0.129193533573907,3.31700406049001,3.35771423485448,3.78272323580083,3.82343341016531,2.13379343687541e-168,,,,,,,,,3.79638698769477
"canonical","B2_sweep_serial",2,800,3,"GATT","g=4_t=7",4,7,3,"doubleml",3.6012977918523,0.126142245033218,3.35406353270801,3.39381221554043,3.80878336816417,3.84853205099658,1.42476681135472e-179,,,,,,,,,3.79638698769477
"canonical","B2_sweep_serial",2,800,3,"CATT","surface",,,,"doubleml",,,,,,,,1.06602991623459,0.885836879809414,1640,0.262523237274032,0.178048780487805,0.45849042657514,0.150609756097561,0.384777379642598,
"canonical","B2_sweep_serial",2,800,4,"GATT","g=4_t=4",4,4,0,"doubleml",3.8117852727125,0.0887875957572328,3.63776478138177,3.66574264068083,3.95782790474416,3.98580576404323,0,,,,,,,,,3.78023138358545
"canonical","B2_sweep_serial",2,800,4,"GATT","g=4_t=5",4,5,1,"doubleml",3.76776932931928,0.11133871972082,3.54954944686038,3.58463339083161,3.95090526780695,3.98598921177817,2.49479550874171e-251,,,,,,,,,3.78023138358545
"canonical","B2_sweep_serial",2,800,4,"GATT","g=4_t=6",4,6,2,"doubleml",3.67436088887169,0.12181962201067,3.43559881523717,3.47398539632896,3.87473638141443,3.91312296250622,3.69875541879974e-200,,,,,,,,,3.78023138358545
"canonical","B2_sweep_serial",2,800,4,"GATT","g=4_t=7",4,7,3,"doubleml",3.74095202874925,0.126646067537056,3.49273029563505,3.53263773797665,3.94926631952184,3.98917376186345,4.59543436832512e-192,,,,,,,,,3.78023138358545
