setting,N,linearity_degree,method,n_reps
B1_baseline,200,1,corrected,100
B1_baseline,200,1,did2s,100
B1_baseline,200,1,did_dr,100
B1_baseline,200,1,doubleml,100
B1_baseline,200,1,plain,100
B1_baseline,200,1,synthdid,100
B1_baseline,200,1,twfe,100
B1_baseline,200,1,wang,100
B1_baseline,200,2,corrected,100
B1_baseline,200,2,did2s,100
B1_baseline,200,2,did_dr,100
B1_baseline,200,2,doubleml,100
B1_baseline,200,2,plain,100
B1_baseline,200,2,synthdid,100
B1_baseline,200,2,twfe,100
B1_baseline,200,2,wang,100
B1_baseline,200,3,corrected,100
B1_baseline,200,3,did2s,100
B1_baseline,200,3,did_dr,100
B1_baseline,200,3,doubleml,100
B1_baseline,200,3,plain,100
B1_baseline,200,3,synthdid,100
B1_baseline,200,3,twfe,100
B1_baseline,200,3,wang,100
B1_null,200,1,corrected,100
B1_null,200,1,did2s,100
B1_null,200,1,did_dr,100
B1_null,200,1,doubleml,100
B1_null,200,1,plain,100
B1_null,200,1,synthdid,100
B1_null,200,1,twfe,200
B1_null,200,1,wang,100
B1_null,200,2,corrected,100
B1_null,200,2,did2s,100
B1_null,200,2,did_dr,100
B1_null,200,2,doubleml,100
B1_null,200,2,plain,100
B1_null,200,2,synthdid,100
B1_null,200,2,twfe,200
B1_null,200,2,wang,100
B1_null,200,3,corrected,100
B1_null,200,3,did2s,100
B1_null,200,3,did_dr,100
B1_null,200,3,doubleml,100
B1_null,200,3,plain,100
B1_null,200,3,synthdid,100
B1_null,200,3,twfe,200
B1_null,200,3,wang,100
B1_selection_both,200,1,corrected,100
B1_selection_both,200,1,plain,100
B1_selection_both,200,2,corrected,100
B1_selection_both,200,2,plain,100
B1_selection_both,200,3,corrected,100
B1_selection_both,200,3,plain,100
B1_selection_obs,200,1,corrected,100
B1_selection_obs,200,1,did2s,100
B1_selection_obs,200,1,did_dr,100
B1_selection_obs,200,1,doubleml,100
B1_selection_obs,200,1,plain,100
B1_selection_obs,200,1,synthdid,100
B1_selection_obs,200,1,twfe,100
B1_selection_obs,200,1,wang,100
B1_selection_obs,200,2,corrected,100
B1_selection_obs,200,2,did2s,100
B1_selection_obs,200,2,did_dr,100
B1_selection_obs,200,2,doubleml,100
B1_selection_obs,200,2,plain,100
B1_selection_obs,200,2,synthdid,100
B1_selection_obs,200,2,twfe,100
B1_selection_obs,200,2,wang,100
B1_selection_obs,200,3,corrected,100
B1_selection_obs,200,3,did2s,100
B1_selection_obs,200,3,did_dr,100
B1_selection_obs,200,3,doubleml,100
B1_selection_obs,200,3,plain,100
B1_selection_obs,200,3,synthdid,100
B1_selection_obs,200,3,twfe,100
B1_selection_obs,200,3,wang,100
B1_serial_corr,200,1,corrected,100
B1_serial_corr,200,1,did2s,100
B1_serial_corr,200,1,did_dr,100
B1_serial_corr,200,1,doubleml,100
B1_serial_corr,200,1,plain,100
B1_serial_corr,200,1,synthdid,100
B1_serial_corr,200,1,twfe,100
B1_serial_corr,200,1,wang,100
B1_serial_corr,200,2,corrected,100
B1_serial_corr,200,2,did2s,100
B1_serial_corr,200,2,did_dr,100
B1_serial_corr,200,2,doubleml,100
B1_serial_corr,200,2,plain,100
B1_serial_corr,200,2,synthdid,100
B1_serial_corr,200,2,twfe,100
B1_serial_corr,200,2,wang,100
B1_serial_corr,200,3,corrected,100
B1_serial_corr,200,3,did2s,100
B1_serial_corr,200,3,did_dr,100
B1_serial_corr,200,3,doubleml,100
B1_serial_corr,200,3,plain,100
B1_serial_corr,200,3,synthdid,100
B1_serial_corr,200,3,twfe,100
B1_serial_corr,200,3,wang,100
B1_strong_confounder,200,1,corrected,100
B1_strong_confounder,200,1,did2s,100
B1_strong_confounder,200,1,did_dr,100
B1_strong_confounder,200,1,doubleml,100
B1_strong_confounder,200,1,plain,100
B1_strong_confounder,200,1,synthdid,100
B1_strong_confounder,200,1,twfe,100
B1_strong_confounder,200,1,wang,100
