dgp,setting,linearity_degree,N,estimand_type,estimand_id,method,n_reps,n_reps_attempted,retention,mean_true,bias,abs_bias,emp_sd,variance,rmse,mae,mape,avg_post_sd,sd_ratio,cover90,cover95,len90,len95,reject05,reject10,mcse_bias,mcse_cover90,mcse_cover95,mcse_reject05,mcse_reject10,role,n_reps_expected
canonical,B1_baseline,1,200,ATT,ATT,synthdid,100,100.0,1.0,3.76351411484381,-0.0232114478400087,0.0232114478400087,0.1910673487861552,0.0365067317721702,0.1692480671633213,0.1355627785462835,0.0360354321385726,0.2032075563650005,1.0635388916838575,0.97,1.0,0.6684935238343939,0.7965589900067434,1.0,1.0,0.0191067348786155,0.0170587221092319,0.0,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ATT,ATT,twfe,100,100.0,1.0,3.7582715706824463,-0.0235876022948266,0.0235876022948266,0.2002270732604072,0.0400908808664284,0.1787838981424509,0.1467338329568168,0.0391852917938054,0.2136332853941023,1.0669550421698444,0.97,0.98,0.7027909686360965,0.837427090542815,1.0,1.0,0.0200227073260407,0.0170587221092319,0.014,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ES,k=0,did2s,100,100.0,1.0,3.76351411484381,-0.0465927609381388,0.0465927609381388,0.2036924523877336,0.0414906151597291,0.1788406316272931,0.1416179131300821,0.0376975674341397,0.2157263916744469,1.0590789651047374,0.95,0.98,0.7096768365025616,0.8456319230636311,1.0,1.0,0.0203692452387733,0.0217944947177033,0.014,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ES,k=0,twfe,100,100.0,1.0,3.7582715706824463,-0.0477429901745952,0.0477429901745952,0.1959460164886909,0.0383948413777863,0.179369822670218,0.1473092953979143,0.039231069309297,0.2091761580308699,1.06751931873513,0.95,0.99,0.6881283244177016,0.8199554723299279,1.0,1.0,0.019594601648869,0.0217944947177033,0.0099498743710662,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ES,k=1,did2s,100,100.0,1.0,3.76351411484381,-0.0131486282668773,0.0131486282668773,0.2274724013268267,0.0517436933653929,0.2042796180927644,0.165116702108808,0.0438700501225619,0.2369417154173789,1.041628408700653,0.97,0.98,0.7794690567422744,0.9287944646326156,1.0,1.0,0.0227472401326826,0.0170587221092319,0.014,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ES,k=1,twfe,100,100.0,1.0,3.7582715706824463,-0.0147589491979164,0.0147589491979164,0.21240852434293,0.045117381213541,0.1950931590454143,0.1616238609168198,0.0430370331364438,0.2307977562527698,1.0865748301144011,0.97,0.99,0.7592570529292604,0.904710579936166,1.0,1.0,0.021240852434293,0.0170587221092319,0.0099498743710662,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ES,k=2,did2s,100,100.0,1.0,3.76351411484381,-0.0117567300733545,0.0117567300733545,0.2509724302923335,0.0629871607668402,0.2212136831522667,0.1773949286196808,0.0471465822081775,0.2659648911768901,1.0597374813922522,0.93,1.0,0.8749468302237448,1.042563223941244,1.0,1.0,0.0250972430292333,0.0255147016443461,0.0,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ES,k=2,twfe,100,100.0,1.0,3.7582715706824463,-0.0138271426989794,0.0138271426989794,0.2392745671446116,0.0572523184822412,0.2168247480938971,0.1776396258057449,0.0473966164889108,0.2609439607649387,1.090562878783647,0.98,1.0,0.8584292405905842,1.0228815301650258,1.0,1.0,0.0239274567144611,0.014,0.0,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ES,k=3,did2s,100,100.0,1.0,3.76351411484381,-0.0154908227875823,0.0154908227875823,0.2914650572753973,0.0849518796125506,0.2692860307192679,0.2244290448457998,0.0597729656848926,0.2977104225841693,1.0214274924313516,0.97,0.98,0.979380358858523,1.1670034213795175,1.0,1.0,0.0291465057275397,0.0170587221092319,0.014,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,ES,k=3,twfe,100,100.0,1.0,3.7582715706824463,-0.0180213271077908,0.0180213271077908,0.2781282742813825,0.0773553369547399,0.2618651417238795,0.2201911667565046,0.0587770348922433,0.293215781183704,1.054246577200049,0.94,0.99,0.9645940823188496,1.1493847416376743,1.0,1.0,0.0278128274281382,0.0237486841740758,0.0099498743710662,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,GATT,g=4_t=4,did_dr,100,100.0,1.0,3.76351411484381,-0.0310343340389281,0.0310343340389281,0.2233059108023131,0.0498655297992506,0.2214007238552339,0.1731917864999255,0.0459587448643246,0.2301544908366744,1.030669049510401,0.87,0.97,0.7571410697413351,0.902189032956423,1.0,1.0,0.0223305910802313,0.0336303434416004,0.0170587221092319,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,GATT,g=4_t=4,doubleml,100,100.0,1.0,3.758271570682445,-0.0391530255325954,0.0391530255325954,0.3136995238184261,0.0984073912439072,0.303642515102302,0.2419632496641593,0.0642706216435859,0.2952440476250407,0.9411683002615342,0.87,0.92,0.9712667054244772,1.157335409118731,1.0,1.0,0.0313699523818426,0.0336303434416004,0.027129319932501,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,GATT,g=4_t=4,wang,100,100.0,1.0,3.758271570682445,-0.0363456465147619,0.0363456465147619,0.2198753171910973,0.0483451551098856,0.2223250292945845,0.171847520646372,0.0456567053074761,0.1607437058276208,0.7310675335509157,0.73,0.81,0.5287998550107705,0.6301037532974536,1.0,1.0,0.0219875317191097,0.0443959457608462,0.039230090491866,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,GATT,g=4_t=5,did_dr,100,100.0,1.0,3.76351411484381,0.007665552538025,0.007665552538025,0.1958586291461384,0.0383606026110045,0.1913378109377303,0.1535607136518326,0.040782848163662,0.2274335918841252,1.161213028374805,0.92,0.98,0.7481901066899426,0.8915233049671554,1.0,1.0,0.0195858629146138,0.027129319932501,0.014,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,GATT,g=4_t=5,doubleml,100,100.0,1.0,3.758271570682445,0.0304649287379461,0.0304649287379461,0.245805775340758,0.0604204791908712,0.2469706196662915,0.1992013146846169,0.0530549741221114,0.2893458524264983,1.1771320345316587,0.95,1.0,0.9518633654942708,1.1342149086104985,1.0,1.0,0.0245805775340758,0.0217944947177033,0.0,0.0,0.0,power,100.0
canonical,B1_baseline,1,200,GATT,g=4_t=5,wang,100,100.0,1.0,3.758271570682445,0.0017469496495946,0.0017469496495946,0.1858889622131034,0.0345547062726646,0.1874567958883344,0.1508693110399598,0.0400832172095382,0.1620438637766343,0.8717239681550695,0.84,0.91,0.5330769950169036,0.6352002788462143,1.0,1.0,0.0185888962213103,0.0366606055596467,0.0286181760425083,0.0,0.0,power,100.0
