setting,true_slope,n_reps,slope_bias,slope_cover95,diag_detect_slope,diag_mcse_slope,twfe_detect_slope,twfe_mcse_slope,diag_detect_anyk,diag_mcse_anyk,twfe_detect_anyk,twfe_mcse_anyk,diag_detect,twfe_detect,att_bias_plain,att_bias_corrected,family
PT_violation_het40,-0.0012801660265436,200,0.0449222429186001,0.945,0.115,0.0225582579114611,0.065,0.0174320107847603,0.075,0.0186245805321891,0.045,0.014658615214269,0.115,0.065,-0.0048678997494131,-0.0162730146699927,alpha_trend
PT_violation_het20,-0.0006400830132718,200,0.0428089255565428,0.935,0.055,0.0161206389451535,0.055,0.0161206389451535,0.04,0.013856406460551,0.035,0.012995191418367,0.055,0.055,-0.0012407290813666,-0.0127484523644534,alpha_trend
PT_violation_het10,-0.0003200415066359,200,0.0407600041528306,0.945,0.04,0.013856406460551,0.045,0.014658615214269,0.025,0.0110397010829098,0.035,0.012995191418367,0.04,0.045,-0.0018385398931117,-0.0135658423510271,alpha_trend
PT_violation_a20,0.2070486057414942,200,0.0163751429144251,0.985,0.93,0.0180416185526687,0.705,0.0322470928922282,0.845,0.0255905255905383,0.665,0.0333747659167821,0.93,0.705,0.8071179995701001,0.4903973599793464,alpha_trend
PT_conditional,0.0,200,0.0552983438830992,0.95,0.08,0.0191833260932508,0.755,0.0304117575947198,0.04,0.013856406460551,0.71,0.0320858224142688,0.08,0.755,0.0573101845245884,0.008332625624979,conditional
PT_violation_g05,0.0499999999999999,200,0.0307206025443403,0.965,0.22,0.0292916370317536,0.1,0.0212132034355964,0.12,0.0229782505861521,0.06,0.0167928556237466,0.22,0.1,0.194412421196194,0.1085625011002461,group_trend
PT_violation_g10,0.0999999999999999,200,0.0245955045776774,0.97,0.52,0.0353270434653113,0.25,0.0306186217847897,0.4,0.0346410161513775,0.2,0.0282842712474619,0.52,0.25,0.3929235835732707,0.2300052888773175,group_trend
PT_violation_g20,0.1999999999999999,200,0.0167586277999985,0.96,0.935,0.0174320107847603,0.7,0.0324037034920393,0.88,0.0229782505861521,0.69,0.0327032108515356,0.935,0.7,0.7867346422272259,0.4741549655429969,group_trend
PT_violation_g40,0.3999999999999999,200,0.0103345778660407,0.965,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.575498609156475,0.960226542283426,group_trend
PT_hold,0.0,200,0.0397828164749068,0.96,0.045,0.014658615214269,0.045,0.014658615214269,0.03,0.0120623380818148,0.035,0.012995191418367,0.045,0.045,-0.0013968541916173,-0.012730700104289,hold
