dgp,setting,linearity_degree,N,method,mean,sd,rmse,estimand_type,estimand_id
canonical,B1_baseline,1,200,synthdid,-0.3282594433765611,2.3828569953187566,2.393529119878015,ATT,ATT
canonical,B1_baseline,1,200,twfe,-0.3335790706920659,2.518910589155532,2.5283861348698404,ATT,ATT
canonical,B1_baseline,2,200,synthdid,-0.3282594433765668,2.382856995318759,2.3935291198780186,ATT,ATT
canonical,B1_baseline,2,200,twfe,-0.3335790706920656,2.518910589155531,2.5283861348698395,ATT,ATT
canonical,B1_baseline,3,200,synthdid,-0.32825944337656027,2.382856995318752,2.393529119878011,ATT,ATT
canonical,B1_baseline,3,200,twfe,-0.33357907069206616,2.5189105891555306,2.5283861348698395,ATT,ATT
canonical,B1_null,1,200,synthdid,-0.3282594433765594,2.3828569953187557,2.393529119878014,ATT,ATT
canonical,B1_null,1,200,twfe,-0.30550993735236515,2.7311283338451537,2.741368816462533,ATT,ATT
canonical,B1_null,2,200,synthdid,-0.3282594433765595,2.3828569953187544,2.3935291198780133,ATT,ATT
canonical,B1_null,2,200,twfe,-0.30550993735236515,2.7311283338451537,2.741368816462533,ATT,ATT
canonical,B1_null,3,200,synthdid,-0.3282594433765595,2.3828569953187544,2.3935291198780133,ATT,ATT
canonical,B1_null,3,200,twfe,-0.30550993735236515,2.7311283338451537,2.7413688164625327,ATT,ATT
canonical,B1_selection_obs,1,200,synthdid,5.899881957475768,2.597815477649115,6.44125499537957,ATT,ATT
canonical,B1_selection_obs,1,200,twfe,-0.3269256159113184,3.171336273035368,3.1723304332055564,ATT,ATT
canonical,B1_selection_obs,2,200,synthdid,5.899881957475775,2.5978154776491205,6.441254995379578,ATT,ATT
canonical,B1_selection_obs,2,200,twfe,-0.3269256159113183,3.171336273035368,3.1723304332055564,ATT,ATT
canonical,B1_selection_obs,3,200,synthdid,5.899881957475771,2.597815477649123,6.441254995379578,ATT,ATT
canonical,B1_selection_obs,3,200,twfe,-0.3269256159113189,3.1713362730353674,3.1723304332055564,ATT,ATT
canonical,B1_serial_corr,1,200,synthdid,-0.34377135566089323,2.3287137624659993,2.3424042039316126,ATT,ATT
canonical,B1_serial_corr,1,200,twfe,-0.3108036069392543,2.802685619784329,2.8059036153437025,ATT,ATT
canonical,B1_serial_corr,2,200,synthdid,-0.34377135566089345,2.328713762466008,2.3424042039316215,ATT,ATT
canonical,B1_serial_corr,2,200,twfe,-0.3108036069392544,2.802685619784328,2.805903615343702,ATT,ATT
canonical,B1_serial_corr,3,200,synthdid,-0.3437713556608867,2.328713762465983,2.3424042039315958,ATT,ATT
canonical,B1_serial_corr,3,200,twfe,-0.3108036069392552,2.802685619784328,2.8059036153437025,ATT,ATT
canonical,B1_strong_confounder,1,200,synthdid,-0.37597190327506885,2.407305583320455,2.4245667328046996,ATT,ATT
canonical,B1_strong_confounder,1,200,twfe,-0.31004244035421025,2.537740687442491,2.543983654341134,ATT,ATT
canonical,B1_strong_confounder,2,200,synthdid,-0.37597190327507585,2.4073055833204724,2.424566732804718,ATT,ATT
canonical,B1_strong_confounder,2,200,twfe,-0.3100424403542099,2.5377406874424926,2.543983654341135,ATT,ATT
canonical,B1_strong_confounder,3,200,synthdid,-0.3759719032750878,2.407305583320488,2.4245667328047342,ATT,ATT
canonical,B1_strong_confounder,3,200,twfe,-0.3100424403542108,2.5377406874424917,2.543983654341135,ATT,ATT
canonical,B2_sweep,1,200,synthdid,-0.3282594433765611,2.3828569953187566,2.393529119878015,ATT,ATT
canonical,B2_sweep,1,200,twfe,-0.3335790706920659,2.518910589155532,2.5283861348698404,ATT,ATT
canonical,B2_sweep,1,400,twfe,0.08823821257686193,2.7282656515752644,2.7160237688703144,ATT,ATT
canonical,B2_sweep,1,800,twfe,-0.28576688023031227,2.850587074351522,2.850657978715078,ATT,ATT
canonical,B2_sweep,1,1600,twfe,-0.05156348657598002,2.512532850639335,2.500470336843506,ATT,ATT
canonical,B2_sweep,2,200,synthdid,-0.3282594433765668,2.382856995318759,2.3935291198780186,ATT,ATT
canonical,B2_sweep,2,200,twfe,-0.3335790706920656,2.518910589155531,2.5283861348698395,ATT,ATT
canonical,B2_sweep,2,400,twfe,0.08823821257686201,2.7282656515752657,2.7160237688703153,ATT,ATT
canonical,B2_sweep,2,800,twfe,-0.28576688023031155,2.850587074351519,2.8506579787150756,ATT,ATT
canonical,B2_sweep,2,1600,twfe,-0.05156348657598002,2.512532850639334,2.500470336843505,ATT,ATT
canonical,B2_sweep,3,200,synthdid,-0.32825944337656027,2.382856995318752,2.393529119878011,ATT,ATT
canonical,B2_sweep,3,200,twfe,-0.33357907069206616,2.5189105891555306,2.5283861348698395,ATT,ATT
canonical,B2_sweep,3,400,twfe,0.08823821257686112,2.728265651575265,2.7160237688703153,ATT,ATT
canonical,B2_sweep,3,800,twfe,-0.28576688023031216,2.8505870743515196,2.850657978715075,ATT,ATT
canonical,B2_sweep,3,1600,twfe,-0.051563486575980734,2.5125328506393343,2.500470336843505,ATT,ATT
canonical,B2_sweep_serial,1,200,synthdid,-0.34377135566089323,2.3287137624659993,2.3424042039316126,ATT,ATT
canonical,B2_sweep_serial,1,200,twfe,-0.3108036069392543,2.802685619784329,2.8059036153437025,ATT,ATT
canonical,B2_sweep_serial,1,400,twfe,0.20978472319100583,2.978665675465367,2.9711503402247965,ATT,ATT
canonical,B2_sweep_serial,1,800,twfe,-0.27755439153955924,3.133150145863645,3.1297763463901083,ATT,ATT
canonical,B2_sweep_serial,1,1600,twfe,0.008751532481657697,2.7787197504028818,2.76480509368871,ATT,ATT
canonical,B2_sweep_serial,2,200,synthdid,-0.34377135566089345,2.328713762466008,2.3424042039316215,ATT,ATT
canonical,B2_sweep_serial,2,200,twfe,-0.3108036069392544,2.802685619784328,2.805903615343702,ATT,ATT
canonical,B2_sweep_serial,2,400,twfe,0.20978472319100583,2.978665675465368,2.9711503402247974,ATT,ATT
canonical,B2_sweep_serial,2,800,twfe,-0.2775543915395594,3.133150145863645,3.1297763463901096,ATT,ATT
