dgp,setting,linearity_degree,N,method,n_reps,avg_n_treated_obs,surf_rmse_mean,surf_rmse_sd,surf_mae_mean,surf_mae_sd,surf_mape_mean,surf_mape_sd,surf_cover90_mean,surf_cover90_sd,surf_cover95_mean,surf_cover95_sd,surf_len90_mean,surf_len90_sd,surf_len95_mean,surf_len95_sd
canonical,B1_baseline,1,200,corrected,100,401.24,1.0710083934235837,0.06634715502814154,0.8800742862518554,0.05709766749330288,0.28526997259077547,0.05166365721066144,0.2654304901866406,0.04451672011497234,0.3163898380464269,0.05062513841337305,0.813858175634227,0.08101874277981755,0.9768244564040132,0.1003819895630834
canonical,B1_baseline,1,200,did2s,100,401.24,1.0714823759988237,0.06530418548492571,0.8815481314623603,0.056927281285474154,0.2837261619013496,0.04849257278170859,0.268901959009721,0.038425654358527774,0.3203453717549214,0.042082580063198254,0.835868270581776,0.03359963845564665,0.9959982582542526,0.04003642985096753
canonical,B1_baseline,1,200,did_dr,100,401.24,1.0685555234101562,0.06467316569602269,0.8784558392915172,0.05573648413848911,0.28501601212491734,0.05252533870161764,0.2447495802741816,0.03560657621745238,0.2921422809755407,0.03860693441114659,0.7538754063065877,0.03741825084290936,0.8982977558167985,0.04458658616209795
canonical,B1_baseline,1,200,doubleml,100,401.24,0.9143311885933804,0.04856258955039718,0.7702706569091423,0.046446498629001055,0.22528511585999883,0.02055030898288239,0.3459332297056008,0.04596732502840782,0.40419838218406184,0.047689650353352854,0.9677979153560594,0.07578682099305709,1.1532020917193402,0.09030554737431801
canonical,B1_baseline,1,200,plain,100,401.24,0.2427471085051776,0.055852984053193395,0.18743885098172877,0.04529642621067017,0.058142616253110464,0.017589327296083073,0.9305649287219508,0.06664738959716908,0.9674945471212848,0.04127358155275998,0.8448387534448305,0.02993989324776001,1.0052131351053366,0.03485352855419467
canonical,B1_baseline,1,200,synthdid,100,401.24,1.062182665401445,0.06291101178594835,0.8744990008950267,0.05584764380282126,0.281890878790415,0.04936629787944499,0.21524718136485896,0.039049593455313836,0.25874131153845953,0.04413930291950219,0.6684935238343932,0.033115686195191466,0.7965589900067438,0.039459765290945144
canonical,B1_baseline,1,200,twfe,100,401.24,0.901820677963852,0.041065057784659284,0.761625636131657,0.04309780916087168,0.22077261528293518,0.017345156581707644,0.300561422738938,0.04115908895879002,0.3518290445575834,0.04058024476113016,0.8176021750640992,0.033874252289733085,0.9742330810171983,0.040363661181299235
canonical,B1_baseline,1,200,wang,100,401.24,0.6768083466432064,0.09267805536850289,0.5716307090366707,0.08692846925111719,0.16585219829113665,0.027275930951710527,0.5205914473559549,0.11702091950000114,0.5998190970541921,0.1158099620898908,1.1116611590361405,0.08815479196033046,1.3246256822241418,0.10504289053602214
canonical,B1_baseline,2,200,corrected,100,401.24,1.2341430754882028,1.114639328520255,1.0335834902156678,1.0729577958513374,0.3300772349591707,0.3206109059149051,0.2936429847036675,0.12084187892443565,0.346878865550006,0.12080679844324084,1.4650866646632537,4.131203429256378,1.851369024036231,5.5228518416852
canonical,B1_baseline,2,200,did2s,100,401.24,1.0714823759988237,0.06530418548492571,0.8815481314623603,0.056927281285474154,0.2837261619013496,0.04849257278170859,0.268901959009721,0.038425654358527774,0.3203453717549214,0.042082580063198254,0.835868270581776,0.03359963845564665,0.9959982582542526,0.04003642985096753
canonical,B1_baseline,2,200,did_dr,100,401.24,1.0708764807712243,0.0664476935915333,0.880227327078334,0.05733139074708016,0.28526234854260224,0.05394608150654157,0.25377782841454166,0.04070831456434465,0.30184449792542223,0.044628782036924025,0.7838001510938766,0.04602844867936489,0.9339552807352862,0.05484626744221833
