dataset,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,source
mpdta,PRE,k=-4,,,-4.0,pretrend,0.005803266575338258,0.018714049162605,-0.029506010079869284,-0.022073857655277623,0.03687725765582426,0.04272276442440524,0.3873333333333333,did_bcf_pretrend
mpdta,PRE,k=-3,,,-3.0,pretrend,0.020906696998660882,0.0172859838743468,-0.006558850303085258,-0.0028714204013482883,0.05012650708307901,0.055521603091350236,0.06533333333333333,did_bcf_pretrend
mpdta,PRE,k=-2,,,-2.0,pretrend,0.02173504639165542,0.017722112003255734,0.0,0.0,0.051287012617768656,0.05704635317142679,0.024,did_bcf_pretrend
mpdta,PRE,slope,,,,pretrend,-0.0057827314367851395,0.007133418735831728,-0.019520882454495413,-0.017630013361556764,0.004592727540433824,0.0062553238153158245,0.248,did_bcf_pretrend
mpdta,PRE,any,,,,pretrend,,,,,,,0.024,did_bcf_pretrend
mpdta,PRE,any_bonf,,,,pretrend,,,,,,,0.07200000000000001,did_bcf_pretrend
mpdta,PRE_SUB,lpop=low_k=-4,,,-4.0,pretrend,-0.01617044056542059,0.023704009925700174,-0.058324852967951576,-0.053003505237968554,0.02327018695680803,0.031195862126606917,0.25666666666666665,did_bcf_pretrend
mpdta,PRE_SUB,lpop=low_k=-3,,,-3.0,pretrend,0.016652138518772057,0.019669758979509514,-0.02194161311964086,-0.014736503466873658,0.049091597204607526,0.05413459552675907,0.13266666666666665,did_bcf_pretrend
mpdta,PRE_SUB,lpop=low_k=-2,,,-2.0,pretrend,0.0212095336785052,0.017825617730226017,-0.0001232545755373979,0.0,0.0512543701411139,0.05704635317142678,0.025333333333333333,did_bcf_pretrend
mpdta,PRE_SUB,lpop=high_k=-4,,,-4.0,pretrend,0.0172521316899093,0.019976665709910232,-0.022663680247298833,-0.0140311449756351,0.049526520654403265,0.05473452560149142,0.15,did_bcf_pretrend
mpdta,PRE_SUB,lpop=high_k=-3,,,-3.0,pretrend,0.022901382652426396,0.01759901406708832,-0.0004522847043021678,0.0,0.052142957583286534,0.05704635317142682,0.02666666666666667,did_bcf_pretrend
mpdta,PRE_SUB,lpop=high_k=-2,,,-2.0,pretrend,0.02190627895680602,0.017941842167574943,0.0,0.0,0.05191830710172154,0.05704635317142682,0.022,did_bcf_pretrend
mpdta,PRE_SUBC,lpop_k=-4,,,-4.0,pretrend,0.033422572255329894,0.02133098268517992,-7.897328624384414e-17,-2.5738959574805867e-17,0.06508375089141609,0.06878944185479179,0.06733333333333333,did_bcf_pretrend
mpdta,PRE_SUBC,lpop_k=-3,,,-3.0,pretrend,0.006249244133654335,0.012529605411979935,-1.9957993591113165e-16,-1.0061396160665481e-16,0.034761545457034415,0.040550993339287106,0.282,did_bcf_pretrend
mpdta,PRE_SUBC,lpop_k=-2,,,-2.0,pretrend,0.0006967452783008202,0.004881657342503785,-1.4935969128160308e-16,-1.042568809062061e-16,0.010357751568314177,0.014998835549085477,0.3473333333333333,did_bcf_pretrend
mpdta,PRE_SUBC,lpop_slope,,,,pretrend,-0.008104496450828513,0.004931061193668596,-0.016356553929912417,-0.015124231489695833,8.921435019309294e-18,3.0344495517499646e-17,0.07866666666666666,did_bcf_pretrend
mpdta,PRE_SUBC,lpop_any,,,,pretrend,,,,,,,0.06733333333333333,did_bcf_pretrend
mpdta,PRE_SUBC,lpop_any_bonf,,,,pretrend,,,,,,,0.20199999999999999,did_bcf_pretrend
mpdta,PRE,k=-4,,,-4.0,twfe_es,0.003549326919432355,0.022805677275318823,-0.04114897953581063,-0.033962682569584915,0.041061336408449625,0.04824763337467534,0.4381609666110273,twfe_event_study
mpdta,PRE,k=-3,,,-3.0,twfe_es,0.02462350198649075,0.01766163326194125,-0.00999266338811667,-0.004427306130946364,0.05367431010392786,0.05923966736109817,0.08163157558404038,twfe_event_study
mpdta,PRE,k=-2,,,-2.0,twfe_es,0.023354814886403383,0.013423218186556889,-0.0029542095233934043,0.001275580759372539,0.04543404901343423,0.04966383929620017,0.04093987533306591,twfe_event_study
mpdta,PRE,slope,,,,twfe_es,-0.005946414258405854,0.007612372501227738,-0.020866390315402175,-0.018467655616540304,0.006574827099728596,0.00897356179859047,0.217356772480576,twfe_event_study
mpdta,PRE,any,,,,twfe_es,,,,,,,0.04093987533306591,twfe_event_study
mpdta,PRE,any_bonf,,,,twfe_es,,,,,,,0.12281962599919773,twfe_event_study
mpdta,PRE,joint,,,,twfe_es,,,,,,,0.08946132077965964,twfe_event_study
