dgp,setting,linearity_degree,N,rep,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,B1_null,3,200,0,ES,k=0,,,0.0,twfe,-0.26036042415488825,0.18015967532930915,-0.6134668992667636,-0.5566967195507021,0.035975871240925605,0.09274605095698701,0.07420579817944291,,,,,,,,,0.0
canonical,B1_null,3,200,0,ES,k=1,,,1.0,twfe,-0.6539126221024482,0.1867061613716749,-1.0198499740826543,-0.9610169288088345,-0.34680831539606183,-0.2879752701222419,0.0002305760354261688,,,,,,,,,0.0
canonical,B1_null,3,200,0,ES,k=2,,,2.0,twfe,-0.35825873949384646,0.2388449332609673,-0.8263862065752152,-0.7511236942471309,0.03460621525943797,0.10986872758752231,0.06681189763969476,,,,,,,,,0.0
canonical,B1_null,3,200,0,ES,k=3,,,3.0,twfe,-0.5052154067132977,0.2851498990662142,-1.064098939078309,-0.9742452524172063,-0.03618556100938908,0.05366812565171375,0.0382177204108818,,,,,,,,,0.0
canonical,B1_null,3,200,0,ATT,ATT,,,,twfe,-0.4444367981161185,0.18276076535176064,-0.8026413159925452,-0.745051505869389,-0.1438220903628481,-0.08623228023969187,0.0075120946500518045,,,,,,,,,0.0
canonical,B1_null,3,200,0,CATT,surface,,,,twfe,,,,,,,,0.4687699860846508,0.4444367981161201,432.0,,0.75,0.873027413269231,0.5,0.7326677012796965,
canonical,B1_null,3,200,1,ES,k=0,,,0.0,twfe,0.11595990787930971,0.1989543280748424,-0.27398340971574753,-0.2112908402522879,0.4432106560109073,0.505903225474367,0.2799981939575552,,,,,,,,,0.0
canonical,B1_null,3,200,1,ES,k=1,,,1.0,twfe,0.10409110433690774,0.2071480059632404,-0.30191152682033184,-0.23663704458749343,0.4448192532613089,0.5100937354941473,0.30765923096433134,,,,,,,,,0.0
canonical,B1_null,3,200,1,ES,k=2,,,2.0,twfe,0.12195422400806433,0.24213331538793553,-0.3526183536095674,-0.2763196380135661,0.5202280860296948,0.596526801625696,0.30724818933897924,,,,,,,,,0.0
canonical,B1_null,3,200,1,ES,k=3,,,3.0,twfe,0.3544571697241765,0.2940123000910877,-0.2217963494661378,-0.12915002844899376,0.8380643678973467,0.9307106889144908,0.11398854264701691,,,,,,,,,0.0
canonical,B1_null,3,200,1,ATT,ATT,,,,twfe,0.17411560148711416,0.20315151571137208,-0.22405405271189807,-0.1600389059514252,0.5082701089256535,0.5722852556861264,0.19570237638560956,,,,,,,,,0.0
canonical,B1_null,3,200,1,CATT,surface,,,,twfe,,,,,,,,0.20297436793825582,0.17411560148711452,416.0,,1.0,0.9233860227801214,1.0,0.7749299786254,
canonical,B1_null,3,200,2,ES,k=0,,,0.0,twfe,0.1751584570580808,0.18928368598472983,-0.19583075033297864,-0.13618550035664562,0.48650241447280723,0.5461476644491403,0.1773853483315596,,,,,,,,,0.0
canonical,B1_null,3,200,2,ES,k=1,,,1.0,twfe,0.03891566853724606,0.21550447336563816,-0.3834653377666761,-0.3155576461024908,0.3933889831769829,0.46129667484116815,0.4283488631577439,,,,,,,,,0.0
canonical,B1_null,3,200,2,ES,k=2,,,2.0,twfe,0.037144601103458685,0.23112574502197145,-0.41585353503959305,-0.3430234188777922,0.41731262108470957,0.4901427372465104,0.4361602545170241,,,,,,,,,0.0
canonical,B1_null,3,200,2,ES,k=3,,,3.0,twfe,-0.2004843402401839,0.26202364438076114,-0.7140412463244067,-0.6314748820469216,0.23050620156655377,0.31307256584403886,0.22209458134064802,,,,,,,,,0.0
canonical,B1_null,3,200,2,ATT,ATT,,,,twfe,0.012683596614650315,0.18675765437775274,-0.35335467980292423,-0.29450540854954577,0.31987260177884635,0.3787218730322248,0.47292675448331656,,,,,,,,,0.0
canonical,B1_null,3,200,2,CATT,surface,,,,twfe,,,,,,,,0.13580188364796825,0.11292576673474237,416.0,,1.0,0.8799626279611281,1.0,0.738487916921226,
canonical,B1_null,3,200,3,ES,k=0,,,0.0,twfe,0.0621821210128968,0.195954212947837,-0.32188107898375606,-0.26013387687077405,0.3844981188965676,0.4462453210095496,0.3754966649139009,,,,,,,,,0.0
canonical,B1_null,3,200,3,ES,k=1,,,1.0,twfe,0.2999268651123004,0.23188964424790662,-0.15456848600140233,-0.08149765728135544,0.6813513875059563,0.754422216226003,0.09793577934355899,,,,,,,,,0.0
canonical,B1_null,3,200,3,ES,k=2,,,2.0,twfe,0.058997432686451134,0.2683929130400711,-0.46704301057787895,-0.3824696237755809,0.5004644891484832,0.5850378759507813,0.4130066833784947,,,,,,,,,0.0
canonical,B1_null,3,200,3,ES,k=3,,,3.0,twfe,0.4953415590656091,0.2837855428496538,-0.06086788425286055,0.028555879632963632,0.9621272384982547,1.0515510023840788,0.040450807277826274,,,,,,,,,0.0
canonical,B1_null,3,200,3,ATT,ATT,,,,twfe,0.2291119944693137,0.2057356564653024,-0.1741224825383841,-0.10929304626088102,0.5675170351995085,0.6323464714770115,0.13272044049827494,,,,,,,,,0.0
canonical,B1_null,3,200,3,CATT,surface,,,,twfe,,,,,,,,0.29268869887258,0.22911199446931427,396.0,,1.0,0.9604042188465778,0.75,0.8059966280860021,
canonical,B1_null,3,200,4,ES,k=0,,,0.0,twfe,-0.00386765336107249,0.18863131285573081,-0.3735782329148122,-0.3141385524684392,0.30640324574629424,0.36584292619266723,0.49182075169209355,,,,,,,,,0.0
canonical,B1_null,3,200,4,ES,k=1,,,1.0,twfe,-0.1055834634808246,0.2179667128353967,-0.5327903704667865,-0.46410680164281687,0.2529398746811677,0.3216234435051373,0.3140503780293268,,,,,,,,,0.0
canonical,B1_null,3,200,4,ES,k=2,,,2.0,twfe,-0.09722461108128504,0.23399235642157942,-0.5558412023252404,-0.48210778722024156,0.28765856505767146,0.36139198016267027,0.33888672677710746,,,,,,,,,0.0
canonical,B1_null,3,200,4,ES,k=3,,,3.0,twfe,-0.3424953770669631,0.26343718148833817,-0.8588227649728477,-0.7758109805119293,0.09082022637800319,0.17383201083892152,0.0967828952250856,,,,,,,,,0.0
canonical,B1_null,3,200,4,ATT,ATT,,,,twfe,-0.13729277624753658,0.18706677817866285,-0.503936924181659,-0.4449902448168367,0.1704046923217635,0.2293513716865859,0.231497565072595,,,,,,,,,0.0
canonical,B1_null,3,200,4,CATT,surface,,,,twfe,,,,,,,,0.18568692389023816,0.13729277624753627,392.0,,1.0,0.8859307328447708,1.0,0.743496508426641,
canonical,B1_null,3,200,5,ES,k=0,,,0.0,twfe,0.18110368856649878,0.19857706609111495,-0.20810020912771654,-0.14552651882285383,0.5077338959558514,0.5703075862607141,0.18088249743909424,,,,,,,,,0.0
canonical,B1_null,3,200,5,ES,k=1,,,1.0,twfe,0.1456725614292037,0.21724103510126958,-0.2801120433334863,-0.21165714307981165,0.5030022659382191,0.5714571661918937,0.25125129681524466,,,,,,,,,0.0
canonical,B1_null,3,200,5,ES,k=2,,,2.0,twfe,-0.15843801456309006,0.25051699494220653,-0.6494423021650177,-0.5705018023067621,0.253625773180582,0.33256627303883757,0.2635483374653062,,,,,,,,,0.0
canonical,B1_null,3,200,5,ES,k=3,,,3.0,twfe,-0.006813293520358477,0.28121949358726067,-0.5579933727019821,-0.4693781975168205,0.4557516104761035,0.5443667856612651,0.49033550295542266,,,,,,,,,0.0
canonical,B1_null,3,200,5,ATT,ATT,,,,twfe,0.04038123547806356,0.2001229386206773,-0.35185251669878376,-0.28879170594834436,0.36955417690447145,0.43261498765491085,0.42004352099498055,,,,,,,,,0.0
canonical,B1_null,3,200,5,CATT,surface,,,,twfe,,,,,,,,0.14068410232949655,0.12300688951978778,400.0,,1.0,0.9285864346202282,1.0,0.7792943018192511,
canonical,B1_null,3,200,6,ES,k=0,,,0.0,twfe,0.013532637875202983,0.2065627698074694,-0.3913229514942747,-0.3262328832357551,0.35329815898616107,0.41838822724468067,0.4738826023960043,,,,,,,,,0.0
canonical,B1_null,3,200,6,ES,k=1,,,1.0,twfe,-0.1436630983057614,0.21782440945127174,-0.5705910957839602,-0.5019523682302482,0.21462617161872544,0.28326489917243736,0.2547757319323813,,,,,,,,,0.0
