dgp,setting,linearity_degree,N,rep,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,B1_selection_obs,2,200,0,ES,k=0,,,0.0,twfe,3.704946407807294,0.1960228045154324,3.320748770808511,3.3825175868348856,4.027375228779702,4.089144044806076,5.639350433936034e-80,,,,,,,,,3.9246772131732897
canonical,B1_selection_obs,2,200,0,ES,k=1,,,1.0,twfe,3.487511942727936,0.20481692290831574,3.0860781504033206,3.150618084221153,3.8244058012347195,3.888945735052552,2.569342321806832e-65,,,,,,,,,3.9246772131732897
canonical,B1_selection_obs,2,200,0,ES,k=2,,,2.0,twfe,3.7574963145232094,0.25234393225203655,3.2629112955920023,3.3424274823192506,4.172565146727169,4.2520813334544165,1.9030830429029744e-50,,,,,,,,,3.9246772131732897
canonical,B1_selection_obs,2,200,0,ES,k=3,,,3.0,twfe,3.4421220589372865,0.3008627667898002,2.8524418717402047,2.947246845768429,3.936997272106144,4.031802246134369,1.3067501563400884e-30,,,,,,,,,3.9246772131732897
canonical,B1_selection_obs,2,200,0,ATT,ATT,,,,twfe,3.5980191809989357,0.20136295721414635,3.203355037038729,3.266806590491573,3.9292317715062985,3.9926833249591422,1.040716217755042e-71,,,,,,,,,3.924677213173289
canonical,B1_selection_obs,2,200,0,CATT,surface,,,,twfe,,,,,,,,0.8613447073128615,0.7116069176447118,388.0,0.1870077583585424,0.38917525773195877,0.934948317725844,0.35309278350515466,0.784633362426004,
canonical,B1_selection_obs,2,200,1,ES,k=0,,,0.0,twfe,3.7804988345207917,0.20875014120481086,3.3713560759917116,3.4371354076334266,4.123862261408156,4.189641593049871,1.3248425449109783e-73,,,,,,,,,3.858816147175374
canonical,B1_selection_obs,2,200,1,ES,k=1,,,1.0,twfe,3.703084118689221,0.21540881087502278,3.2808906074215765,3.3487681548441364,4.057400082534306,4.125277629956866,1.5517698257570465e-66,,,,,,,,,3.858816147175374
canonical,B1_selection_obs,2,200,1,ES,k=2,,,2.0,twfe,3.7617325944955895,0.24959125319370404,3.2725427273797116,3.3511915164245623,4.172273672566617,4.250922461611467,1.2455679280883128e-51,,,,,,,,,3.858816147175374
canonical,B1_selection_obs,2,200,1,ES,k=3,,,3.0,twfe,3.647980662939471,0.2980953530410094,3.06372450702034,3.1576574403125868,4.138303885566355,4.232236818858602,9.783130552019433e-35,,,,,,,,,3.858816147175374
