dgp,setting,linearity_degree,N,rep,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true
canonical,B1_strong_confounder,3,200,0,ES,k=0,,,0.0,twfe,3.859282444284365,0.19546592414021915,3.476176272764697,3.5377696100169045,4.180795278551826,4.242388615804033,4.515292618732921e-87,,,,,,,,,3.8543420434295874
canonical,B1_strong_confounder,3,200,0,ES,k=1,,,1.0,twfe,3.4135222562238057,0.20056322209114122,3.0204255643018607,3.0836251129341186,3.743419399513493,3.8066189481457506,2.934426015153931e-65,,,,,,,,,3.8543420434295874
canonical,B1_strong_confounder,3,200,0,ES,k=2,,,2.0,twfe,3.789943079583475,0.25282878669704073,3.2944077634023157,3.3740767327871075,4.205809426379843,4.285478395764635,4.257617483235255e-51,,,,,,,,,3.8543420434295874
canonical,B1_strong_confounder,3,200,0,ES,k=3,,,3.0,twfe,3.748693101633145,0.2975694689501698,3.1654676595921023,3.2592348813604346,4.238151321905855,4.331918543674187,1.086856160367255e-36,,,,,,,,,3.8543420434295874
canonical,B1_strong_confounder,3,200,0,ATT,ATT,,,,twfe,3.702860220431203,0.19942669008729727,3.311991090304069,3.374832505930185,4.030887934932221,4.093729350558337,2.94265367921003e-77,,,,,,,,,3.8543420434295865
canonical,B1_strong_confounder,3,200,0,CATT,surface,,,,twfe,,,,,,,,0.8441822648531981,0.7122492831560582,408.0,0.19665007140228452,0.3480392156862745,0.9274818108319074,0.3014705882352941,0.7783672723131129,
canonical,B1_strong_confounder,3,200,1,ES,k=0,,,0.0,twfe,3.7843732760770714,0.20738544212005205,3.3779052786038535,3.4432545794289693,4.1254919727251735,4.19084127355029,1.0727666357604526e-74,,,,,,,,,3.6668886418385216
canonical,B1_strong_confounder,3,200,1,ES,k=1,,,1.0,twfe,3.8185713476247165,0.2168675315145488,3.3935187964400955,3.461856001844998,4.175286693404435,4.2436238988093375,1.0721502797974817e-69,,,,,,,,,3.6668886418385216
canonical,B1_strong_confounder,3,200,1,ES,k=2,,,2.0,twfe,3.8001793359901184,0.24861817514231477,3.31289666680911,3.3912388288812254,4.209119843099011,4.287462005171126,4.798156767198172e-53,,,,,,,,,3.6668886418385216
canonical,B1_strong_confounder,3,200,1,ES,k=3,,,3.0,twfe,3.9326017459438454,0.2994409209367813,3.345708325410248,3.4400652610832916,4.425138230804399,4.5194951664774425,1.0631589578581082e-39,,,,,,,,,3.6668886418385216
canonical,B1_strong_confounder,3,200,1,ATT,ATT,,,,twfe,3.833931426408921,0.21148587309760733,3.4194267318986022,3.4860681209953226,4.181794731822519,4.24843612091924,9.485424876631357e-74,,,,,,,,,3.6668886418385216
canonical,B1_strong_confounder,3,200,1,CATT,surface,,,,twfe,,,,,,,,0.8720570955491956,0.7410844408614274,420.0,0.22778808365536965,0.3380952380952381,0.9528483191862221,0.2833333333333333,0.7996555171986337,
canonical,B1_strong_confounder,3,200,2,ES,k=0,,,0.0,twfe,3.757254902387592,0.20588022458771646,3.3537370770666497,3.418612068256903,4.095897736518281,4.160772727708534,1.0400055461197535e-74,,,,,,,,,3.7388257560593865
canonical,B1_strong_confounder,3,200,2,ES,k=1,,,1.0,twfe,3.699744535740927,0.2320421585438623,3.2449502621000237,3.3180691496544066,4.081419921827448,4.1545388093818305,1.5611548339342593e-57,,,,,,,,,3.7388257560593865
canonical,B1_strong_confounder,3,200,2,ES,k=2,,,2.0,twfe,3.7232671213147217,0.2508803433966884,3.2315506838281713,3.310605678547848,4.1359285640815955,4.214983558801272,3.989427459524511e-50,,,,,,,,,3.7388257560593865
canonical,B1_strong_confounder,3,200,2,ES,k=3,,,3.0,twfe,3.371984187796765,0.27819905837751857,2.826724052843873,2.9143874576100193,3.829580917983511,3.9172443227496574,4.0997311737845385e-34,,,,,,,,,3.7388257560593865
canonical,B1_strong_confounder,3,200,2,ATT,ATT,,,,twfe,3.6380626868100063,0.20721016631249015,3.2319382236069707,3.297232293209689,3.9788930804103235,4.044187150013042,2.6126482376287546e-69,,,,,,,,,3.738825756059386
canonical,B1_strong_confounder,3,200,2,CATT,surface,,,,twfe,,,,,,,,0.8893239436745992,0.7385783188858405,412.0,0.21234906602416562,0.3737864077669903,0.9476443357006441,0.3276699029126214,0.7952881965854145,
canonical,B1_strong_confounder,3,200,3,ES,k=0,,,0.0,twfe,3.7364423051935245,0.21715399071934544,3.3108283042844624,3.379255775951823,4.0936288344352265,4.162056306102587,1.1884354252137954e-66,,,,,,,,,3.7463298367273588
