estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator,max_control_odds,effective_sample_size,max_normalized_weight,fold_sizes
PRE,k=-4,,,-4.0,pretrend,-0.0002196444879535,0.0007561483129046,0.0071438890261567,-0.0148415690114364,-0.0123699397957348,0.0083576768467247,0.0084766673623154,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE,k=-3,,,-3.0,pretrend,0.0004983578091812,0.0019125787365114,0.0091510803115484,-0.0154314872413602,-0.0108352615193673,0.0138731187261526,0.0155380573568062,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE,k=-2,,,-2.0,pretrend,-7.844853040293344e-05,-0.0027202330528996,0.0079367240211674,-0.0124950945285134,-0.0119318567658171,0.0113825808905558,0.0148729410889934,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE,slope,,,,pretrend,-1.852383029277668e-05,0.0002009003733095,0.0029255807067829,-0.0045746496531344,-0.0043744570507941,0.0051450059952582,0.0052968686969279,0.4583333333333333,0.9166666666666666,0.9166666666666666,0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.004804066414407,-0.0046001715969967,0.0114000738118112,-0.0234418239710019,-0.0226730770767482,0.011515200503841,0.0145414818058044,0.2916666666666667,0.5833333333333334,0.5833333333333334,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.0024601830292181,-0.0028700225124969,0.0103535958364056,-0.0188384681035974,-0.017834838728164,0.0124417802793874,0.0186752488075314,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.0012843261522162,0.0012207072581631,0.0126064407087799,-0.0213265071078841,-0.0209938673320563,0.0153960959422324,0.0161870086537522,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,0.0022158296604748,0.0033039854389023,0.0086328066727678,-0.0137978353925721,-0.0117672183481773,0.0147872921163545,0.0151373798732969,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,0.0020700826295809,0.0025310056350136,0.0121582003267933,-0.0171293189765781,-0.0126720286634497,0.0214298452628353,0.0230710297281247,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,0.0005621739561853,4.3381738413894805e-05,0.0091771683159184,-0.013844426285268,-0.0114414266343088,0.0151204652017991,0.0183184220858505,0.5,1.0,1.0,-0.0,correction_completion,PT_conditional,1,200,0,4179655998,raw_structured,,,,
