estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
PRE,k=-4,,,-4.0,reference_fold_pretrend,0.0012557746260612073,0.00022273714938755634,0.007032697438600451,-0.010931009398480893,-0.007678557346991202,0.01055020832341351,0.011239898036803496,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE,k=-3,,,-3.0,reference_fold_pretrend,-0.0002456956471463577,-0.0007365928824010523,0.006905595828785231,-0.010930013799894441,-0.010542074545145034,0.011471103002785822,0.013855605439612884,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE,k=-2,,,-2.0,reference_fold_pretrend,0.0001983072547168468,-0.001289622792601992,0.005364330647925886,-0.008156224059692473,-0.007651911330273684,0.009217270816899131,0.010105560980825424,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE,slope,,,,reference_fold_pretrend,-0.0002481599884719823,-6.651615012500405e-05,0.0022549765219118793,-0.004343505993929206,-0.003556867619516844,0.003265111287804346,0.0038982516029634705,0.5,1.0,1.0,0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-4,,,-4.0,reference_fold_pretrend,0.00012437264352394028,0.00020189797281364538,0.009321352885926774,-0.017555045630887767,-0.01661412530833373,0.017460244224521408,0.01865802870495206,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-3,,,-3.0,reference_fold_pretrend,-0.0007439425818768316,-0.002360263974755388,0.011045169683100877,-0.02090630678639439,-0.014509718063220472,0.0183222604109886,0.01939131178678674,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-2,,,-2.0,reference_fold_pretrend,0.0011584162834466331,0.002519607477467607,0.009880580021440412,-0.014336603446306708,-0.013911377881188793,0.015149584190132936,0.017436108368055845,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-4,,,-4.0,reference_fold_pretrend,0.001813932937446261,0.0003230233110282027,0.009128527938540023,-0.01272381110929056,-0.01133890211697269,0.0157496923359024,0.016437489747850226,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-3,,,-3.0,reference_fold_pretrend,1.0617398734190144e-07,0.0012368435728826177,0.008489510077170963,-0.014907007810160229,-0.014018371659691279,0.012186662028359432,0.014373148943856818,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-2,,,-2.0,reference_fold_pretrend,-0.00027534653278984706,-0.0005287474565598992,0.006072172433618098,-0.010613654585691865,-0.009027466971783272,0.008334933602473598,0.008763618131087735,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X2=low_k=-4,,,-4.0,reference_fold_pretrend,0.0038604207682759323,0.00535778682579623,0.012725966031032007,-0.019110668345504483,-0.0149121302321516,0.023174764345695646,0.025549784268504745,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X2=low_k=-3,,,-3.0,reference_fold_pretrend,0.0008047487700365476,0.001943279492047429,0.010971421007670528,-0.017221609805120035,-0.01609250240045115,0.014318350454846501,0.02007320237927976,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X2=low_k=-2,,,-2.0,reference_fold_pretrend,0.0014140400863440607,0.0008076936071164705,0.009048233338343373,-0.013423548588908877,-0.01214494237083475,0.015024992282841298,0.015524153675973932,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X2=high_k=-4,,,-4.0,reference_fold_pretrend,-0.0011713796713282698,-0.002197943033989293,0.012394332742222154,-0.020410292957237453,-0.016136699028881114,0.022640008094649014,0.025635218251598826,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X2=high_k=-3,,,-3.0,reference_fold_pretrend,-0.0022330606564508718,-0.002987735655700388,0.01327572228002739,-0.021437901276885253,-0.02004270983842646,0.020766058657846833,0.02225843513196021,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUB,X2=high_k=-2,,,-2.0,reference_fold_pretrend,-0.0008584915212372294,0.002474430670365354,0.011050651862490416,-0.020483051315240253,-0.019333015254731516,0.01231584922899758,0.012967725726689494,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUBC,X1_k=-4,,,-4.0,reference_fold_pretrend,0.0016895602939223208,0.0017947501436765998,0.012586606334784846,-0.016660020737661718,-0.013954905118531308,0.01978795472532994,0.02305882085868534,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUBC,X1_k=-3,,,-3.0,reference_fold_pretrend,0.0007440487558641732,-0.0012548083631684981,0.013593381232145626,-0.020325667432563466,-0.01794044305097628,0.020084413520204014,0.0296463798690502,0.375,0.75,0.75,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUBC,X1_k=-2,,,-2.0,reference_fold_pretrend,-0.0014337628162364802,-0.0016866768816748774,0.011283626324014763,-0.021090247579562325,-0.018175068677894073,0.012776432277960274,0.014020579598683533,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUBC,X1_slope,,,,reference_fold_pretrend,-0.00036592968408991625,0.0002910396208963414,0.004447045461308962,-0.007552708676978361,-0.00635136687684218,0.005545941491454368,0.005946465526709974,0.4583333333333333,0.9166666666666666,0.9166666666666666,0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUBC,X2_k=-4,,,-4.0,reference_fold_pretrend,-0.005031800439604202,-0.0015785588932021232,0.016998386350900827,-0.03684979529611042,-0.03243830055960096,0.01522684127962311,0.0200497517896853,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUBC,X2_k=-3,,,-3.0,reference_fold_pretrend,-0.0030378094264874194,-0.0013236702178651243,0.016170901082170112,-0.027892954822549706,-0.02571110229907418,0.021050492669502416,0.02258255382442257,0.5,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUBC,X2_k=-2,,,-2.0,reference_fold_pretrend,-0.002272531607581289,-0.001040826626510232,0.013768354110460962,-0.025209695429197227,-0.024490955018945666,0.01853773249722955,0.02025852663621009,0.5,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
PRE_SUBC,X2_slope,,,,reference_fold_pretrend,0.0016745394128120528,0.000807971757685381,0.005777845621742546,-0.006280075449178965,-0.005852177652237236,0.012183477748769428,0.012613027945840342,0.375,0.75,0.75,0.0,correction_completion,PT_conditional,3,200,0,1514685032,reference_fold_convolution_rf
