estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
PRE,k=-4,,,-4.0,pretrend,0.000627001638728262,0.0017666529526372166,0.007198185341450069,-0.013254227568016547,-0.012505948231170882,0.011453487703354071,0.012360030631443055,0.375,0.75,0.75,-0.6583798451164816,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE,k=-3,,,-3.0,pretrend,0.001042060183940661,-8.272270326360912e-05,0.006945204374976251,-0.009187295373903472,-0.007348878391986412,0.013222566700100129,0.01356509484790934,0.5,1.0,1.0,-0.4389198967443211,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE,k=-2,,,-2.0,pretrend,-0.0005319146958545625,9.67444080663133e-05,0.007223215533828184,-0.015353130247526386,-0.013952366300989928,0.01067006674399908,0.011548677888555677,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.21945994837216054,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE,slope,,,,pretrend,-0.0002452293277293962,-0.0009842068391871465,0.002463344582884115,-0.004324798187760462,-0.003808725374410634,0.0035530730570845987,0.004206405907235582,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.21945994837216054,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,0.0005920096092651241,8.857264608075609e-05,0.009024490843850578,-0.016010316384506652,-0.010170273885294156,0.014180950412310543,0.01601378008136089,0.5,1.0,1.0,-0.6651847945254148,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,0.001268292500668959,0.0015993969552468607,0.011211880369155264,-0.01854635412867469,-0.016909772173977,0.01718324700320913,0.020274581092087293,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.4434565296836098,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.002370107906887452,-0.004064642071812883,0.009358291686612653,-0.01912863491911512,-0.017541962364744534,0.009881237738736958,0.012444105987838905,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.2217282648418049,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,0.0006612491569262243,-0.0019549032805717525,0.01050856281391475,-0.015760399726346897,-0.012179990105038806,0.014952081025805605,0.016754562434487395,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.6541870181124126,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,0.0008206413207597738,0.0012742780526455834,0.0100771678100602,-0.014427105068967728,-0.012804953583738411,0.01725815464587141,0.018820005055171816,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.43612467874160843,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,0.0012671680213265622,0.0015866988784580156,0.01104980937622353,-0.017766254456211838,-0.015552332720037108,0.020181001128954126,0.021559093877853708,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.21806233937080421,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,0.000750779673995707,0.001079859771469103,0.014428385756845352,-0.025678249924760504,-0.020979857202233436,0.022462237730720376,0.025430550192839352,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.5339667649441835,correction_completion,PT_violation_a20,1,200,0,451039797,raw_structured
