estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
PRE,k=-4,,,-4.0,pretrend,0.00116818209353927,0.00046592579307213456,0.006466305157088108,-0.009481417399362974,-0.008469095847129205,0.01166632655466671,0.013360392376522078,0.5,1.0,1.0,-0.3,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE,k=-3,,,-3.0,pretrend,0.0026155675309180158,0.0011286415674077396,0.008137467022518954,-0.009922247925742322,-0.008791448347325592,0.015450742316431974,0.016717878406361224,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.19999999999999998,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE,k=-2,,,-2.0,pretrend,0.002824780668093158,0.002687358167322876,0.007672211849098413,-0.008845248180301406,-0.008499256353525617,0.01398952587097966,0.015408023142007997,0.375,0.75,0.75,-0.09999999999999999,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE,slope,,,,pretrend,-0.0008257472864676428,0.0002698888066473321,0.0026173554216969764,-0.005447287745449906,-0.0048998164258679455,0.002689482258078393,0.002997178074212261,0.4583333333333333,0.9166666666666666,0.9166666666666666,0.09999999999999999,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.0015821579000375088,-0.00034343134780538025,0.007893402939206696,-0.015524984198923723,-0.013821588386300963,0.009225968728656983,0.010217322881182838,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.2999999999999998,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,0.0012993026560590545,0.0029544234926527956,0.011799552626980412,-0.020511502139941542,-0.0158145261984978,0.014859056362859661,0.02015456039172678,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.1999999999999999,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,0.001053832226910312,0.00016207249952823727,0.009641466901426008,-0.015187904543086597,-0.012915648766276116,0.017511285197964816,0.019009897928306624,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.09999999999999995,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,0.00355526963513421,0.004241088592317296,0.009615772318317116,-0.014495747301001987,-0.011260296409164565,0.01918593022279993,0.020852785510850923,0.2916666666666667,0.5833333333333334,0.5833333333333334,-0.2999999999999999,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,0.003757986101550322,0.0029081421372718743,0.010701827598311122,-0.01505472836694329,-0.01396156129383264,0.019399897868447213,0.020029305532741123,0.375,0.75,0.75,-0.19999999999999993,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,0.004361830258553741,0.005821595854283684,0.011486256752374134,-0.015057141556063434,-0.013299050361034442,0.0234391633597589,0.025896989090739196,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.09999999999999996,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,0.0015467864195911358,0.0019130375178098848,0.010413638022582383,-0.018785939507028518,-0.017951160834265022,0.017970171830095673,0.019191662077630407,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.30000000000000004,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,8.435316106611673e-05,0.0004690287356479792,0.017217372689028766,-0.03059022638461154,-0.02343948686424062,0.026103726076840396,0.027549213895540284,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.2,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,0.00335567137807779,0.003880429007266996,0.012662814844815228,-0.0243157299943433,-0.019387069849264794,0.020080190905031523,0.0217442224755804,0.2916666666666667,0.5833333333333334,0.5833333333333334,-0.1,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,0.0007002237340157014,0.001745842345576569,0.009185078543926339,-0.019805808464941323,-0.017002536939424568,0.010640609201277232,0.01503358605141178,0.375,0.75,0.75,-0.30000000000000004,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,0.00015230424615739107,-0.00011762380305909375,0.011045998002061979,-0.01746335790030876,-0.01604285689030768,0.020733464780999643,0.02143497842265079,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.2,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,0.0031753829615569357,0.0031235845025353154,0.008959757208535753,-0.01034298138672902,-0.00995166937351192,0.0172459327375536,0.018013530558852877,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.1,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUBC,X1_k=-4,,,-4.0,pretrend,0.005137427535171719,0.006076812126327968,0.012136160257429106,-0.021877922975092147,-0.01663181275369606,0.021097990246069138,0.024689653883642013,0.25,0.5,0.5,-4.163336342344337e-17,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUBC,X1_k=-3,,,-3.0,pretrend,0.002458683445491268,0.003853690344887034,0.015503299560705622,-0.024193802227713057,-0.019646893336123107,0.022917394484972424,0.03098335344603511,0.375,0.75,0.75,-2.7755575615628914e-17,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUBC,X1_k=-2,,,-2.0,pretrend,0.0033079980316434283,0.006586176584895935,0.014864354594886648,-0.020094330367885573,-0.019590661260492477,0.02220433667954181,0.0281297391086507,0.375,0.75,0.75,-1.3877787807814457e-17,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUBC,X1_slope,,,,pretrend,-0.001688403394867223,-0.0026714012320010363,0.005009881975699601,-0.009830838600291807,-0.006320237704058925,0.007487672029290962,0.00838126500483784,0.2916666666666667,0.5833333333333334,0.5833333333333334,1.3877787807814457e-17,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUBC,X2_k=-4,,,-4.0,pretrend,-0.0008465626855754341,0.0020320823811231167,0.014293342844753596,-0.02544218567440861,-0.024518994931819662,0.019512804750916636,0.023820144935572517,0.375,0.75,0.75,-0.0,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUBC,X2_k=-3,,,-3.0,pretrend,6.795108509127384e-05,-0.002480740417100653,0.022101210460464208,-0.03271267577350169,-0.02600033699406926,0.031662118424128034,0.04452150828053976,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUBC,X2_k=-2,,,-2.0,pretrend,-0.00018028841652085407,-0.0006126221638673409,0.014155292822619485,-0.023511286592509586,-0.02000487531694463,0.0207449917022534,0.023067476320281673,0.5,1.0,1.0,-0.0,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
PRE_SUBC,X2_slope,,,,pretrend,0.00018457673593318631,0.00126791563684398,0.0055028811263001035,-0.009731477883992035,-0.007164318725665388,0.007529996863849772,0.008446983446066423,0.4583333333333333,0.9166666666666666,0.9166666666666666,0.0,correction_completion,PT_violation_g10,1,200,0,705790730,raw_structured
