estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
PRE,k=-4,,,-4.0,reference_fold_pretrend,0.0011812169314667652,0.0007039638832109234,0.006513770381488811,-0.00904659809357288,-0.007855185313361577,0.013216631922576293,0.01564046144815586,0.4166666666666667,0.8333333333333334,0.8333333333333334,-1.2,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE,k=-3,,,-3.0,reference_fold_pretrend,0.0017471427469113604,0.001110986158960273,0.008179483022670943,-0.01004134622274998,-0.009080977143688326,0.015965761821093362,0.021151879624060073,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.7999999999999999,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE,k=-2,,,-2.0,reference_fold_pretrend,0.002872796557931403,0.0027242573376063013,0.008218422860097302,-0.007929115318397262,-0.006755381629627171,0.015424617372643725,0.016144019873174896,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.39999999999999997,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE,slope,,,,reference_fold_pretrend,-0.0007079094890110301,-0.0007764000929473102,0.0026142425910820177,-0.005993771488542452,-0.005486019574201157,0.0029259366718631555,0.0033717967286974733,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.39999999999999997,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-4,,,-4.0,reference_fold_pretrend,-0.0022767968196743494,-0.002006649340852483,0.012877565715508252,-0.021181172567612032,-0.020846605778850027,0.018888148606545484,0.021871448108521298,0.5,1.0,1.0,-1.2000000000000002,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-3,,,-3.0,reference_fold_pretrend,0.0010858665537087648,0.0008633877830766002,0.009217786530255914,-0.01565943650250971,-0.012283375707973311,0.01370406992423158,0.014780562318008226,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.8000000000000002,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-2,,,-2.0,reference_fold_pretrend,-0.00024376062618328156,-0.002017919277394043,0.008381904773120919,-0.01552249640774598,-0.012721410590209575,0.01013700215361589,0.012094945592761275,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.4000000000000001,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-4,,,-4.0,reference_fold_pretrend,0.0033498018262501767,0.0042992334124067645,0.010165722399690822,-0.014420500241635575,-0.010412478660631368,0.021341116055457094,0.02299077932448791,0.4166666666666667,0.8333333333333334,0.8333333333333334,-1.1999999999999997,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-3,,,-3.0,reference_fold_pretrend,0.002161841376546888,0.002434515714928573,0.011936276799547804,-0.014185945552626006,-0.01390595583638788,0.023529600088902213,0.029284615791293357,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.7999999999999998,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-2,,,-2.0,reference_fold_pretrend,0.0048272476733931535,0.0020216692740424673,0.012519515017349603,-0.012714349365337246,-0.012220062063702792,0.02618884019243574,0.029067769607427584,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.3999999999999999,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X2=low_k=-4,,,-4.0,reference_fold_pretrend,0.0007878197461749047,-0.0015531388286189908,0.01116234871868307,-0.01416392879635202,-0.010072400944320043,0.020585546471940226,0.025351220525867666,0.375,0.75,0.75,-1.2000000000000002,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X2=low_k=-3,,,-3.0,reference_fold_pretrend,-0.0015030438321832493,0.00012121408379541778,0.011112895367989057,-0.021872398502643147,-0.019879482256639363,0.014319834180045845,0.015606899437498113,0.5,1.0,1.0,-0.8,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X2=low_k=-2,,,-2.0,reference_fold_pretrend,-0.0014096190986769136,-0.002833844365051048,0.01373640267516768,-0.023991297534387463,-0.01750318319363764,0.020016281138438036,0.021378206381970744,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.4,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X2=high_k=-4,,,-4.0,reference_fold_pretrend,-0.00047991226143213997,-0.0008446462188812136,0.011730787811451569,-0.021259654478527,-0.020226786805541814,0.01958224329506056,0.0206476195088827,0.5,1.0,1.0,-1.2000000000000002,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X2=high_k=-3,,,-3.0,reference_fold_pretrend,0.0017060669105124478,0.0024571130858624095,0.011165849118751363,-0.017466370765972926,-0.015480341558470846,0.014562594173596281,0.02209361129219202,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.8,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUB,X2=high_k=-2,,,-2.0,reference_fold_pretrend,0.004744172839474838,0.003878097764925343,0.009320155704447311,-0.009326269583327355,-0.008490188781845856,0.019874218834743683,0.02099628795856029,0.2916666666666667,0.5833333333333334,0.5833333333333334,-0.4,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUBC,X1_k=-4,,,-4.0,reference_fold_pretrend,0.005626598645924526,0.004424582280270518,0.01894292163745707,-0.028665283794876963,-0.023637897485467366,0.030768371690069577,0.03189477362945834,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.996003610813204e-16,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
PRE_SUBC,X1_k=-3,,,-3.0,reference_fold_pretrend,0.0010759748228381233,-5.6393146827728266e-05,0.015015564724921635,-0.023944363090389467,-0.022702538873593105,0.021214130802666965,0.022422424523737428,0.5,1.0,1.0,3.3306690738754696e-16,correction_completion,PT_violation_g40,1,200,0,1883071093,reference_fold_convolution_rf
