estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
GATT,g=4_t=4,4.0,4.0,0.0,raw_structured,2.594358382245288,2.5944820697265394,0.008861589594769407,2.577745070423845,2.584631792585734,2.606542899595435,2.6068292686935983,0.0,0.0,0.0,2.5929968390291145,correction_completion,staggered,1,200,0,3384230263,raw_structured
GATT,g=4_t=5,4.0,5.0,1.0,raw_structured,3.629871788451574,3.6307174721209075,0.008989451476042227,3.6162560329174407,3.616477299330753,3.6423768583222524,3.6426053698443948,0.0,0.0,0.0,3.6301955746407604,correction_completion,staggered,1,200,0,3384230263,raw_structured
GATT,g=4_t=6,4.0,6.0,2.0,raw_structured,4.668061501565275,4.667715842207871,0.007620966381249235,4.654529846528546,4.663485701284387,4.677487838337148,4.681471462365547,0.0,0.0,0.0,4.667394310252407,correction_completion,staggered,1,200,0,3384230263,raw_structured
GATT,g=4_t=7,4.0,7.0,3.0,raw_structured,5.703886478815503,5.701590977031907,0.008515283722046671,5.691904338467817,5.693164929619509,5.7196519843933,5.7208995726686,0.0,0.0,0.0,5.704593045864053,correction_completion,staggered,1,200,0,3384230263,raw_structured
GATT,g=5_t=5,5.0,5.0,0.0,raw_structured,4.036762722262342,4.037223464884018,0.00804116778807393,4.021758297974095,4.029097806128246,4.04746308385795,4.049202061196618,0.0,0.0,0.0,4.035583702230065,correction_completion,staggered,1,200,0,3384230263,raw_structured
GATT,g=5_t=6,5.0,6.0,1.0,raw_structured,5.6492498964982785,5.650131792063761,0.005683000046562991,5.635798864316381,5.6376787857864334,5.656529707271994,5.656939933509515,0.0,0.0,0.0,5.64981718312209,correction_completion,staggered,1,200,0,3384230263,raw_structured
GATT,g=5_t=7,5.0,7.0,2.0,raw_structured,7.263375500787618,7.263753021580009,0.006513582178630976,7.250086281882327,7.252157594295111,7.27179119211573,7.274321997626658,0.0,0.0,0.0,7.2640506640141185,correction_completion,staggered,1,200,0,3384230263,raw_structured
GATT,g=6_t=6,6.0,6.0,0.0,raw_structured,5.79738846731007,5.79637542089176,0.0062803973906331075,5.788121307532879,5.7896237467926,5.809057616828387,5.809542044375252,0.0,0.0,0.0,5.795423689402595,correction_completion,staggered,1,200,0,3384230263,raw_structured
GATT,g=6_t=7,6.0,7.0,1.0,raw_structured,8.1118536364581,8.111858221579872,0.0060505125353887464,8.099601145019758,8.103996667090254,8.117396673756998,8.120680020978602,0.0,0.0,0.0,8.113593165163632,correction_completion,staggered,1,200,0,3384230263,raw_structured
ES,k=0,,,0.0,raw_structured,4.1140272800079245,4.115097846389872,0.005053007058845377,4.1029566628072764,4.10461101872481,4.120102556951498,4.12096681256946,0.0,0.0,0.0,4.112551383664655,correction_completion,staggered,1,200,0,3384230263,raw_structured
ES,k=1,,,1.0,raw_structured,5.75672555339015,5.756448334419881,0.004211414425900782,5.748656691217629,5.749987873913989,5.762858900191667,5.763329137718287,0.0,0.0,0.0,5.757571937130516,correction_completion,staggered,1,200,0,3384230263,raw_structured
ES,k=2,,,2.0,raw_structured,6.079106005996841,6.079421847038141,0.00517341184599434,6.068011134650087,6.070277067544024,6.0876272566921745,6.089980648538743,0.0,0.0,0.0,6.079168638511202,correction_completion,staggered,1,200,0,3384230263,raw_structured
ES,k=3,,,3.0,raw_structured,5.703886478815503,5.701590977031907,0.008515283722046671,5.691904338467817,5.693164929619509,5.7196519843933,5.7208995726686,0.0,0.0,0.0,5.704593045864053,correction_completion,staggered,1,200,0,3384230263,raw_structured
ATT,ATT,,,,raw_structured,5.280497763374257,5.280340777660738,0.002509479710205014,5.275896600686844,5.276604738954298,5.284062860529362,5.284256163289153,0.0,0.0,0.0,5.280377790134415,correction_completion,staggered,1,200,0,3384230263,raw_structured
