estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,max_control_odds,effective_sample_size,max_normalized_weight,fold_sizes,true,family,design,degree,N,rep,seed,task_estimator
GATT,g=4_t=4,4.0,4.0,0.0,reference_fold_convolution,2.8045670803647145,2.7757400280352735,0.34649031481493514,2.306588791782968,2.375669281289552,3.279538447969948,3.5267082944348322,0.0,0.0,0.0,1.4391322865020095,22.530358915429,,"{""0"": {""bar_pi"": 0.46, ""control_ess"": 25.149627877492946, ""fold_sizes"": [{""evaluation"": 50, ""fold"": 0, ""train"": 49}], ""global_fold_bb"": true, ""max_control_odds"": 1.4391322865020095, ""n_clipped"": 0, ""n_complement_units"": 49, ""n_eval_units"": 50, ""posterior_cache_key"": ""g=4_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.4391322865020095}, ""1"": {""bar_pi"": 0.4897959183673469, ""control_ess"": 22.530358915429, ""fold_sizes"": [{""evaluation"": 49, ""fold"": 0, ""train"": 50}], ""global_fold_bb"": true, ""max_control_odds"": 1.3909649099974954, ""n_clipped"": 0, ""n_complement_units"": 50, ""n_eval_units"": 49, ""posterior_cache_key"": ""g=4_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.3909649099974954}}",2.5929968390291145,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
GATT,g=4_t=5,4.0,5.0,1.0,reference_fold_convolution,3.5567544473197255,3.525026403256084,0.4007655165836985,2.728028125452908,2.8955423651082346,4.198782360072756,4.260936020581185,0.0,0.0,0.0,1.4391322865020095,22.530358915429,,"{""0"": {""bar_pi"": 0.46, ""control_ess"": 25.149627877492946, ""fold_sizes"": [{""evaluation"": 50, ""fold"": 0, ""train"": 49}], ""global_fold_bb"": true, ""max_control_odds"": 1.4391322865020095, ""n_clipped"": 0, ""n_complement_units"": 49, ""n_eval_units"": 50, ""posterior_cache_key"": ""g=4_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.4391322865020095}, ""1"": {""bar_pi"": 0.4897959183673469, ""control_ess"": 22.530358915429, ""fold_sizes"": [{""evaluation"": 49, ""fold"": 0, ""train"": 50}], ""global_fold_bb"": true, ""max_control_odds"": 1.3909649099974954, ""n_clipped"": 0, ""n_complement_units"": 50, ""n_eval_units"": 49, ""posterior_cache_key"": ""g=4_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.3909649099974954}}",3.6301955746407604,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
GATT,g=4_t=6,4.0,6.0,2.0,reference_fold_convolution,5.183064718730748,5.2544527303683175,0.44284469386199554,4.370087170048727,4.544884097950457,5.807726134398102,5.986579119878042,0.0,0.0,0.0,1.4391322865020095,22.530358915429,,"{""0"": {""bar_pi"": 0.46, ""control_ess"": 25.149627877492946, ""fold_sizes"": [{""evaluation"": 50, ""fold"": 0, ""train"": 49}], ""global_fold_bb"": true, ""max_control_odds"": 1.4391322865020095, ""n_clipped"": 0, ""n_complement_units"": 49, ""n_eval_units"": 50, ""posterior_cache_key"": ""g=4_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.4391322865020095}, ""1"": {""bar_pi"": 0.4897959183673469, ""control_ess"": 22.530358915429, ""fold_sizes"": [{""evaluation"": 49, ""fold"": 0, ""train"": 50}], ""global_fold_bb"": true, ""max_control_odds"": 1.3909649099974954, ""n_clipped"": 0, ""n_complement_units"": 50, ""n_eval_units"": 49, ""posterior_cache_key"": ""g=4_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.3909649099974954}}",4.667394310252407,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
GATT,g=4_t=7,4.0,7.0,3.0,reference_fold_convolution,5.889403080375392,5.892570431076562,0.6099723803204112,4.624424288494962,4.7201869686952085,6.810534638235232,6.921314353282393,0.0,0.0,0.0,1.4391322865020095,22.530358915429,,"{""0"": {""bar_pi"": 0.46, ""control_ess"": 25.149627877492946, ""fold_sizes"": [{""evaluation"": 50, ""fold"": 0, ""train"": 49}], ""global_fold_bb"": true, ""max_control_odds"": 1.4391322865020095, ""n_clipped"": 0, ""n_complement_units"": 49, ""n_eval_units"": 50, ""posterior_cache_key"": ""g=4_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.4391322865020095}, ""1"": {""bar_pi"": 0.4897959183673469, ""control_ess"": 22.530358915429, ""fold_sizes"": [{""evaluation"": 49, ""fold"": 0, ""train"": 50}], ""global_fold_bb"": true, ""max_control_odds"": 1.3909649099974954, ""n_clipped"": 0, ""n_complement_units"": 50, ""n_eval_units"": 49, ""posterior_cache_key"": ""g=4_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.3909649099974954}}",5.704593045864053,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
GATT,g=6_t=6,6.0,6.0,0.0,reference_fold_convolution,5.8744347800330345,5.822933887909067,0.37666327546313816,5.343370015308439,5.385548549755723,6.595053922408355,6.728148432520285,0.0,0.0,0.0,1.4988980535871834,23.321851558561747,,"{""0"": {""bar_pi"": 0.49056603773584906, ""control_ess"": 25.18850743088518, ""fold_sizes"": [{""evaluation"": 53, ""fold"": 0, ""train"": 44}], ""global_fold_bb"": true, ""max_control_odds"": 1.3312551612098695, ""n_clipped"": 0, ""n_complement_units"": 44, ""n_eval_units"": 53, ""posterior_cache_key"": ""g=6_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.3312551612098695}, ""1"": {""bar_pi"": 0.4318181818181818, ""control_ess"": 23.321851558561747, ""fold_sizes"": [{""evaluation"": 44, ""fold"": 0, ""train"": 53}], ""global_fold_bb"": true, ""max_control_odds"": 1.4988980535871834, ""n_clipped"": 0, ""n_complement_units"": 53, ""n_eval_units"": 44, ""posterior_cache_key"": ""g=6_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.4988980535871834}}",5.795423689402595,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
GATT,g=6_t=7,6.0,7.0,1.0,reference_fold_convolution,8.220291008337577,8.189516231613396,0.4690611281703586,7.346081612738384,7.485396945575349,8.907906912831287,8.956946169702952,0.0,0.0,0.0,1.4988980535871834,23.321851558561747,,"{""0"": {""bar_pi"": 0.49056603773584906, ""control_ess"": 25.18850743088518, ""fold_sizes"": [{""evaluation"": 53, ""fold"": 0, ""train"": 44}], ""global_fold_bb"": true, ""max_control_odds"": 1.3312551612098695, ""n_clipped"": 0, ""n_complement_units"": 44, ""n_eval_units"": 53, ""posterior_cache_key"": ""g=6_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.3312551612098695}, ""1"": {""bar_pi"": 0.4318181818181818, ""control_ess"": 23.321851558561747, ""fold_sizes"": [{""evaluation"": 44, ""fold"": 0, ""train"": 53}], ""global_fold_bb"": true, ""max_control_odds"": 1.4988980535871834, ""n_clipped"": 0, ""n_complement_units"": 53, ""n_eval_units"": 44, ""posterior_cache_key"": ""g=6_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.4988980535871834}}",8.113593165163632,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
GATT,g=5_t=5,5.0,5.0,0.0,reference_fold_convolution,3.8932832579825543,3.954487587708189,0.28104642202238206,3.3743073371614156,3.412725817988455,4.23761820876726,4.292576026885007,0.0,0.0,0.0,2.175285668464438,21.419229788247133,,"{""0"": {""bar_pi"": 0.47058823529411764, ""control_ess"": 25.4757912959567, ""fold_sizes"": [{""evaluation"": 51, ""fold"": 0, ""train"": 57}], ""global_fold_bb"": true, ""max_control_odds"": 2.175285668464438, ""n_clipped"": 0, ""n_complement_units"": 57, ""n_eval_units"": 51, ""posterior_cache_key"": ""g=5_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 2.175285668464438}, ""1"": {""bar_pi"": 0.5614035087719298, ""control_ess"": 21.419229788247133, ""fold_sizes"": [{""evaluation"": 57, ""fold"": 0, ""train"": 51}], ""global_fold_bb"": true, ""max_control_odds"": 1.7974601297459407, ""n_clipped"": 0, ""n_complement_units"": 51, ""n_eval_units"": 57, ""posterior_cache_key"": ""g=5_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.7974601297459407}}",4.035583702230065,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
GATT,g=5_t=6,5.0,6.0,1.0,reference_fold_convolution,5.712008033347843,5.731164293950544,0.2742839888232835,5.195749789303915,5.230972641704762,6.041112463754962,6.158177273455983,0.0,0.0,0.0,2.175285668464438,21.419229788247133,,"{""0"": {""bar_pi"": 0.47058823529411764, ""control_ess"": 25.4757912959567, ""fold_sizes"": [{""evaluation"": 51, ""fold"": 0, ""train"": 57}], ""global_fold_bb"": true, ""max_control_odds"": 2.175285668464438, ""n_clipped"": 0, ""n_complement_units"": 57, ""n_eval_units"": 51, ""posterior_cache_key"": ""g=5_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 2.175285668464438}, ""1"": {""bar_pi"": 0.5614035087719298, ""control_ess"": 21.419229788247133, ""fold_sizes"": [{""evaluation"": 57, ""fold"": 0, ""train"": 51}], ""global_fold_bb"": true, ""max_control_odds"": 1.7974601297459407, ""n_clipped"": 0, ""n_complement_units"": 51, ""n_eval_units"": 57, ""posterior_cache_key"": ""g=5_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.7974601297459407}}",5.64981718312209,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
GATT,g=5_t=7,5.0,7.0,2.0,reference_fold_convolution,7.479213291588515,7.511770240783145,0.42236124990711,6.8130925705569245,6.8554298736179495,8.155745204180704,8.356591615081411,0.0,0.0,0.0,2.175285668464438,21.419229788247133,,"{""0"": {""bar_pi"": 0.47058823529411764, ""control_ess"": 25.4757912959567, ""fold_sizes"": [{""evaluation"": 51, ""fold"": 0, ""train"": 57}], ""global_fold_bb"": true, ""max_control_odds"": 2.175285668464438, ""n_clipped"": 0, ""n_complement_units"": 57, ""n_eval_units"": 51, ""posterior_cache_key"": ""g=5_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 2.175285668464438}, ""1"": {""bar_pi"": 0.5614035087719298, ""control_ess"": 21.419229788247133, ""fold_sizes"": [{""evaluation"": 57, ""fold"": 0, ""train"": 51}], ""global_fold_bb"": true, ""max_control_odds"": 1.7974601297459407, ""n_clipped"": 0, ""n_complement_units"": 51, ""n_eval_units"": 57, ""posterior_cache_key"": ""g=5_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.7974601297459407}}",7.2640506640141185,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
ES,k=0,,,0.0,reference_fold_convolution,4.149919461659805,4.146001140748835,0.2161437883249242,3.7931219567599976,3.8139147889398988,4.5828289158227795,4.630919992631167,0.0,0.0,0.0,,,,{},4.112551383664655,correction_completion,staggered,1,200,0,3384230263,reference_fold_convolution_rf
